L,N,nmax,W_over_t,recommended_action,reason,proposed_U_min_over_t,proposed_U_max_over_t,proposed_U_values_over_t_json,suggested_realizations
8,8,8,1.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
8,8,8,2.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
8,8,8,3.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
8,8,8,4.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
8,8,8,5.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
8,8,8,6.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
8,8,8,7.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
8,8,8,8.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
8,8,8,9.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
8,8,8,10.0,refine_near_U0,local_fit_rejected;peak_estimators_disagree;scan_boundary;plateau_includes_U0;low_peak_significance;low_bootstrap_valid_fraction;broad_bootstrap_interval,0.0,4.0,"[0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0]",300
