L,N,nmax,W_over_t,U_over_t,realizations,entropy_norm_mean,entropy_norm_sem,delta_entropy_norm_mean,delta_entropy_norm_paired_sem,entropy2_norm_mean,entropy2_norm_sem,IPR_mean,IPR_sem,gap_ratio_mean,gap_ratio_sem,Q_mean_mean,Q_mean_sem,Q_variance_mean,Q_variance_sem,H_Q_mean,H_Q_sem,S_intra_Q_mean,S_intra_Q_sem
8,5,5,0.1,0.0,200,0.874326313527591,2.9368500617622752e-05,0.0,0.0,0.8132564494857766,2.9766359940130238e-05,0.004521467100352526,8.225879259674646e-07,0.3806816925549251,0.0038988525485691337,4.517993698205589,3.0273119703955308e-05,11.72006676669906,0.0002768980927982241,1.6294785682030704,3.3872599404589965e-05,4.2062660879156235,0.00020232923611683377
8,5,5,0.1,0.025,200,0.874137437807638,0.00010366469238374602,-0.0001888757199529502,9.682823868946166e-05,0.8093941473519503,0.00015929993436556228,0.004588559571954738,5.266283531424362e-06,0.4228607012670772,0.0015470153735073512,4.518183435393139,0.00015538799640102798,11.056823800720684,0.010136069003823175,1.6007355197584088,0.00047583743806570985,4.233748473772035,0.0004885283620544958
8,5,5,0.1,0.05,200,0.8767592482676098,5.749466553136622e-05,0.002432934740018803,5.621095863100236e-05,0.8130622604174603,9.283571610166384e-05,0.004472219052721205,3.273235487340858e-06,0.43871844851293273,0.001087853481516394,4.514112789719313,0.00020112398194292055,11.210503228762946,0.0025737989548946646,1.6074613827926783,0.0001284925395312185,4.244522045610549,0.0003471828041888687
8,5,5,0.1,0.075,200,0.8774965426371896,5.798959424512136e-05,0.0031702291095986146,6.042042191366171e-05,0.8140856814686603,9.680481155168306e-05,0.004436940319895827,3.342086791637686e-06,0.4523987938734298,0.0011424288353290809,4.506756170287428,0.0002593319467553499,11.16428971805131,0.003739383057223629,1.6074257722507255,0.0001752779942129542,4.249478772686101,0.000302981109460835
8,5,5,0.1,0.1,200,0.8787594266869871,5.9162588030304564e-05,0.004433113159396015,6.822918397656804e-05,0.8159991550963617,8.948991558337978e-05,0.004381158751369127,3.2311490367650133e-06,0.46734385545224993,0.0013365021715631975,4.497224473994054,0.000292129225934133,11.092950378164728,0.004614500936182456,1.6070573326564677,0.00022333128107192881,4.258276409401476,0.0002477523217877119
8,5,5,0.1,0.125,200,0.8799102130410366,6.806389844706427e-05,0.005583899513445503,7.94062780086277e-05,0.8175672117670549,0.00010877492818828448,0.004323738954658475,3.686276833198187e-06,0.4831029548772056,0.0014707346466090502,4.484678787772932,0.0004321290774053335,10.999650588063421,0.004913483377029673,1.6060294898645617,0.0002384310055738534,4.266985246362347,0.0002806447209897006
8,5,5,0.1,0.15,200,0.8809769294507089,6.590767456057814e-05,0.006650615923117815,7.670943633532205e-05,0.8191950662242788,0.00010281029120447821,0.00426186461818766,3.2360778196969492e-06,0.49177669738107044,0.0014665490743726532,4.468784511094099,0.00048004868982276326,10.86868233516035,0.005127511641662766,1.6037978260887564,0.0002430940893063622,4.276336774302166,0.0002536301319367604
8,5,5,0.1,0.175,200,0.8821480627813392,6.440910350395961e-05,0.00782174925374828,7.446335070866437e-05,0.8211412896344794,9.913580245722945e-05,0.004202082636344663,3.077535301355493e-06,0.5035924661718114,0.0013556555092843383,4.452510899583646,0.00046322920709888286,10.725770373811137,0.00498620827559498,1.6019488374459436,0.0002392228446029612,4.286002564258272,0.0002639774383000271
8,5,5,0.1,0.2,200,0.8826009637650829,5.930458084017675e-05,0.008274650237491882,7.00167949496982e-05,0.8218444678855781,9.13743231520566e-05,0.004181162333715565,2.8376756490327133e-06,0.5071845463942734,0.00138785183732756,4.43430224727147,0.0005758083097541185,10.523690608449419,0.0046922512743174365,1.597982945683919,0.00021306580467064825,4.292991371440706,0.0002628079160124876
8,5,5,0.1,0.225,200,0.8827960162347608,5.151314598603756e-05,0.008469702707169728,6.255448867194903e-05,0.8220921078045491,8.008363823840405e-05,0.004172191122358718,2.4903713753158835e-06,0.5076954822317409,0.001259733202774633,4.413945446441718,0.0006529304219265368,10.293180464627046,0.00471050547551307,1.5934378341425566,0.0001946508783675361,4.29883837266556,0.00022677988294619986
