L,N,nmax,W_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,peak_resolved,unresolved_reasons
8,5,5,0.1,0.25,0.2495912285586124,0.2486838967299028,0.2486838967299028,0.2487447095167906,0.2460453294070256,0.2510431936362432,True,
8,5,5,0.2,0.225,0.23394945528919,0.2337692475800881,0.2337692475800881,0.233756712631867,0.2313138104980241,0.2360802077741631,True,
8,5,5,0.3,0.225,0.2279473042228949,0.2280117770957852,0.2280117770957852,0.2281101017290513,0.2256300791804863,0.2302799054116099,True,
8,5,5,0.4,0.225,0.2267125170738584,0.2263634676607734,0.2263634676607734,0.2263178791215021,0.2240664692708817,0.2285057098288722,True,
8,5,5,0.5,0.225,0.2312059308409052,0.2311525470910966,0.2311525470910966,0.2310966021932776,0.2286246551416847,0.2334824456861138,True,
8,5,5,0.6,0.225,0.2353393466662045,0.2352400220112546,0.2352400220112546,0.2351498203637655,0.2326544632818168,0.237620029132924,True,
8,5,5,0.7,0.25,0.2422525560077726,0.2420392024620871,0.2420392024620871,0.2418459149586986,0.2384707509916355,0.2452372526816156,True,
8,5,5,0.8,0.25,0.2501995491769569,0.2503716501797671,0.2503716501797671,0.2502956035469144,0.2471660785991675,0.253666869378932,True,
8,5,5,0.9,0.25,0.2592374426597564,0.2591371593680759,0.2591371593680759,0.2590520856289319,0.2554792995213598,0.2625878586445521,True,
8,5,5,1.0,0.275,0.2686571100431495,0.2685911417694933,0.2685911417694933,0.2684563429332763,0.2644810034080289,0.2729758915929587,True,
8,5,5,1.1,0.275,0.276268392079379,0.2763179426452553,0.2763179426452553,0.2762597299849043,0.2717355602147348,0.2808966373175148,True,
8,5,5,1.2,0.275,0.287461596039117,0.2869920921457272,0.2869920921457272,0.2869983796581922,0.2816092654586822,0.2929045537497278,True,
8,5,5,1.3,0.3,0.2965577073135586,0.2966349907336318,0.2966349907336318,0.2967442928735759,0.2899137970032895,0.3027926240470039,True,
8,5,5,1.4,0.3,0.3056426870030038,0.3053138352109922,0.3053138352109922,0.3055000425152495,0.298792489727034,0.3118075071737465,True,
8,5,5,1.5,0.325,0.3157751860825717,0.3156427886109457,0.3156427886109457,0.3159744666815808,0.3086364235486429,0.3220815745318051,True,
8,5,5,1.6,0.325,0.3243519406067462,0.3244582507413547,0.3244582507413547,0.324534912077117,0.3169962370951127,0.3314152184391782,True,
8,5,5,1.7,0.325,0.3352774272771409,0.3346755988293218,0.3346755988293218,0.3349740753770071,0.3270700386290147,0.3419513420551039,True,
8,5,5,1.8,0.35,0.3451001545731065,0.3447745011988633,0.3447745011988633,0.3447030889696996,0.3373206845406103,0.352912535157799,True,
8,5,5,1.9,0.35,0.3532220320910562,0.353259583855431,0.353259583855431,0.35349911874664,0.3453288731478687,0.3619019679458545,True,
8,5,5,2.0,0.35,0.3579565998449552,0.3578134121714427,0.3578134121714427,0.3582218209768278,0.3498844451648836,0.3653481405478035,True,
8,5,5,2.1,0.375,0.3643310327487065,0.3647749487926132,0.3647749487926132,0.3650896642200972,0.3565542176599392,0.3732883479678275,True,
8,5,5,2.2,0.375,0.3750579513168715,0.3755793519701891,0.3755793519701891,0.3758138052295647,0.3665274000816209,0.3842815894311221,True,
8,5,5,2.3,0.375,0.3857075892573602,0.3853014021222413,0.3853014021222413,0.3858656696678463,0.3750895394524781,0.3950806359305732,True,
8,5,5,2.4,0.4,0.3921702846337059,0.3927304443172449,0.3927304443172449,0.392883740825628,0.3822542813945811,0.4042279002331868,True,
8,5,5,2.5,0.4,0.4014696445076862,0.4020780550537197,0.4020780550537197,0.4026464970217076,0.3910432865758562,0.4116193292316036,True,
8,6,6,0.1,0.225,0.2229060863662728,0.2227065745148725,0.2227065745148725,0.2227076306871341,0.2212436075852688,0.2242579049265099,True,
8,6,6,0.2,0.2,0.2059645791078314,0.2059175263762898,0.2059175263762898,0.2059352585395759,0.2044662499177948,0.2074557558922522,True,
8,6,6,0.3,0.2,0.1989165413169312,0.1987824318775343,0.1987824318775343,0.1988069377315718,0.1973970217671102,0.2001875267766217,True,
8,6,6,0.4,0.2,0.1964974517055591,0.1962260387850989,0.1962260387850989,0.1962716641012378,0.1947145869679863,0.1978077762649381,True,
8,6,6,0.5,0.2,0.198170754089706,0.197693061612901,0.197693061612901,0.1977179614693737,0.1960612357275594,0.1994127704136911,True,
8,6,6,0.6,0.2,0.2027725545370294,0.202398648250377,0.202398648250377,0.2024646368344818,0.2007036797644154,0.2040053858183467,True,
8,6,6,0.7,0.2,0.2087462114457603,0.2083041030978657,0.2083041030978657,0.2083536480255117,0.2064359489521459,0.210143096048013,True,
8,6,6,0.8,0.2,0.2140040461810611,0.2135202426059409,0.2135202426059409,0.2135686151678008,0.211596618419838,0.2160574115613992,True,
8,6,6,0.9,0.225,0.2209360595595334,0.2206350876986396,0.2206350876986396,0.220627153101797,0.217348289207809,0.223642776482744,True,
8,6,6,1.0,0.225,0.2288777422016834,0.228482385053945,0.228482385053945,0.2285151330950859,0.2247596707278567,0.231924153167664,True,
8,6,6,1.1,0.225,0.235470211552782,0.2353829014477404,0.2353829014477404,0.2353662361830829,0.2319354801400273,0.2388751716471384,True,
8,6,6,1.2,0.25,0.2429629477228908,0.242898372948437,0.242898372948437,0.2429427083634575,0.23835551461668,0.247872393898329,True,
8,6,6,1.3,0.25,0.2512986091640675,0.2511347776992579,0.2511347776992579,0.2512857494940139,0.2463001135684521,0.2558382026981915,True,
8,6,6,1.4,0.25,0.2594429413564117,0.2593375317465766,0.2593375317465766,0.2594328100389839,0.2547031372185765,0.2640665488875371,True,
8,6,6,1.5,0.275,0.2682472496353767,0.2682145401454206,0.2682145401454206,0.2682122133983804,0.2627836417751582,0.2740723800552611,True,
8,6,6,1.6,0.275,0.2770466139356846,0.2768543830642506,0.2768543830642506,0.2768933816638718,0.2712521571785845,0.2828950258364393,True,
8,6,6,1.7,0.275,0.2851300291880927,0.2852721172522742,0.2852721172522742,0.2852979524224012,0.279644364787634,0.2913832647303227,True,
8,6,6,1.8,0.3,0.2946040260996449,0.2945982902005721,0.2945982902005721,0.294711227678638,0.2877095273903496,0.3014107297853544,True,
8,6,6,1.9,0.3,0.3042798029430762,0.3043392819896787,0.3043392819896787,0.30439056620515,0.2973609281228337,0.3111758084098822,True,
8,6,6,2.0,0.3,0.3129437568924135,0.3127410361152659,0.3127410361152659,0.3128275012106521,0.306187139092629,0.320843154451765,True,
8,6,6,2.1,0.325,0.3239419668642371,0.3236487009612687,0.3236487009612687,0.3238799056744791,0.3155544533248255,0.3309412005609132,True,
8,6,6,2.2,0.325,0.3323715599755692,0.3324981714260625,0.3324981714260625,0.3326517220069263,0.3242418166760833,0.34002422018979,True,
8,6,6,2.3,0.35,0.3434231092365072,0.3436658507183883,0.3436658507183883,0.3437407318407582,0.3346435529846945,0.3522911562662575,True,
8,6,6,2.4,0.35,0.3539634761457372,0.3541774546877305,0.3541774546877305,0.3542629628594327,0.3453002828768139,0.3625790026435359,True,
8,6,6,2.5,0.375,0.3638195564036455,0.3642236575272281,0.3642236575272281,0.364313833470789,0.3553570648256209,0.372822701539137,True,
8,7,7,0.1,0.175,0.1853617855272256,0.1852560741434054,0.1852560741434054,0.1852379377217144,0.1845661275593386,0.1860841349226715,True,
8,7,7,0.2,0.175,0.1754609137317203,0.1749706152787013,0.1749706152787013,0.17490755519779,0.1738279439924555,0.1761284044555402,True,
8,7,7,0.3,0.15,0.1667951885897348,0.1663166545503135,0.1663166545503135,0.1662888107067103,0.1655815018659581,0.1670332785055381,True,
8,7,7,0.4,0.15,0.1658138743169254,0.1650494460427102,0.1650494460427102,0.165050768350943,0.1643330133895598,0.165757769717788,True,
8,7,7,0.5,0.15,0.1689324839415452,0.1661966609131984,0.1661966609131984,0.1662195913554407,0.165459870927838,0.167707346214584,True,
8,7,7,0.6,0.175,0.1729438218680866,0.1714707074429765,0.1714707074429765,0.1714996623945217,0.1699269073181476,0.1730204919213928,True,
8,7,7,0.7,0.175,0.1777079787253085,0.1764521552994364,0.1764521552994364,0.1765062552885085,0.1747976739239108,0.1781056063576869,True,
