L,N,nmax,W_over_t,realization,reason
8,8,8,0.5,196,"missing U: [0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.5,197,missing
8,8,8,0.5,198,missing
8,8,8,0.5,199,missing
8,8,8,0.6,47,"missing U: [0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.6,48,missing
8,8,8,0.6,49,missing
8,8,8,0.6,95,"missing U: [0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.6,96,missing
8,8,8,0.6,97,missing
8,8,8,0.6,98,missing
8,8,8,0.6,99,missing
8,8,8,0.6,146,"missing U: [0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.6,147,missing
8,8,8,0.6,148,missing
8,8,8,0.6,149,missing
8,8,8,0.6,196,"missing U: [0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.6,197,missing
8,8,8,0.6,198,missing
8,8,8,0.6,199,missing
8,8,8,0.7,46,"missing U: [0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.7,47,missing
8,8,8,0.7,48,missing
8,8,8,0.7,49,missing
8,8,8,0.7,96,"missing U: [0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.7,97,missing
8,8,8,0.7,98,missing
8,8,8,0.7,99,missing
8,8,8,0.7,146,"missing U: [0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.7,147,missing
8,8,8,0.7,148,missing
8,8,8,0.7,149,missing
8,8,8,0.7,196,"missing U: [0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.7,197,missing
8,8,8,0.7,198,missing
8,8,8,0.7,199,missing
8,8,8,0.8,46,"missing U: [0.975, 1.0]"
8,8,8,0.8,47,missing
8,8,8,0.8,48,missing
8,8,8,0.8,49,missing
8,8,8,0.8,96,"missing U: [0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.8,97,missing
8,8,8,0.8,98,missing
8,8,8,0.8,99,missing
8,8,8,0.8,146,"missing U: [0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.8,147,missing
8,8,8,0.8,148,missing
8,8,8,0.8,149,missing
8,8,8,0.8,196,"missing U: [0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.8,197,missing
8,8,8,0.8,198,missing
8,8,8,0.8,199,missing
8,8,8,0.9,45,"missing U: [0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.9,46,missing
8,8,8,0.9,47,missing
8,8,8,0.9,48,missing
8,8,8,0.9,49,missing
8,8,8,0.9,96,"missing U: [0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.9,97,missing
8,8,8,0.9,98,missing
8,8,8,0.9,99,missing
8,8,8,0.9,145,"missing U: [0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,0.9,146,missing
8,8,8,0.9,147,missing
8,8,8,0.9,148,missing
8,8,8,0.9,149,missing
8,8,8,0.9,196,"missing U: [0.975, 1.0]"
8,8,8,0.9,197,missing
8,8,8,0.9,198,missing
8,8,8,0.9,199,missing
8,8,8,1.0,46,"missing U: [0.125, 0.15, 0.175, 0.2, 0.225, 0.25, 0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,1.0,47,missing
8,8,8,1.0,48,missing
8,8,8,1.0,49,missing
8,8,8,1.0,96,"missing U: [0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,1.0,97,missing
8,8,8,1.0,98,missing
8,8,8,1.0,99,missing
8,8,8,1.0,146,"missing U: [0.275, 0.3, 0.325, 0.35, 0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,1.0,147,missing
8,8,8,1.0,148,missing
8,8,8,1.0,149,missing
8,8,8,1.0,196,"missing U: [0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,1.0,197,missing
8,8,8,1.0,198,missing
8,8,8,1.0,199,missing
8,8,8,1.1,46,"missing U: [0.375, 0.4, 0.425, 0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,1.1,47,missing
8,8,8,1.1,48,missing
8,8,8,1.1,49,missing
8,8,8,1.1,96,"missing U: [0.45, 0.475, 0.5, 0.525, 0.55, 0.575, 0.6, 0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,1.1,97,missing
8,8,8,1.1,98,missing
8,8,8,1.1,99,missing
8,8,8,1.1,146,"missing U: [0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,1.1,147,missing
8,8,8,1.1,148,missing
8,8,8,1.1,149,missing
8,8,8,1.1,196,"missing U: [0.625, 0.65, 0.675, 0.7, 0.725, 0.75, 0.775, 0.8, 0.825, 0.85, 0.875, 0.9, 0.925, 0.95, 0.975, 1.0]"
8,8,8,1.1,197,missing
8,8,8,1.1,198,missing
8,8,8,1.1,199,missing
