L,N,nmax,W_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
8,5,5,0.1,0.0218044874996711,0.0223213484567425,0.0215021647274111,0.0231106312750667
8,5,5,0.2,0.0435736311221117,0.0446554046813689,0.0430182643258662,0.0462283238332686
8,5,5,0.3,0.0652726129703659,0.0669008717697708,0.0644292604201007,0.0692576753713443
8,5,5,0.4,0.0868688783782469,0.0890491072802732,0.0857127636094991,0.0921875357538316
8,5,5,0.5,0.1083319667732213,0.1110655367388276,0.1069204105787251,0.114999487163197
8,5,5,0.6,0.1296344743099259,0.1329772786605711,0.1279789346715412,0.1376690832523767
8,5,5,0.7,0.1507525134183923,0.1547053280436499,0.1488584468759555,0.1601795068047858
8,5,5,0.8,0.1716656687328908,0.1762868762129689,0.169510934824798,0.1825517405144204
8,5,5,0.9,0.1923572922905031,0.197640115417419,0.1899285313950748,0.2047434836916255
8,5,5,1.0,0.2128142694068597,0.21873853133854,0.2101141893850195,0.2267065524500614
8,5,5,1.1,0.2330268521373325,0.2395672812560543,0.2301154135242074,0.2484751684435251
8,5,5,1.2,0.2529883665167555,0.2602004378776906,0.2498948591670057,0.2700368812741115
8,5,5,1.3,0.2726947706015934,0.2806585096113118,0.2694077060510616,0.2912813759331596
8,5,5,1.4,0.2921444622722191,0.3008559940069524,0.2886378313689047,0.312241846960235
8,5,5,1.5,0.3113377331663564,0.3208454003550958,0.30769483259756,0.3330875416694239
8,5,5,1.6,0.3302764678996622,0.3405351237448511,0.3265426468480869,0.3537364263503575
8,5,5,1.7,0.3489638647023316,0.3600204398165595,0.3450904603086396,0.3741426494477118
8,5,5,1.8,0.3674040760409549,0.3794371851259237,0.3632416053984482,0.3943025065344924
8,5,5,1.9,0.3856020182836424,0.3985839900651776,0.3812474726680163,0.414213006568405
8,5,5,2.0,0.4035631086798453,0.4174966656798786,0.3989939482143388,0.4339618421170902
8,5,5,2.1,0.4212931353614416,0.4361002128595121,0.4164428053121201,0.4535352555874666
8,5,5,2.2,0.4387980583764497,0.4545860086098704,0.4336905003717554,0.4729053674511799
8,5,5,2.3,0.4560839942298835,0.4726811870409881,0.4508015148066752,0.4921653318879481
8,5,5,2.4,0.4731569842660957,0.4905566364180482,0.4675627466152297,0.5112241996047617
8,5,5,2.5,0.4900231021787887,0.5082385652314062,0.4841174722818497,0.5300656143220139
8,6,6,0.1,0.019629741720058,0.0201456225687955,0.0194438412446054,0.0208883913957555
8,6,6,0.2,0.0392260887174579,0.0403328916022039,0.0389348640416513,0.0418166761916202
8,6,6,0.3,0.0587562464892269,0.0603801391489783,0.0582984307116933,0.0626363438118606
8,6,6,0.4,0.0781896095612059,0.0803864984840661,0.0776221009301304,0.083367814041977
8,6,6,0.5,0.0974978766003181,0.1002801004113497,0.0968284310738108,0.1040232640756014
8,6,6,0.6,0.1166559933231482,0.1200327185005122,0.1158787404432218,0.1245431967991972
8,6,6,0.7,0.1356423039689111,0.1395991914250386,0.1347545049795693,0.1448990254406144
8,6,6,0.8,0.1544388652716578,0.1589980365467578,0.1535285054988784,0.1650693738342102
8,6,6,0.9,0.1730313275850119,0.1782487445734017,0.172100459938765,0.1850560397219749
8,6,6,1.0,0.1914088947327413,0.1972990763319388,0.1904407501139071,0.2049184010383613
8,6,6,1.1,0.2095639107675768,0.2160684180798214,0.2085758571474188,0.2245673318198496
8,6,6,1.2,0.227491599922027,0.2346468680401527,0.2265510564627555,0.2439850790237008
8,6,6,1.3,0.2451896904273351,0.2531404602481036,0.244268307472572,0.263155873454639
8,6,6,1.4,0.2626579700483187,0.2713109616036656,0.261706408018751,0.282201922071941
8,6,6,1.5,0.2798979012351925,0.2892048370595727,0.2790005437578074,0.3010499744072549
