L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
8,5,5,0.1,0.0,200,0.9992857592785345,2.2830460577765603e-05
8,5,5,0.1,0.025,200,0.9996863433890684,8.15773893224925e-06
8,5,5,0.1,0.05,200,0.9990707242276676,1.4333151240580599e-05
8,5,5,0.1,0.075,200,0.9974466486894769,3.0504316700653144e-05
8,5,5,0.1,0.1,200,0.994830983709359,4.709949676258013e-05
8,5,5,0.1,0.125,200,0.9912491601054725,6.348991709694109e-05
8,5,5,0.1,0.15,200,0.9867343813949984,7.948473231130051e-05
8,5,5,0.1,0.175,200,0.9813266498867955,9.496595296530103e-05
8,5,5,0.1,0.2,200,0.9750716696060594,0.00010984406900589869
8,5,5,0.1,0.225,200,0.9680196868071674,0.00012404819118982946
8,5,5,0.1,0.25,200,0.9602243247288316,0.00013752287323894326
8,5,5,0.1,0.275,200,0.9517414611840919,0.00015022652992275205
8,5,5,0.1,0.3,200,0.9426281871527553,0.00016213020573558788
8,5,5,0.1,0.325,200,0.9329418732928488,0.0001732163621913057
8,5,5,0.1,0.35,200,0.9227393604708348,0.0001834776172593759
8,5,5,0.1,0.375,200,0.9120762809054593,0.00019291545364776333
8,5,5,0.1,0.4,200,0.9010065088143184,0.00020153893508291
8,5,5,0.1,0.425,200,0.8895817336997226,0.00020936346991812685
8,5,5,0.1,0.45,200,0.877851145521577,0.00021640965356682895
8,5,5,0.1,0.475,200,0.8658612187392865,0.00022270221132486057
8,5,5,0.1,0.5,200,0.8536555812503122,0.00022826905369482343
8,5,5,0.1,0.525,200,0.8412749542859731,0.00023314044841333504
8,5,5,0.1,0.55,200,0.8287571500468246,0.0002373483073187037
8,5,5,0.1,0.575,200,0.81613711501734,0.00024092558191710114
8,5,5,0.1,0.6,200,0.8034470082918479,0.0002439057587728128
8,5,5,0.1,0.625,200,0.7907163057206344,0.00024632244436403726
8,5,5,0.1,0.65,200,0.7779719221413842,0.00024820902851124257
8,5,5,0.1,0.675,200,0.7652383453278694,0.00024959841563212975
8,5,5,0.1,0.7,200,0.7525377765246012,0.0002505228136810124
8,5,5,0.1,0.725,200,0.7398902735236237,0.00025101357151199443
8,5,5,0.1,0.75,200,0.7273138931730968,0.0002511010564285284
8,5,5,0.1,0.775,200,0.7148248309919262,0.00025081456474791085
8,5,5,0.1,0.8,200,0.7024375562116216,0.0002501822592493537
8,5,5,0.1,0.825,200,0.6901649410902126,0.00024923112834474844
8,5,5,0.1,0.85,200,0.6780183837591821,0.000247986962686257
8,5,5,0.1,0.875,200,0.6660079241887223,0.00024647434569302846
8,5,5,0.1,0.9,200,0.6541423531041203,0.0002447166551383425
8,5,5,0.1,0.925,200,0.6424293138703371,0.0002427360734929772
8,5,5,0.1,0.95,200,0.6308753974949542,0.00024055360517905909
8,5,5,0.1,0.975,200,0.6194862309920401,0.00023818909926183796
8,5,5,0.1,1.0,200,0.6082665594100386,0.00023566127640632862
8,5,5,0.2,0.0,200,0.9971580668077936,9.056578802961057e-05
8,5,5,0.2,0.025,200,0.9984588103887694,5.8955187167621226e-05
8,5,5,0.2,0.05,200,0.9987485785304966,3.247962478668769e-05
8,5,5,0.2,0.075,200,0.9980287929632865,3.129397729410907e-05
8,5,5,0.2,0.1,200,0.9963100916054921,5.677471032344033e-05
8,5,5,0.2,0.125,200,0.9936119247721836,8.774477927941145e-05
8,5,5,0.2,0.15,200,0.9899618993551229,0.00011942389050953127
8,5,5,0.2,0.175,200,0.9853949165178022,0.0001507291997679582
8,5,5,0.2,0.2,200,0.9799521582412487,0.00018121785979478423
8,5,5,0.2,0.225,200,0.9736799819365336,0.00021063243552449582
8,5,5,0.2,0.25,200,0.9666287806814827,0.00023879673304771847
8,5,5,0.2,0.275,200,0.9588518605174573,0.0002655831758085755
8,5,5,0.2,0.3,200,0.9504043771187287,0.0002908996735046328
8,5,5,0.2,0.325,200,0.9413423635500189,0.0003146828354737943
8,5,5,0.2,0.35,200,0.9317218701020826,0.0003368935063646121
8,5,5,0.2,0.375,200,0.9215982273553823,0.0003575132494041816
8,5,5,0.2,0.4,200,0.9110254353063247,0.0003765412885055929
8,5,5,0.2,0.425,200,0.900055674891438,0.0003939917427360378
8,5,5,0.2,0.45,200,0.8887389335822787,0.0004098911060374076
8,5,5,0.2,0.475,200,0.8771227337334669,0.00042427596568713464
8,5,5,0.2,0.5,200,0.8652519507816316,0.00043719096222128904
8,5,5,0.2,0.525,200,0.8531687079104215,0.0004486869909311788
8,5,5,0.2,0.55,200,0.8409123341199929,0.00045881963893957205
8,5,5,0.2,0.575,200,0.8285193735065328,0.00046764784579174265
8,5,5,0.2,0.6,200,0.8160236347526703,0.00047523277079949413
8,5,5,0.2,0.625,200,0.8034562711858543,0.0004816368473830514
8,5,5,0.2,0.65,200,0.7908458831565798,0.0004869230032472109
8,5,5,0.2,0.675,200,0.7782186358375356,0.000491154025109745
8,5,5,0.2,0.7,200,0.765598386794899,0.0004943920475372639
8,5,5,0.2,0.725,200,0.7530068188040282,0.0004966981469245651
8,5,5,0.2,0.75,200,0.7404635743607559,0.0004981320235151121
8,5,5,0.2,0.775,200,0.7279863891752604,0.0004987517563956157
8,5,5,0.2,0.8,200,0.7155912226347277,0.0004986136184530783
