L,N,nmax,filling,W_over_t,realizations,U_points,entropy_peak_method,U_S_loess_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,unresolved_reasons
9,9,9,1.0,0.1,167,41,weighted_loess_quadratic,0.16546509127733144,0.165,0.16395198212622838,0.0999617351288312,0.16546509127733144,0.16408081075220987,0.15408741649715127,0.16598403795738134,1.0,0.011896621460230072,0.012500000000000011,True,False,0.15,0.175,0.0424623650551559,0.000232813092534585,182.38821791711737,-0.1715364151325708,
9,9,9,1.0,0.3,166,41,weighted_loess_quadratic,0.14947915557845098,0.15,0.14998353098178074,0.09789971830669439,0.14947915557845098,0.14877041224380363,0.144947208218358,0.15152232263494872,1.0,0.006575114416590727,0.012500000000000011,True,False,0.15,0.15,0.03873000539777238,0.0001421854501872669,272.39077800691,-0.27960688172409615,
9,9,9,1.0,0.5,113,41,weighted_loess_quadratic,0.1406325903649739,0.14100000000000001,0.13990862564337608,0.11349336161646632,0.1406325903649739,0.13735128077460404,0.12858209000132015,0.1405779255069211,1.0,0.01199583550560096,0.012500000000000011,True,False,0.125,0.15,0.04160239542773015,0.00034152259172515794,121.81447563272737,-0.1653209218163821,
9,9,9,1.0,0.7,139,41,weighted_loess_quadratic,0.13727587879638364,0.137,0.13912516138051287,0.11481126532211307,0.13727587879638364,0.1334902559176302,0.1309583979742526,0.13686447537688526,1.0,0.005906077402632659,0.012500000000000011,True,False,0.125,0.125,0.04657947556375805,0.0005192602367558338,89.7035287253482,-0.17086768126522894,
9,9,9,1.0,0.9,179,41,weighted_loess_quadratic,0.1386647455778458,0.139,0.1405154193175936,0.11671987603773082,0.1386647455778458,0.1367972403505875,0.1321798121712367,0.13965707024945462,1.0,0.007477258078217919,0.012500000000000011,True,False,0.125,0.15,0.05408394167069776,0.000689518718708118,78.43723484698052,-0.4398620664009544,
9,9,9,1.0,1.1,76,41,weighted_loess_quadratic,0.14700392016659547,0.147,0.1504810225392404,0.11959479891673028,0.14700392016659547,0.14192829149066793,0.13882694970974863,0.1464825297370339,1.0,0.00765558002728528,0.012500000000000011,True,False,0.15,0.15,0.06456334331721003,0.0016649508788175607,38.77792680770413,-0.46148030894621167,
9,9,9,1.0,1.3,105,41,weighted_loess_quadratic,0.15346715593622134,0.153,0.15642349998798333,0.1396869431850624,0.15346715593622134,0.15451778867551097,0.14497187401133543,0.16352998932425555,1.0,0.01855811531292012,0.012500000000000011,True,False,0.15,0.15,0.0743942732240766,0.00179647166391481,41.41132572164212,-0.8468042117659662,
9,9,9,1.0,1.5,169,41,weighted_loess_quadratic,0.1607221152171632,0.161,0.16289797729183628,0.15513156828836056,0.1607221152171632,0.1649612481592366,0.15323896377831636,0.17805013988308996,1.0,0.024811176104773597,0.012500000000000011,True,False,0.15,0.15,0.08526860721368532,0.0017307101032526717,49.26798951102944,-0.8763559351104087,
9,9,9,1.0,1.7,185,41,weighted_loess_quadratic,0.16782712972392014,0.168,0.1721343744678451,0.1658537760306691,0.16782712972392014,0.1741225158830942,0.15914871952975806,0.18819912624931096,1.0,0.02905040671955289,0.012500000000000011,True,False,0.175,0.175,0.09535546572526209,0.0019085361083466055,49.96262072708177,-1.9894868297990131,
9,9,9,1.0,1.9,178,41,weighted_loess_quadratic,0.1804536877641625,0.18,0.18381911515546845,0.18196187234617317,0.1804536877641625,0.18667595593308606,0.16836949644210103,0.20160827908206375,1.0,0.033238782639962716,0.012500000000000011,True,False,0.175,0.175,0.10484017782125081,0.002086833338264443,50.238883910319,-2.374225067234886,
9,9,9,1.0,2.1,173,41,weighted_loess_quadratic,0.18956781552042618,0.19,0.1926987375123056,0.1914181341793512,0.18956781552042618,0.1962681608062636,0.17686340717383617,0.21163691416132333,1.0,0.03477350698748716,0.012500000000000011,True,False,0.175,0.2,0.11276688359277337,0.002268272250670873,49.71488037179884,-4.187707018240201,
9,9,9,1.0,2.3,173,41,weighted_loess_quadratic,0.2003297654887951,0.2,0.20191905514916386,0.20118111214744192,0.2003297654887951,0.20306150832840741,0.18169752442806927,0.2207795728225611,1.0,0.039082048394491836,0.012500000000000011,True,False,0.2,0.2,0.11555968567686153,0.002324112954755622,49.722060814816345,-2.8911195456855587,
9,9,9,1.0,2.5,168,41,weighted_loess_quadratic,0.20530969037968594,0.20500000000000002,0.2074203775674984,0.2072894968263924,0.20530969037968594,0.2083005135509856,0.18885395156011484,0.23258648748145583,1.0,0.04373253592134099,0.012500000000000011,True,False,0.2,0.2,0.11518652298770447,0.002541246940015272,45.32677292156907,-4.366321135449727,
