L,N,nmax,filling,W_over_t,realizations,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
9,9,9,1.0,0.1,167,0.016174895920212214,0.013577733560538787,0.0,0.015023170844425072
9,9,9,1.0,0.3,166,0.04840758995371286,0.040954485305400266,0.03663430697882608,0.04523285734731835
9,9,9,1.0,0.5,113,0.08030321841458526,0.06798578489411766,0.06082886528735242,0.0750223305984845
9,9,9,1.0,0.7,139,0.11168107021105454,0.09459603502615885,0.08469527357016556,0.10435926659030656
9,9,9,1.0,0.9,179,0.142412746493736,0.12077086086487228,0.10806246112030571,0.13303429748948392
9,9,9,1.0,1.1,76,0.17242270043724495,0.14652620658022159,0.1310318803441485,0.16112186194846204
9,9,9,1.0,1.3,105,0.2016801695462527,0.17159118761413045,0.15351558342971008,0.1887347314067139
9,9,9,1.0,1.5,169,0.23018722859384966,0.19624229230135193,0.1755059981680413,0.21571003914746872
9,9,9,1.0,1.7,185,0.2579672968051591,0.22037295712476834,0.19710674369856818,0.2423141334764174
9,9,9,1.0,1.9,178,0.28505566539444427,0.2437719258769866,0.21832385669190554,0.2678656943714205
9,9,9,1.0,2.1,173,0.3114931063405044,0.2667516871269445,0.23906204169905174,0.2929529615709424
9,9,9,1.0,2.3,173,0.33732159231813313,0.2890267323318818,0.2594141210388155,0.3177663419731576
9,9,9,1.0,2.5,168,0.36258188168996064,0.31078233635645125,0.2794002302778484,0.3417224418904067
