L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,entropy_peak_method,U_S_loess_over_t,loess_span_points_used,loess_dense_points,U_S_candidate_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,peak_estimator_disagreement_over_t,peak_estimators_agree,peak_smoothing_points_used,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
9,9,9,1.0,0.1,186,41,0.0,1.0,0.016174895920212214,0.014685510890352502,0.013597520280613277,0.016043326244289363,weighted_loess_quadratic,0.16549007713849698,9,1001,0.16549007713849698,0.1638680318713711,0.09996498857734132,0.0639030432940298,True,7,0.165,0.15703907367629347,0.15457669609820074,0.1655648404703101,1.0,0.010988144372109349,0.012500000000000011,True,False,0.15,0.175,0.024999999999999994,2,False,0.04247658167976794,0.00022355758731094937,190.00286320269984,-0.17145488981675736,-0.27878103175404423,-0.04678205558042803,1.0,0.046369793587117764,500,,0.14086417775608126,8.70881509537609,inconsistent
9,9,9,1.0,0.3,192,41,0.0,1.0,0.04840758995371286,0.04423997193527048,0.04101582548351833,0.0482583158721743,weighted_loess_quadratic,0.14943311415065064,9,1001,0.14943311415065064,0.1498828742639281,0.09795374624079586,0.05192912802313224,True,7,0.15,0.14804772888733847,0.14519105570549617,0.15016539486693684,1.0,0.004974339161440661,0.012500000000000011,True,False,0.15,0.15,0.0,1,False,0.0387445663185772,0.0001300854797230961,297.8392853764314,-0.28371165327549097,-0.28353968143830754,-0.13283339267301134,1.0,0.019479588386424305,500,,0.09964013893362561,2.058357770525265,inconsistent
9,9,9,1.0,0.5,169,41,0.0,1.0,0.08030321841458526,0.0734230022614799,0.06804421995244397,0.08003238116134233,weighted_loess_quadratic,0.1407545855318999,9,1001,0.1407545855318999,0.14001287727498796,0.11342107026008873,0.02659180701489923,True,7,0.14100000000000001,0.13913848670839107,0.13293847587459723,0.14107291025649116,1.0,0.008134434381893929,0.012500000000000011,True,False,0.125,0.15,0.024999999999999994,2,False,0.04135735047644026,0.0002628399494794469,157.34803844829628,-0.16943086717534891,-0.18300764825785087,-0.04338534334697106,1.0,0.06143368231905959,500,,0.05883526829380581,0.7326638888874186,inconsistent
9,9,9,1.0,0.7,181,41,0.0,1.0,0.11168107021105454,0.10214409089700277,0.09468438572205554,0.11126957820803798,weighted_loess_quadratic,0.13722675418307725,9,1001,0.13722675418307725,0.1391012493733917,0.11489881048629313,0.024202438887098554,True,7,0.137,0.13505194026760153,0.13221796998827884,0.13725544198014908,1.0,0.00503747199187024,0.012500000000000011,True,False,0.125,0.125,0.0,1,False,0.04662996075968655,0.00044594882005816416,104.56348052138517,-0.1664412398710411,-0.2157796519935364,-0.10145823840386481,1.0,0.14899133880575205,500,,0.02337087005654699,0.20926438126336713,inconsistent
9,9,9,1.0,0.9,191,41,0.0,1.0,0.142412746493736,0.13023073997651569,0.12079695850418058,0.14195914918295482,weighted_loess_quadratic,0.13891267120656936,9,1001,0.13891267120656936,0.14060261864122442,0.11677944925765377,0.023823169383570653,True,7,0.139,0.13767075374924864,0.13404064122142598,0.1396897262965986,1.0,0.005649085075172616,0.012500000000000011,True,False,0.125,0.15,0.024999999999999994,2,False,0.054050779600724554,0.0006753730508892773,80.03099846752073,-0.4398510465580456,-0.4547570659755616,-0.14277115351626313,1.0,0.2683857210527638,500,,-0.004741992744487361,0.03329753032110744,consistent
9,9,9,1.0,1.1,112,41,0.0,1.0,0.17242270043724495,0.1577827872589892,0.14632672581387823,0.17188167352770117,weighted_loess_quadratic,0.14461258712484248,9,1001,0.14461258712484248,0.14845002779578856,0.11955524926977266,0.028894778526015893,True,7,0.145,0.1420222390586628,0.139665795370507,0.1449721631065778,1.0,0.005306367736070794,0.012500000000000011,True,False,0.15,0.15,0.0,1,False,0.06389104577695069,0.0012924491559357326,49.434088361250545,-0.5047577862735465,-0.734688874391162,-0.4093707389378745,1.0,0.41248434748980844,500,,-0.030400461378582155,0.17631356718976063,inconsistent
9,9,9,1.0,1.3,138,41,0.0,1.0,0.2016801695462527,0.18454423535880438,0.17116306828351002,0.20110076692677328,weighted_loess_quadratic,0.15246606294135948,9,1001,0.15246606294135948,0.15543569846262115,0.13951147403292724,0.015924224429693906,True,7,0.152,0.151977598857091,0.14387512089580512,0.15745725020862217,1.0,0.013582129312817048,0.012500000000000011,True,False,0.15,0.15,0.0,1,False,0.07447809904709539,0.0015358538918261784,48.49295850566788,-0.8533977215727023,-0.965620381426625,-0.28353084557062685,1.0,0.5281584522108771,500,,-0.0497025706891617,0.246442527299458,inconsistent
9,9,9,1.0,1.5,181,41,0.0,1.0,0.23018722859384966,0.21071577447819262,0.1952258348278856,0.2295929219618263,weighted_loess_quadratic,0.16085488872084097,9,1001,0.16085488872084097,0.16299509812781007,0.15515171386533264,0.007843384262477437,True,7,0.161,0.1605045072462161,0.1528733195646494,0.16495418432650213,1.0,0.012080864761852744,0.012500000000000011,True,False,0.15,0.15,0.0,1,False,0.08492772950070417,0.0016455538989839803,51.610420997538505,-0.8595581594790274,-2.39715582628975,-0.42149230155537576,1.0,0.6115701514082761,500,,-0.06968272134763356,0.3027219267259357,inconsistent
9,9,9,1.0,1.7,185,41,0.0,1.0,0.2579672968051591,0.2362221696405727,0.21862737552631115,0.25733758497018067,weighted_loess_quadratic,0.16782712972392014,9,1001,0.16782712972392014,0.1721343744678451,0.1658537760306691,0.006280598437176016,True,7,0.168,0.16820959321390866,0.1616949879240826,0.17770355757515827,1.0,0.016008569651075666,0.012500000000000011,True,False,0.175,0.175,0.0,1,False,0.09535546572526209,0.0019085361083466055,49.96262072708177,-1.9894868297990131,-2.246780110488876,-0.6144558746219655,1.0,0.6669969015949052,500,,-0.08975770359125046,0.3479421798920652,inconsistent
9,9,9,1.0,1.9,180,41,0.0,1.0,0.28505566539444427,0.2613033153514238,0.24134988076610206,0.2842781658450317,weighted_loess_quadratic,0.18040502239939585,9,1001,0.18040502239939585,0.1837660535236876,0.18186771631912904,0.0018983372045585645,True,7,0.18,0.1801446573096927,0.16953826350366655,0.18971222855536696,1.0,0.02017396505170041,0.012500000000000011,True,False,0.175,0.175,0.0,1,False,0.10478111365105999,0.002064158066143025,50.762155946152106,-2.359222299937834,-3.3611320468431036,-0.993805448173213,1.0,0.6286876029593236,500,,-0.10491100808475157,0.3680369163671296,inconsistent
9,9,9,1.0,2.1,174,41,0.0,1.0,0.3114931063405044,0.28567943517995675,0.26345017769249485,0.31071648043285943,weighted_loess_quadratic,0.1895412023324383,9,1001,0.1895412023324383,0.19265581948652344,0.19136998154640064,0.001285837940122797,True,7,0.19,0.1920713270769262,0.1808097577054901,0.2039960797371153,1.0,0.02318632203162521,0.012500000000000011,True,False,0.175,0.2,0.025000000000000022,2,False,0.11271664061252433,0.0022557581322021313,49.968407074958584,-4.169121809197493,-3.7627646063026137,-1.1824179714902519,1.0,0.6271923432239302,500,,-0.11942177926357822,0.3833849829505823,inconsistent
9,9,9,1.0,2.3,173,41,0.0,1.0,0.33732159231813313,0.3093720287379835,0.28510544057747056,0.3364191045725441,weighted_loess_quadratic,0.2003297654887951,9,1001,0.2003297654887951,0.20191905514916386,0.20118111214744192,0.0007379430017219468,True,7,0.2,0.20097163782524186,0.18973969993149367,0.21241131000580313,1.0,0.022671610074309456,0.012500000000000011,True,False,0.2,0.2,0.0,1,False,0.11555968567686153,0.002324112954755622,49.722060814816345,-2.8911195456855587,-6.455534521906524,-1.3736403660027585,1.0,0.6297821855825959,500,,-0.13634995449289128,0.4042135386468162,inconsistent
9,9,9,1.0,2.5,168,41,0.0,1.0,0.36258188168996064,0.3329249150710514,0.3059924249417929,0.3615719627540449,weighted_loess_quadratic,0.20530969037968594,9,1001,0.20530969037968594,0.2074203775674984,0.2072894968263924,0.00013088074110600978,True,7,0.20500000000000002,0.20653846078546909,0.19379893821459943,0.21974954644590347,1.0,0.025950608231304045,0.012500000000000011,True,False,0.2,0.2,0.0,1,False,0.11518652298770447,0.002541246940015272,45.32677292156907,-4.366321135449727,-6.684562154538578,-1.7596401357222087,1.0,0.7359396311427555,500,,-0.15604342090449155,0.4303673977783655,inconsistent
