L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
9,9,9,0.1,0.0,167,0.9994649240604675,1.9270439484054855e-05
9,9,9,0.1,0.025,167,0.9996411728314561,5.5777161592295415e-06
9,9,9,0.1,0.05,167,0.998481453369974,1.8577954082072527e-05
9,9,9,0.1,0.075,167,0.9960065949423316,3.597631015410615e-05
9,9,9,0.1,0.1,167,0.9922558110361999,5.324482297141325e-05
9,9,9,0.1,0.125,167,0.9872846612863639,7.002280695738011e-05
9,9,9,0.1,0.15,167,0.9811623754880555,8.613593703298891e-05
9,9,9,0.1,0.175,167,0.9739688096258475,0.0001014623439404468
9,9,9,0.1,0.2,167,0.9657913008197435,0.00011591323697666851
9,9,9,0.1,0.225,167,0.9567216494392147,0.00012942715496073477
9,9,9,0.1,0.25,167,0.9468533973848735,0.00014196647439688835
9,9,9,0.1,0.275,167,0.9362795067509031,0.00015351419116204013
9,9,9,0.1,0.3,167,0.9250904841853571,0.0001640706825401271
9,9,9,0.1,0.325,167,0.9133729497346429,0.00017365052298460922
9,9,9,0.1,0.35,167,0.901208616821395,0.0001822794824308987
9,9,9,0.1,0.375,167,0.8886736312254894,0.00018999180932421385
9,9,9,0.1,0.4,167,0.8758382088898725,0.00019682785733343995
9,9,9,0.1,0.425,167,0.86276651198266,0.00020283207582862377
9,9,9,0.1,0.45,167,0.8495167070927074,0.0002080513554041511
9,9,9,0.1,0.475,167,0.8361411564671498,0.00021253370120747557
9,9,9,0.1,0.5,167,0.8226867012034882,0.00021632719677024657
9,9,9,0.1,0.525,167,0.8091950032397937,0.00021947921717704712
9,9,9,0.1,0.55,167,0.7957029202416182,0.00022203585068981624
9,9,9,0.1,0.575,167,0.7822428937752377,0.00022404149073951867
9,9,9,0.1,0.6,167,0.7688433364014123,0.00022553856430948226
9,9,9,0.1,0.625,167,0.755529007561999,0.00022656736735821142
9,9,9,0.1,0.65,167,0.7423213714675795,0.00022716598255111454
9,9,9,0.1,0.675,167,0.7292389327580515,0.0002273702588912244
9,9,9,0.1,0.7,167,0.7162975476333038,0.0002272138367068733
9,9,9,0.1,0.725,167,0.7035107095616222,0.00022672820481121065
9,9,9,0.1,0.75,167,0.6908898096780837,0.00022594277949432315
9,9,9,0.1,0.775,167,0.6784443726754987,0.00022488499737616927
9,9,9,0.1,0.8,167,0.666182269441615,0.00022358041608608935
9,9,9,0.1,0.825,167,0.6541099079685492,0.00022205281829728755
9,9,9,0.1,0.85,167,0.6422324042013201,0.0002203243158870195
9,9,9,0.1,0.875,167,0.6305537345388781,0.00021841545196682978
9,9,9,0.1,0.9,167,0.6190768716815251,0.00021634529927841092
9,9,9,0.1,0.925,167,0.6078039054546059,0.00021413155402048582
9,9,9,0.1,0.95,167,0.5967361501459266,0.00021179062459563547
9,9,9,0.1,0.975,167,0.585874239785389,0.0002093377150733401
9,9,9,0.1,1.0,167,0.5752182126784605,0.00020678690338134335
9,9,9,0.3,0.0,166,0.9953347381876082,0.00017253512269265226
9,9,9,0.3,0.025,166,0.9971436307711715,0.0001221924397813384
9,9,9,0.3,0.05,166,0.9976282047297581,7.577985763663809e-05
9,9,9,0.3,0.075,166,0.9967926552519856,4.895400428961101e-05
9,9,9,0.3,0.1,166,0.99466008649339,6.965318828712896e-05
9,9,9,0.3,0.125,166,0.9912710811211374,0.00011333539083111939
9,9,9,0.3,0.15,166,0.9866815115492212,0.00016100166415273612
9,9,9,0.3,0.175,166,0.9809598320456293,0.0002085086811501715
9,9,9,0.3,0.2,166,0.9741841115026212,0.00025455686138613074
9,9,9,0.3,0.225,166,0.9664390480887599,0.00029854198922307784
9,9,9,0.3,0.25,166,0.9578131611618877,0.0003401234449114049
9,9,9,0.3,0.275,166,0.9483962971414457,0.0003791001012901387
9,9,9,0.3,0.3,166,0.938277527130694,0.0004153618591354908
9,9,9,0.3,0.325,166,0.9275434634601795,0.00044886468797117806
9,9,9,0.3,0.35,166,0.9162769840875414,0.0004796145674696132
9,9,9,0.3,0.375,166,0.9045563285147501,0.0005076555933594057
9,9,9,0.3,0.4,166,0.8924545149669446,0.0005330605351186303
9,9,9,0.3,0.425,166,0.8800390234360139,0.0005559231473452403
9,9,9,0.3,0.45,166,0.8673716901207157,0.0005763518921121144
9,9,9,0.3,0.475,166,0.8545087634371475,0.0005944648556267087
9,9,9,0.3,0.5,166,0.8415010783097346,0.0006103856884666792
9,9,9,0.3,0.525,166,0.8283943126095875,0.0006242404186215246
9,9,9,0.3,0.55,166,0.8152292965737549,0.000636154999821076
9,9,9,0.3,0.575,166,0.802042352358735,0.0006462534703447687
9,9,9,0.3,0.6,166,0.7888656463447432,0.0006546566110006603
9,9,9,0.3,0.625,166,0.7757275413634365,0.0006614810049489539
9,9,9,0.3,0.65,166,0.7626529397146422,0.0006668384158687965
9,9,9,0.3,0.675,166,0.7496636107592475,0.000670835414054751
9,9,9,0.3,0.7,166,0.7367784991368689,0.0006735731919972961
9,9,9,0.3,0.725,166,0.7240140113706097,0.0006751475216509062
9,9,9,0.3,0.75,166,0.7113842798911337,0.0006756488148643645
9,9,9,0.3,0.775,166,0.6989014044296432,0.0006751622563757434
9,9,9,0.3,0.8,166,0.6865756713712592,0.0006737679854496186
9,9,9,0.3,0.825,166,0.6744157520903117,0.0006715413077766745
9,9,9,0.3,0.85,166,0.6624288815584831,0.0006685529237969084
9,9,9,0.3,0.875,166,0.6506210186664877,0.0006648691632785725
9,9,9,0.3,0.9,166,0.6389969897621085,0.0006605522189108275
9,9,9,0.3,0.925,166,0.6275606169069209,0.0006556603739639892
9,9,9,0.3,0.95,166,0.6163148323101098,0.0006502482208414512
9,9,9,0.3,0.975,166,0.6052617803250524,0.0006443668686840605
9,9,9,0.3,1.0,166,0.5944029083038129,0.0006380641391718121
9,9,9,0.5,0.0,113,0.9873034931004616,0.0005161579905813543
9,9,9,0.5,0.025,113,0.990684271650029,0.00042822503710136654
9,9,9,0.5,0.05,113,0.9927783566660204,0.00034162270832084873
9,9,9,0.5,0.075,113,0.993573950816214,0.0002609677000322281
9,9,9,0.5,0.1,113,0.9930779121580776,0.0001963254701897655
9,9,9,0.5,0.125,113,0.9913149723675589,0.00016805214909408416
9,9,9,0.5,0.15,113,0.9883261299414168,0.00019154334857110166
9,9,9,0.5,0.175,113,0.9841664103145367,0.00025046978975985806
9,9,9,0.5,0.2,113,0.978902226199088,0.00032358907467588315
9,9,9,0.5,0.225,113,0.972608574230602,0.0004007056497072119
9,9,9,0.5,0.25,113,0.9653662757056685,0.00047751431502853446
9,9,9,0.5,0.275,113,0.9572594219199975,0.0005519931815343496
9,9,9,0.5,0.3,113,0.9483731307435432,0.0006230844983359333
9,9,9,0.5,0.325,113,0.9387916703068208,0.000690204180526565
9,9,9,0.5,0.35,113,0.9285969638988711,0.0007530353194337132
9,9,9,0.5,0.375,113,0.9178674597027486,0.0008114282833431101
9,9,9,0.5,0.4,113,0.9066773295421717,0.000865345564239865
9,9,9,0.5,0.425,113,0.8950959506378641,0.0009148276781889882
9,9,9,0.5,0.45,113,0.8831876211757405,0.0009599701727758011
9,9,9,0.5,0.475,113,0.8710114620196098,0.0010009071792187335
9,9,9,0.5,0.5,113,0.8586214612638385,0.0010377992172320807
9,9,9,0.5,0.525,113,0.8460666240826701,0.001070823984814647
9,9,9,0.5,0.55,113,0.8333911965010525,0.0011001693592297753
9,9,9,0.5,0.575,113,0.8206349376620331,0.0011260280921432044
9,9,9,0.5,0.6,113,0.8078334205489919,0.0011485938269823915
9,9,9,0.5,0.625,113,0.7950183457798033,0.0011680581564355239
9,9,9,0.5,0.65,113,0.7822178569904271,0.0011846084987939172
9,9,9,0.5,0.675,113,0.7694568495060872,0.0011984266161406164
9,9,9,0.5,0.7,113,0.7567572665351878,0.0012096876314978992
9,9,9,0.5,0.725,113,0.7441383791051528,0.0012185594292808887
9,9,9,0.5,0.75,113,0.7316170474820515,0.0012252023456302843
9,9,9,0.5,0.775,113,0.7192079629619318,0.0012297690735499174
9,9,9,0.5,0.8,113,0.7069238697658651,0.001232404723008589
9,9,9,0.5,0.825,113,0.6947757673761057,0.0012332469888185474
9,9,9,0.5,0.85,113,0.6827730940699945,0.0012324263895854817
9,9,9,0.5,0.875,113,0.6709238926840038,0.0012300665496649114
9,9,9,0.5,0.9,113,0.6592349598069828,0.0012262845031267458
9,9,9,0.5,0.925,113,0.6477119796865171,0.0012211910044540937
9,9,9,0.5,0.95,113,0.6363596441569241,0.0012148908352810279
9,9,9,0.5,0.975,113,0.6251817598786383,0.0012074831000813725
9,9,9,0.5,1.0,113,0.6141813441297711,0.0011990615065089166
9,9,9,0.7,0.0,139,0.9762289538539756,0.0009241333673710383
9,9,9,0.7,0.025,139,0.9809436277998717,0.0008126386216233903
9,9,9,0.7,0.05,139,0.984428445821883,0.0006990273503386541
9,9,9,0.7,0.075,139,0.9866586461974297,0.0005858348840603268
9,9,9,0.7,0.1,139,0.987627198169871,0.0004769305663160725
9,9,9,0.7,0.125,139,0.9873445821170941,0.0003789824648960175
9,9,9,0.7,0.15,139,0.9858377416585341,0.00030439130218547526
9,9,9,0.7,0.175,139,0.9831483483116757,0.0002725451570351279
9,9,9,0.7,0.2,139,0.9793305733304535,0.00029521015865733224
9,9,9,0.7,0.225,139,0.9744485811292635,0.00035914295430703683
9,9,9,0.7,0.25,139,0.968573947458019,0.0004436342988568588
9,9,9,0.7,0.275,139,0.9617831720846677,0.0005358984240071491
9,9,9,0.7,0.3,139,0.9541554109167718,0.0006296099791477988
9,9,9,0.7,0.325,139,0.9457705058757665,0.0007215991393788348
9,9,9,0.7,0.35,139,0.9367073492359683,0.000810179607188602
9,9,9,0.7,0.375,139,0.9270425862035938,0.0008944169097805529
9,9,9,0.7,0.4,139,0.916849636250304,0.0009737946946663529
9,9,9,0.7,0.425,139,0.9061979993821826,0.00104804895378404
9,9,9,0.7,0.45,139,0.8951528064616704,0.0011170776824652182
9,9,9,0.7,0.475,139,0.883774570985526,0.0011808872070420563
9,9,9,0.7,0.5,139,0.8721191015672519,0.0012395578673155328
9,9,9,0.7,0.525,139,0.8602375383110192,0.001293220776783455
9,9,9,0.7,0.55,139,0.8481764812020662,0.0013420414208333167
9,9,9,0.7,0.575,139,0.835978183825601,0.0013862077643341268
9,9,9,0.7,0.6,139,0.8236807906922454,0.0014259214975644017
9,9,9,0.7,0.625,139,0.8113186009318399,0.0014613915571644728
9,9,9,0.7,0.65,139,0.7989223450030218,0.0014928293441929372
9,9,9,0.7,0.675,139,0.7865194643310406,0.001520445231622888
9,9,9,0.7,0.7,139,0.7741343864638512,0.001544446061395879
9,9,9,0.7,0.725,139,0.7617887904884398,0.00156503340335736
9,9,9,0.7,0.75,139,0.7495018591486136,0.001582402399308871
9,9,9,0.7,0.775,139,0.7372905154256915,0.0015967410529226064
9,9,9,0.7,0.8,139,0.7251696423528367,0.0016082298549149993
9,9,9,0.7,0.825,139,0.7131522855920931,0.0016170416553891393
9,9,9,0.7,0.85,139,0.7012498388614774,0.001623341713325826
9,9,9,0.7,0.875,139,0.6894722126999175,0.0016272878679238314
9,9,9,0.7,0.9,139,0.6778279873348253,0.0016290307885924067
9,9,9,0.7,0.925,139,0.6663245505983398,0.001628714270388857
9,9,9,0.7,0.95,139,0.6549682219459224,0.0016264755499348078
9,9,9,0.7,0.975,139,0.643764363682642,0.0016224456236085358
9,9,9,0.7,1.0,139,0.6327174805121732,0.0016167495553125572
9,9,9,0.9,0.0,179,0.9621637330555285,0.0012633960703400708
9,9,9,0.9,0.025,179,0.9681308227985514,0.0011514853694836037
9,9,9,0.9,0.05,179,0.9729393399699456,0.0010352578804584886
9,9,9,0.9,0.075,179,0.9765532265229243,0.0009165000408478948
9,9,9,0.9,0.1,179,0.97895281888839,0.000797524710471628
9,9,9,0.9,0.125,179,0.9801351239294648,0.00068145453271414
9,9,9,0.9,0.15,179,0.9801133026456281,0.0005727954199817204
9,9,9,0.9,0.175,179,0.9789154520014208,0.0004784711397822885
9,9,9,0.9,0.2,179,0.9765828358352938,0.00040901328032823774
9,9,9,0.9,0.225,179,0.97316774821843,0.000377244513460119
9,9,9,0.9,0.25,179,0.9687311965694116,0.0003899752334478097
9,9,9,0.9,0.275,179,0.9633405727373026,0.0004402595999029123
9,9,9,0.9,0.3,179,0.9570674465688688,0.0005139833570813768
9,9,9,0.9,0.325,179,0.9499855768240849,0.0005994723617555083
9,9,9,0.9,0.35,179,0.9421691956785297,0.0006895253445027571
9,9,9,0.9,0.375,179,0.9336915899617823,0.000780034156048047
9,9,9,0.9,0.4,179,0.9246239768363539,0.0008686514086260833
9,9,9,0.9,0.425,179,0.9150346540858858,0.0009540121570669284
9,9,9,0.9,0.45,179,0.9049883946667769,0.0010353189890451226
9,9,9,0.9,0.475,179,0.8945460502558252,0.0011121183310236855
9,9,9,0.9,0.5,179,0.8837643276644457,0.001184174389345363
9,9,9,0.9,0.525,179,0.8726957038052742,0.0012513942314249366
9,9,9,0.9,0.55,179,0.8613884482734115,0.001313780881073104
9,9,9,0.9,0.575,179,0.849886726714607,0.0013714025666334271
9,9,9,0.9,0.6,179,0.8382307624288171,0.0014243717797815883
9,9,9,0.9,0.625,179,0.8264570377424647,0.001472830595195428
9,9,9,0.9,0.65,179,0.8145985203761887,0.0015169401685242996
9,9,9,0.9,0.675,179,0.8026849032466652,0.0015568731323544805
9,9,9,0.9,0.7,179,0.7907428488527631,0.0015928080666427996
9,9,9,0.9,0.725,179,0.7787962316328877,0.0016249254908758475
9,9,9,0.9,0.75,179,0.7668663734900654,0.001653404992278049
9,9,9,0.9,0.775,179,0.7549722691219836,0.0016784232115804795
9,9,9,0.9,0.8,179,0.7431307989238812,0.0017001524793067587
9,9,9,0.9,0.825,179,0.7313569281079373,0.0017187599449451714
9,9,9,0.9,0.85,179,0.719663891352455,0.0017344070767900436
