L,N,nmax,filling,W_over_t,realizations,U_points,entropy_peak_method,U_S_loess_over_t,U_S_grid_max_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,U_S_candidate_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,unresolved_reasons
9,9,9,1.0,0.1,189,11,weighted_loess_quadratic,0.20409862532209988,0.20400000000000001,0.259772850062258,0.30164128133116264,0.20409862532209988,0.20549493389703782,0.20501604229197426,0.20594329353150911,1.0,0.0009272512395348542,0.04999999999999999,True,False,0.2,0.2,0.042271637185730196,0.00022445976457489112,188.32612279438723,-0.2060943240604383,
9,9,9,1.0,0.3,197,11,weighted_loess_quadratic,0.18763879917771273,0.188,0.25512055641294706,0.28516214915097965,0.18763879917771273,0.19098854472883994,0.1902439108609975,0.191657239829062,1.0,0.0014133289680644812,0.04999999999999999,True,False,0.2,0.2,0.038634366561521624,0.0001319706671453243,292.7496495791598,-0.2150825417208926,
9,9,9,1.0,0.5,182,11,weighted_loess_quadratic,0.16111987413864926,0.161,0.20634170500676177,0.2758551894664078,0.16111987413864926,0.1612577896061928,0.16042062452283093,0.1621020879814076,1.0,0.0016814634585766708,0.04999999999999999,True,False,0.1,0.2,0.04094332060387243,0.00023763424494080816,172.2955402074769,-0.2347710580573565,
9,9,9,1.0,0.7,165,11,weighted_loess_quadratic,0.1551246933669885,0.155,0.20511374175751818,0.26732558185224325,0.1551246933669885,0.15557438562696752,0.15491735420169506,0.15619831699676845,1.0,0.0012809627950733926,0.04999999999999999,True,False,0.1,0.2,0.04652064265938854,0.0004721253624526365,98.53451298976864,-0.3487050128562933,
9,9,9,1.0,0.9,189,11,weighted_loess_quadratic,0.16146926236929507,0.161,0.20381585549126166,0.26020341656304763,0.16146926236929507,0.16049625048990945,0.15955154460148047,0.16139854427400532,1.0,0.0018469996725248572,0.04999999999999999,True,False,0.1,0.2,0.05390533206380108,0.0006761532066459273,79.72354716943465,-0.5541824968566101,
9,9,9,1.0,1.1,198,11,weighted_loess_quadratic,0.17673364408366118,0.177,0.20261610690708257,0.25398315607250405,0.17673364408366118,0.17412611466389905,0.1724902787473488,0.17560481563786584,1.0,0.00311453689051705,0.04999999999999999,True,False,0.1,0.2,0.06362999988908782,0.0009416750673192791,67.5710784933778,-0.9164505660941475,
9,9,9,1.0,1.3,195,11,weighted_loess_quadratic,0.1948784963235883,0.195,0.23786003310224407,0.24879441068362534,0.1948784963235883,0.19229043992261222,0.18984438458495756,0.19442062408199173,1.0,0.0045762394970341735,0.04999999999999999,True,False,0.2,0.2,0.07427371731352536,0.001281560900725259,57.955667398632784,-1.464924671034917,
9,9,9,1.0,1.5,197,11,weighted_loess_quadratic,0.21128364503170166,0.211,0.23563906886025626,0.2435237909570369,0.21128364503170166,0.21023028271310568,0.20739314273589693,0.21272701001209726,1.0,0.0053338672762003325,0.04999999999999999,True,False,0.2,0.2,0.08490484076396944,0.0015943035312239529,53.25512934089011,-2.1591535795709578,
9,9,9,1.0,1.7,194,11,weighted_loess_quadratic,0.22188768998940822,0.222,0.23368337857810037,0.2391591806137811,0.22188768998940822,0.22373268702182608,0.22031511178811167,0.2266481643192806,1.0,0.00633305253116892,0.04999999999999999,True,False,0.2,0.2,0.09576171096433593,0.0018748032276725874,51.07827293599028,-2.8360959658853373,
9,9,9,1.0,1.9,197,11,weighted_loess_quadratic,0.2306235633959798,0.231,0.23293208761266582,0.2368470886177621,0.2306235633959798,0.2319372793272813,0.22785029573561588,0.23538990660389825,1.0,0.007539610868282365,0.04999999999999999,True,False,0.2,0.2,0.1060592008470986,0.002052486127416824,51.67352871738062,-3.3683154343701798,
9,9,9,1.0,2.1,195,11,weighted_loess_quadratic,0.23484656041769159,0.23500000000000001,0.2317912260020874,0.2344297722680355,0.23484656041769159,0.23679549593292606,0.23197109208784528,0.2410164867459926,1.0,0.009045394658147327,0.04999999999999999,True,False,0.2,0.2,0.11322597938295248,0.002126387256480255,53.248052083594615,-3.681390356134292,
9,9,9,1.0,2.3,193,11,weighted_loess_quadratic,0.23681907110025116,0.23700000000000002,0.23128739816763175,0.23298332090368223,0.23681907110025116,0.2393168633547629,0.23370417561037002,0.244498547603039,1.0,0.010794371992668972,0.04999999999999999,True,False,0.2,0.2,0.1167085960379156,0.002202993937534901,52.97726609656938,-3.7983282885455476,
9,9,9,1.0,2.5,189,11,weighted_loess_quadratic,0.23629146390285752,0.23600000000000002,0.22980113537900174,0.2306693813949878,0.23629146390285752,0.23967438502833294,0.23339730214413387,0.2456580641238267,1.0,0.012260761979692836,0.04999999999999999,True,False,0.2,0.2,0.11548462541519948,0.002387949676360762,48.36141504924768,-3.76848718759915,
