L,N,nmax,filling,W_over_t,realizations,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high
9,9,9,1.0,0.1,189,0.016174895920212214,0.0,0.0,0.0
9,9,9,1.0,0.3,197,0.04840758995371286,0.0,0.0,0.0
9,9,9,1.0,0.5,182,0.08030321841458526,0.0784750756466405,0.07426909025632422,0.08285075504849156
9,9,9,1.0,0.7,165,0.11168107021105454,0.11161194387036177,0.10608204427137632,0.11733163683782692
9,9,9,1.0,0.9,189,0.142412746493736,0.14232513287890725,0.1354928810585726,0.14943824750364174
9,9,9,1.0,1.1,198,0.17242270043724495,0.17458278778410136,0.1660611611726084,0.18343052903275955
9,9,9,1.0,1.3,195,0.2016801695462527,0.20347751006032982,0.19373664092323425,0.213506697032673
9,9,9,1.0,1.5,197,0.23018722859384966,0.23077212469006783,0.21985968104193282,0.24221880986076455
9,9,9,1.0,1.7,194,0.2579672968051591,0.25931750440192747,0.24476024424023343,0.273514002321919
9,9,9,1.0,1.9,197,0.28505566539444427,0.2868614051041283,0.2722702275639271,0.3018639784152553
9,9,9,1.0,2.1,195,0.3114931063405044,0.31264688441658717,0.29701279622892957,0.32884791514249195
9,9,9,1.0,2.3,193,0.33732159231813313,0.33707976807348466,0.3205440532877526,0.35418305614568696
9,9,9,1.0,2.5,189,0.36258188168996064,0.36297398075993503,0.3428420482162427,0.38336301804022294
