L,N,nmax,filling,W_over_t,realizations,U_points,U_scan_min_over_t,U_scan_max_over_t,U_M_star_over_t,U_M_same_samples_over_t,U_M_same_samples_ci95_low,U_M_same_samples_ci95_high,entropy_peak_method,U_S_loess_over_t,loess_span_points_used,loess_dense_points,U_S_candidate_over_t,U_S_local_quadratic_over_t,U_S_smoothed_over_t,peak_estimator_disagreement_over_t,peak_estimators_agree,peak_smoothing_points_used,U_S_grid_max_over_t,U_S_star_over_t,U_S_ci95_low,U_S_ci95_high,bootstrap_valid_fraction,bootstrap_ci_width_over_t,grid_error_over_t,peak_resolved,peak_at_boundary,plateau_U_low_over_t,plateau_U_high_over_t,plateau_width_over_t,plateau_points,plateau_includes_U0,peak_height_delta_entropy_norm,peak_height_paired_sem,peak_significance_z,curvature,curvature_ci95_low,curvature_ci95_high,curvature_bootstrap_valid_fraction,R_required_for_3sigma,max_required_realizations,unresolved_reasons,delta_U_star_over_t,relative_peak_error,theory_ED_status
9,9,9,1.0,0.1,189,11,0.0,1.0,0.016174895920212214,0.0,0.0,0.0,weighted_loess_quadratic,0.20409862532209988,9,1001,0.20409862532209988,0.259772850062258,0.30164128133116264,0.04186843126890466,True,7,0.20400000000000001,0.20549493389703782,0.20501604229197426,0.20594329353150911,1.0,0.0009272512395348542,0.04999999999999999,True,False,0.2,0.2,0.0,1,False,0.042271637185730196,0.00022445976457489112,188.32612279438723,-0.2060943240604383,-0.21113174677812072,-0.20818873409444866,1.0,0.04796044266434839,500,,0.18932003797682562,11.704559887785772,inconsistent
9,9,9,1.0,0.3,197,11,0.0,1.0,0.04840758995371286,0.0,0.0,0.0,weighted_loess_quadratic,0.18763879917771273,9,1001,0.18763879917771273,0.25512055641294706,0.28516214915097965,0.030041592738032585,True,7,0.188,0.19098854472883994,0.1902439108609975,0.191657239829062,1.0,0.0014133289680644812,0.04999999999999999,True,False,0.2,0.2,0.0,1,False,0.038634366561521624,0.0001319706671453243,292.7496495791598,-0.2150825417208926,-0.2292135649316899,-0.22263606455318377,1.0,0.020687879018303584,500,,0.14258095477512708,2.945425601883143,inconsistent
9,9,9,1.0,0.5,182,11,0.0,1.0,0.08030321841458526,0.0784750756466405,0.07426909025632422,0.08285075504849156,weighted_loess_quadratic,0.16111987413864926,9,1001,0.16111987413864926,0.20634170500676177,0.2758551894664078,0.06951348445964603,True,7,0.161,0.1612577896061928,0.16042062452283093,0.1621020879814076,1.0,0.0016814634585766708,0.04999999999999999,True,False,0.1,0.2,0.1,2,False,0.04094332060387243,0.00023763424494080816,172.2955402074769,-0.2347710580573565,-0.23833198768181513,-0.22484987476263546,1.0,0.05517798353717147,500,,0.08095457119160754,1.008111166524603,inconsistent
9,9,9,1.0,0.7,165,11,0.0,1.0,0.11168107021105454,0.11161194387036177,0.10608204427137632,0.11733163683782692,weighted_loess_quadratic,0.1551246933669885,9,1001,0.1551246933669885,0.20511374175751818,0.26732558185224325,0.06221184009472508,True,7,0.155,0.15557438562696752,0.15491735420169506,0.15619831699676845,1.0,0.0012809627950733926,0.04999999999999999,True,False,0.1,0.2,0.1,2,False,0.04652064265938854,0.0004721253624526365,98.53451298976864,-0.3487050128562933,-0.35488617365286274,-0.3287469368310732,1.0,0.15295007871444286,500,,0.04389331541591297,0.3930237714678371,consistent
9,9,9,1.0,0.9,189,11,0.0,1.0,0.142412746493736,0.14232513287890725,0.1354928810585726,0.14943824750364174,weighted_loess_quadratic,0.16146926236929507,9,1001,0.16146926236929507,0.20381585549126166,0.26020341656304763,0.05638756107178597,True,7,0.161,0.16049625048990945,0.15955154460148047,0.16139854427400532,1.0,0.0018469996725248572,0.04999999999999999,True,False,0.1,0.2,0.1,2,False,0.05390533206380108,0.0006761532066459273,79.72354716943465,-0.5541824968566101,-0.561915976645075,-0.5167166402137576,1.0,0.2676277150842274,500,,0.01808350399617345,0.12697953267103693,consistent
9,9,9,1.0,1.1,198,11,0.0,1.0,0.17242270043724495,0.17458278778410136,0.1660611611726084,0.18343052903275955,weighted_loess_quadratic,0.17673364408366118,9,1001,0.17673364408366118,0.20261610690708257,0.25398315607250405,0.05136704916542148,True,7,0.177,0.17412611466389905,0.1724902787473488,0.17560481563786584,1.0,0.00311453689051705,0.04999999999999999,True,False,0.1,0.2,0.1,2,False,0.06362999988908782,0.0009416750673192791,67.5710784933778,-0.9164505660941475,-0.9071370486136432,-0.8312700382975536,1.0,0.390288718814018,500,,0.0017034142266540986,0.009879292125308489,consistent
9,9,9,1.0,1.3,195,11,0.0,1.0,0.2016801695462527,0.20347751006032982,0.19373664092323425,0.213506697032673,weighted_loess_quadratic,0.1948784963235883,9,1001,0.1948784963235883,0.23786003310224407,0.24879441068362534,0.010934377581381272,True,7,0.195,0.19229043992261222,0.18984438458495756,0.19442062408199173,1.0,0.0045762394970341735,0.04999999999999999,True,False,0.2,0.2,0.0,1,False,0.07427371731352536,0.001281560900725259,57.955667398632784,-1.464924671034917,-1.4476533554522804,-1.320518026352699,1.0,0.5224988008006634,500,,-0.009389729623640486,0.04655752543626791,consistent
9,9,9,1.0,1.5,197,11,0.0,1.0,0.23018722859384966,0.23077212469006783,0.21985968104193282,0.24221880986076455,weighted_loess_quadratic,0.21128364503170166,9,1001,0.21128364503170166,0.23563906886025626,0.2435237909570369,0.00788472209678065,True,7,0.211,0.21023028271310568,0.20739314273589693,0.21272701001209726,1.0,0.0053338672762003325,0.04999999999999999,True,False,0.2,0.2,0.0,1,False,0.08490484076396944,0.0015943035312239529,53.25512934089011,-2.1591535795709578,-2.1820183007031195,-1.9867179804992658,1.0,0.625152321132037,500,,-0.01995694588074398,0.08669875389114967,consistent
9,9,9,1.0,1.7,194,11,0.0,1.0,0.2579672968051591,0.25931750440192747,0.24476024424023343,0.273514002321919,weighted_loess_quadratic,0.22188768998940822,9,1001,0.22188768998940822,0.23368337857810037,0.2391591806137811,0.005475802035680738,True,7,0.222,0.22373268702182608,0.22031511178811167,0.2266481643192806,1.0,0.00633305253116892,0.04999999999999999,True,False,0.2,0.2,0.0,1,False,0.09576171096433593,0.0018748032276725874,51.07827293599028,-2.8360959658853373,-2.9223532465747053,-2.665677563913999,1.0,0.6692244978596976,500,,-0.034234609783333037,0.1327091077331023,consistent
9,9,9,1.0,1.9,197,11,0.0,1.0,0.28505566539444427,0.2868614051041283,0.2722702275639271,0.3018639784152553,weighted_loess_quadratic,0.2306235633959798,9,1001,0.2306235633959798,0.23293208761266582,0.2368470886177621,0.003915001005096286,True,7,0.231,0.2319372793272813,0.22785029573561588,0.23538990660389825,1.0,0.007539610868282365,0.04999999999999999,True,False,0.2,0.2,0.0,1,False,0.1060592008470986,0.002052486127416824,51.67352871738062,-3.3683154343701798,-3.477425191534566,-3.190062486896599,1.0,0.664006752214496,500,,-0.05311838606716296,0.18634390582506288,consistent
9,9,9,1.0,2.1,195,11,0.0,1.0,0.3114931063405044,0.31264688441658717,0.29701279622892957,0.32884791514249195,weighted_loess_quadratic,0.23484656041769159,9,1001,0.23484656041769159,0.2317912260020874,0.2344297722680355,0.0026385462659480885,True,7,0.23500000000000001,0.23679549593292606,0.23197109208784528,0.2410164867459926,1.0,0.009045394658147327,0.04999999999999999,True,False,0.2,0.2,0.0,1,False,0.11322597938295248,0.002126387256480255,53.248052083594615,-3.681390356134292,-3.797615270517194,-3.5156117352965173,1.0,0.6189701002590313,500,,-0.07469761040757836,0.2398050193955936,inconsistent
9,9,9,1.0,2.3,193,11,0.0,1.0,0.33732159231813313,0.33707976807348466,0.3205440532877526,0.35418305614568696,weighted_loess_quadratic,0.23681907110025116,9,1001,0.23681907110025116,0.23128739816763175,0.23298332090368223,0.001695922736050487,True,7,0.23700000000000002,0.2393168633547629,0.23370417561037002,0.244498547603039,1.0,0.010794371992668972,0.04999999999999999,True,False,0.2,0.2,0.0,1,False,0.1167085960379156,0.002202993937534901,52.97726609656938,-3.7983282885455476,-3.9185988287037166,-3.6771786349916815,1.0,0.6189003568364988,500,,-0.09800472896337023,0.29053796494278517,inconsistent
9,9,9,1.0,2.5,189,11,0.0,1.0,0.36258188168996064,0.36297398075993503,0.3428420482162427,0.38336301804022294,weighted_loess_quadratic,0.23629146390285752,9,1001,0.23629146390285752,0.22980113537900174,0.2306693813949878,0.0008682460159860628,True,7,0.23600000000000002,0.23967438502833294,0.23339730214413387,0.2456580641238267,1.0,0.012260761979692836,0.04999999999999999,True,False,0.2,0.2,0.0,1,False,0.11548462541519948,0.002387949676360762,48.36141504924768,-3.76848718759915,-3.9121301963602146,-3.6877700476193014,1.0,0.7272878193588621,500,,-0.1229074966616277,0.33897859454192036,inconsistent
