L,N,nmax,W_over_t,U_over_t,realizations,sample_mixing_mean,sample_mixing_sem
9,9,9,0.1,0.0,189,0.9994591365587335,1.8811104991423257e-05
9,9,9,0.1,0.1,189,0.992275652411727,5.0539838042550284e-05
9,9,9,0.1,0.2,189,0.9658336141224405,0.00011058143036229743
9,9,9,0.1,0.3,189,0.9251499732627754,0.00015674997602819585
9,9,9,0.1,0.4,189,0.8759093250879002,0.00018818107859837734
9,9,9,0.1,0.5,189,0.8227646902422603,0.00020691610379901013
9,9,9,0.1,0.6,189,0.7689245208371062,0.00021579357084862777
9,9,9,0.1,0.7,189,0.7163792412809432,0.00021744645210390097
9,9,9,0.1,0.8,189,0.6662625855836031,0.00021400722992793845
9,9,9,0.1,0.9,189,0.6191545346567457,0.000207110941701913
9,9,9,0.1,1.0,189,0.5752924033722603,0.00019798265872264422
9,9,9,0.3,0.0,197,0.9952835426530212,0.00016248370549988312
9,9,9,0.3,0.1,197,0.9946869670062672,6.24221694837009e-05
9,9,9,0.3,0.2,197,0.9742827277704837,0.00023369088464181376
9,9,9,0.3,0.3,197,0.9384337300040206,0.00038328796927990173
9,9,9,0.3,0.4,197,0.8926520416584551,0.0004929595283002089
9,9,9,0.3,0.5,197,0.841725211904621,0.0005651638047657224
9,9,9,0.3,0.6,197,0.7891045223831432,0.0006066540237333053
9,9,9,0.3,0.7,197,0.7370231193934119,0.0006245589545002375
9,9,9,0.3,0.8,197,0.6868194614871914,0.0006250289532575976
9,9,9,0.3,0.9,197,0.6392352940712549,0.0006129944556965592
9,9,9,0.3,1.0,197,0.5946325517258986,0.0005923007364849978
9,9,9,0.5,0.0,182,0.9872356648932823,0.0004572432923438528
9,9,9,0.5,0.1,182,0.9930460732471235,0.00016131121848722766
9,9,9,0.5,0.2,182,0.9789077337931243,0.0002616796917126761
9,9,9,0.5,0.3,182,0.9484124933009414,0.000529764619051004
9,9,9,0.5,0.4,182,0.9067443611303809,0.0007454341515610175
9,9,9,0.5,0.5,182,0.8587093905586108,0.0008992991856670798
9,9,9,0.5,0.6,182,0.8079360685114326,0.0009987579073205486
