L,N,nmax,W_over_t,U_M_star_over_t,mixing_max,search_U_max_over_t,local_maxima,U_small_W_over_t,U_large_W_over_t,small_W_regime,large_W_regime,beta_eff
9,9,9,0.1,0.016174895920212214,0.9997197591039789,4.0,2,0.01617492980406728,0.14857170698764183,True,False,0.9993538598458068
9,9,9,0.11009117314389681,0.01780602654531455,0.9996604184258953,4.0,2,0.01780601131442398,0.1558878843283815,True,False,0.9992590391268266
9,9,9,0.12120066404199469,0.01960128846878484,0.9995885309364553,4.0,2,0.019601300729091855,0.16356433518260785,True,False,0.9990981584918721
9,9,9,0.13343123290202505,0.021577280507498162,0.9995014524220862,4.0,2,0.02157723905445301,0.17161880064631604,True,False,0.9989190232217382
9,9,9,0.14689600964220462,0.023751954490639604,0.9993959854384052,4.0,2,0.02375188309468,0.18006989544754853,True,False,0.998674948424636
9,9,9,0.16171954031667485,0.02614514521582113,0.9992682654369752,4.0,2,0.026145054031428472,0.1889371509670149,True,False,0.9983961046854972
9,9,9,0.17803893913754448,0.028778650069421454,0.9991136243239821,4.0,2,0.0287784961583746,0.19824106037719458,True,False,0.9980626458516753
9,9,9,0.19600515674947117,0.03167628770483473,0.9989264273829684,4.0,2,0.031676045177740246,0.2080031260042421,True,False,0.9976537421984375
9,9,9,0.21578437648802667,0.034864183080043146,0.9986998789507553,4.0,2,0.03486380486533883,0.21824590902215432,True,False,0.9971656697110554
9,9,9,0.23755955153691163,0.03837095403392899,0.9984257917161404,4.0,2,0.03837033006866588,0.22899308159404802,True,False,0.9965806929019436
9,9,9,0.25,0.04037295552262676,0.9982576494506292,4.0,2,0.04037216855127806,0.23491249497005104,True,False,0.996225184080096
9,9,9,0.26153209720236614,0.04222779371909197,0.9980943140734202,4.0,2,0.04222681283434943,0.2402694815810514,True,False,0.9958753243635048
9,9,9,0.2879237539579214,0.04646887119776414,0.9976936097014565,4.0,2,0.04646726685330271,0.2521011699452483,True,False,0.9950176769654462
9,9,9,0.3,0.04840758995371286,0.997497836331063,4.0,2,0.048405647087374146,0.25733374506983164,True,False,0.9946101679597845
9,9,9,0.3169786384922227,0.05113127209088004,0.9972094835892296,4.0,2,0.051128703212200255,0.2645154909793386,True,False,0.9939974209041083
9,9,9,0.34896550173163965,0.056255417592600776,0.9966249492847092,4.0,2,0.056251287445132116,0.2775411355022128,True,False,0.9927489482526415
9,9,9,0.38418021472384767,0.06188510011282915,0.9959197334694159,4.0,2,0.06187846381766542,0.29120820716649237,True,False,0.9912786311380071
9,9,9,0.4229485053762257,0.06806769971078991,0.9950697164019893,4.0,2,0.06805702728376853,0.3055482920312784,True,False,0.9895240791981816
9,9,9,0.4656289713632644,0.07485422277523483,0.9940463107583827,4.0,2,0.07483711614871674,0.3205945315609009,True,False,0.9874583446952307
9,9,9,0.5,0.08030321841458526,0.9931567268826473,4.0,2,0.0802789373961979,0.33221643635754766,True,False,0.9857077932305742
9,9,9,0.5126163970716772,0.08229951021118258,0.9928157874169505,4.0,2,0.0822720884997737,0.3363816992183743,True,False,0.9850239646830214
9,9,9,0.5643454052641858,0.09046208650372924,0.9913385652982547,4.0,2,0.09041823206511228,0.35294628083057633,True,False,0.9820684623359508
