model,sector,T_abs,count,probability
boson,L6_N6_nmax2,1.0,96,0.22857142857142856
boson,L6_N6_nmax2,1.414213562373,228,0.5428571428571428
boson,L6_N6_nmax2,2.0,96,0.22857142857142856
boson,L6_N6_nmax3,1.0,240,0.21505376344086022
boson,L6_N6_nmax3,1.414213562373,372,0.3333333333333333
boson,L6_N6_nmax3,1.732050807569,240,0.21505376344086022
boson,L6_N6_nmax3,2.0,120,0.10752688172043011
boson,L6_N6_nmax3,2.449489742783,120,0.10752688172043011
boson,L6_N6_nmax3,3.0,24,0.021505376344086023
boson,L6_N6_nmax4,1.0,312,0.22033898305084745
boson,L6_N6_nmax4,1.414213562373,420,0.2966101694915254
boson,L6_N6_nmax4,1.732050807569,240,0.1694915254237288
boson,L6_N6_nmax4,2.0,240,0.1694915254237288
boson,L6_N6_nmax4,2.449489742783,120,0.0847457627118644
boson,L6_N6_nmax4,2.828427124746,48,0.03389830508474576
boson,L6_N6_nmax4,3.0,24,0.01694915254237288
boson,L6_N6_nmax4,3.464101615138,12,0.00847457627118644
boson,L6_N6_nmax5,1.0,336,0.224
boson,L6_N6_nmax5,1.414213562373,420,0.28
boson,L6_N6_nmax5,1.732050807569,240,0.16
boson,L6_N6_nmax5,2.0,240,0.16
boson,L6_N6_nmax5,2.2360679775,48,0.032
boson,L6_N6_nmax5,2.449489742783,120,0.08
boson,L6_N6_nmax5,2.828427124746,48,0.032
boson,L6_N6_nmax5,3.0,24,0.016
boson,L6_N6_nmax5,3.162277660168,12,0.008
boson,L6_N6_nmax5,3.464101615138,12,0.008
