model,sector,quantity,value,count,probability
boson,L6_N6_nmax2,K,2.0,6,0.0425531914893617
boson,L6_N6_nmax2,K,4.0,18,0.1276595744680851
boson,L6_N6_nmax2,K,5.0,36,0.2553191489361702
boson,L6_N6_nmax2,K,6.0,38,0.2695035460992908
boson,L6_N6_nmax2,K,7.0,12,0.0851063829787234
boson,L6_N6_nmax2,K,8.0,18,0.1276595744680851
boson,L6_N6_nmax2,K,9.0,12,0.0851063829787234
boson,L6_N6_nmax2,K,12.0,1,0.0070921985815602835
boson,L6_N6_nmax2,K_eff,4.0,6,0.0425531914893617
boson,L6_N6_nmax2,K_eff,8.0,12,0.0851063829787234
boson,L6_N6_nmax2,K_eff,9.0,12,0.0851063829787234
boson,L6_N6_nmax2,K_eff,10.0,12,0.0851063829787234
boson,L6_N6_nmax2,K_eff,11.0,12,0.0851063829787234
boson,L6_N6_nmax2,K_eff,12.0,2,0.014184397163120567
boson,L6_N6_nmax2,K_eff,14.0,24,0.1702127659574468
boson,L6_N6_nmax2,K_eff,15.0,24,0.1702127659574468
boson,L6_N6_nmax2,K_eff,16.0,6,0.0425531914893617
boson,L6_N6_nmax2,K_eff,18.0,18,0.1276595744680851
boson,L6_N6_nmax2,K_eff,19.0,12,0.0851063829787234
boson,L6_N6_nmax2,K_eff,24.0,1,0.0070921985815602835
boson,L6_N6_nmax3,K,2.0,6,0.017857142857142856
boson,L6_N6_nmax3,K,4.0,21,0.0625
boson,L6_N6_nmax3,K,5.0,72,0.21428571428571427
boson,L6_N6_nmax3,K,6.0,74,0.22023809523809523
boson,L6_N6_nmax3,K,7.0,36,0.10714285714285714
boson,L6_N6_nmax3,K,8.0,96,0.2857142857142857
boson,L6_N6_nmax3,K,10.0,30,0.08928571428571429
boson,L6_N6_nmax3,K,12.0,1,0.002976190476190476
boson,L6_N6_nmax3,K_eff,6.0,6,0.017857142857142856
boson,L6_N6_nmax3,K_eff,12.0,23,0.06845238095238096
boson,L6_N6_nmax3,K_eff,14.0,24,0.07142857142857142
boson,L6_N6_nmax3,K_eff,16.0,84,0.25
boson,L6_N6_nmax3,K_eff,18.0,60,0.17857142857142858
boson,L6_N6_nmax3,K_eff,20.0,48,0.14285714285714285
boson,L6_N6_nmax3,K_eff,22.0,24,0.07142857142857142
boson,L6_N6_nmax3,K_eff,24.0,43,0.12797619047619047
boson,L6_N6_nmax3,K_eff,26.0,12,0.03571428571428571
boson,L6_N6_nmax3,K_eff,28.0,12,0.03571428571428571
boson,L6_N6_nmax4,K,3.0,12,0.028169014084507043
boson,L6_N6_nmax4,K,4.0,39,0.09154929577464789
boson,L6_N6_nmax4,K,5.0,36,0.08450704225352113
boson,L6_N6_nmax4,K,6.0,158,0.37089201877934275
boson,L6_N6_nmax4,K,8.0,150,0.352112676056338
boson,L6_N6_nmax4,K,10.0,30,0.07042253521126761
boson,L6_N6_nmax4,K,12.0,1,0.002347417840375587
boson,L6_N6_nmax4,K_eff,12.0,47,0.11032863849765258
boson,L6_N6_nmax4,K_eff,14.0,12,0.028169014084507043
boson,L6_N6_nmax4,K_eff,15.0,24,0.056338028169014086
boson,L6_N6_nmax4,K_eff,16.0,30,0.07042253521126761
boson,L6_N6_nmax4,K_eff,17.0,12,0.028169014084507043
boson,L6_N6_nmax4,K_eff,18.0,54,0.1267605633802817
boson,L6_N6_nmax4,K_eff,20.0,60,0.14084507042253522
boson,L6_N6_nmax4,K_eff,22.0,48,0.11267605633802817
boson,L6_N6_nmax4,K_eff,24.0,73,0.17136150234741784
boson,L6_N6_nmax4,K_eff,26.0,24,0.056338028169014086
boson,L6_N6_nmax4,K_eff,28.0,24,0.056338028169014086
boson,L6_N6_nmax4,K_eff,30.0,18,0.04225352112676056
boson,L6_N6_nmax5,K,3.0,12,0.02631578947368421
boson,L6_N6_nmax5,K,4.0,63,0.13815789473684212
boson,L6_N6_nmax5,K,6.0,200,0.43859649122807015
boson,L6_N6_nmax5,K,8.0,150,0.32894736842105265
boson,L6_N6_nmax5,K,10.0,30,0.06578947368421052
boson,L6_N6_nmax5,K,12.0,1,0.0021929824561403508
boson,L6_N6_nmax5,K_eff,12.0,65,0.1425438596491228
boson,L6_N6_nmax5,K_eff,14.0,12,0.02631578947368421
boson,L6_N6_nmax5,K_eff,16.0,42,0.09210526315789473
boson,L6_N6_nmax5,K_eff,18.0,36,0.07894736842105263
boson,L6_N6_nmax5,K_eff,20.0,84,0.18421052631578946
boson,L6_N6_nmax5,K_eff,22.0,60,0.13157894736842105
boson,L6_N6_nmax5,K_eff,24.0,73,0.1600877192982456
boson,L6_N6_nmax5,K_eff,26.0,24,0.05263157894736842
boson,L6_N6_nmax5,K_eff,28.0,42,0.09210526315789473
boson,L6_N6_nmax5,K_eff,30.0,18,0.039473684210526314
