model,sector,T_abs,count,probability
boson,L8_N8_nmax2,1.0,1008,0.23595505617977527
boson,L8_N8_nmax2,1.414213562373,2256,0.5280898876404494
boson,L8_N8_nmax2,2.0,1008,0.23595505617977527
boson,L8_N8_nmax3,1.0,3648,0.22007722007722008
boson,L8_N8_nmax3,1.414213562373,5376,0.32432432432432434
boson,L8_N8_nmax3,1.732050807569,3456,0.2084942084942085
boson,L8_N8_nmax3,2.0,1728,0.10424710424710425
boson,L8_N8_nmax3,2.449489742783,1920,0.11583011583011583
boson,L8_N8_nmax3,3.0,448,0.02702702702702703
boson,L8_N8_nmax4,1.0,5328,0.22379032258064516
boson,L8_N8_nmax4,1.414213562373,6816,0.2862903225806452
boson,L8_N8_nmax4,1.732050807569,3936,0.16532258064516128
boson,L8_N8_nmax4,2.0,3984,0.16733870967741934
boson,L8_N8_nmax4,2.449489742783,2016,0.0846774193548387
boson,L8_N8_nmax4,2.828427124746,896,0.03763440860215054
boson,L8_N8_nmax4,3.0,448,0.01881720430107527
boson,L8_N8_nmax4,3.464101615138,336,0.014112903225806451
boson,L8_N8_nmax4,4.0,48,0.0020161290322580645
boson,L8_N8_nmax5,1.0,6048,0.22826086956521738
boson,L8_N8_nmax5,1.414213562373,7296,0.2753623188405797
boson,L8_N8_nmax5,1.732050807569,4032,0.15217391304347827
boson,L8_N8_nmax5,2.0,4032,0.15217391304347827
boson,L8_N8_nmax5,2.2360679775,896,0.033816425120772944
boson,L8_N8_nmax5,2.449489742783,2016,0.07608695652173914
boson,L8_N8_nmax5,2.828427124746,896,0.033816425120772944
boson,L8_N8_nmax5,3.0,448,0.016908212560386472
boson,L8_N8_nmax5,3.162277660168,336,0.012681159420289856
boson,L8_N8_nmax5,3.464101615138,336,0.012681159420289856
boson,L8_N8_nmax5,3.872983346207,96,0.0036231884057971015
boson,L8_N8_nmax5,4.0,48,0.0018115942028985507
boson,L8_N8_nmax5,4.472135955,16,0.0006038647342995169
