U,W,mean_r,stderr_r,n_r_values,n_realizations_used,n_realizations_total,n_levels_min,n_levels_max,zero_gap_fraction,duplicate_levels_removed,L,Nup,Ndown,N,nmax,boundary,file
1.0,1.0,0.5181330527098265,0.0016139924174359806,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_1/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U1_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
2.0,1.0,0.5220155475684097,0.0016212779298121565,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_2/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U2_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
3.0,1.0,0.5226346584868157,0.0016221852561212461,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_3/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U3_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
4.0,1.0,0.521012054070156,0.00162334756725598,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_4/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U4_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
5.0,1.0,0.5154860338516196,0.0016456029494218967,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_5/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U5_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
6.0,1.0,0.517870810396909,0.0016211077003893803,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_6/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U6_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
7.0,1.0,0.508791369852848,0.0016390293108133776,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_7/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U7_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
8.0,1.0,0.49956805565404,0.0016572788191127183,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_8/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U8_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
9.0,1.0,0.49484986210915816,0.0016712885153066265,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_9/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U9_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
10.0,1.0,0.48907249829240224,0.0016799159868423267,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_10/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U10_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
11.0,1.0,0.48484335183982435,0.0016794456175134697,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_11/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U11_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
15.0,1.0,0.4705647097420312,0.0016861163238558313,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_15/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U15_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
20.0,1.0,0.4567033385157028,0.0017099342441484762,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_20/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U20_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
25.0,1.0,0.45297332689055775,0.0017314227619930063,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_25/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U25_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
30.0,1.0,0.4483467063636388,0.001731607983229543,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_30/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U30_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
40.0,1.0,0.4380901400499778,0.001748422299874932,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_40/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U40_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
50.0,1.0,0.4386253194784128,0.0017438585812639797,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_50/W_1/L_6/N_6_nmax_2/boundary_periodic/energies_full_U50_L6_N6_nmax2_W1_boundaryperiodic_nreal300.txt
1.0,2.0,0.5310425670940957,0.0016162497060757115,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_1/W_2/L_6/N_6_nmax_2/boundary_periodic/energies_full_U1_L6_N6_nmax2_W2_boundaryperiodic_nreal300.txt
2.0,2.0,0.5259554445990813,0.0016121802635382164,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_2/W_2/L_6/N_6_nmax_2/boundary_periodic/energies_full_U2_L6_N6_nmax2_W2_boundaryperiodic_nreal300.txt
3.0,2.0,0.5276141158088008,0.001608000343986946,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_3/W_2/L_6/N_6_nmax_2/boundary_periodic/energies_full_U3_L6_N6_nmax2_W2_boundaryperiodic_nreal300.txt
4.0,2.0,0.520612899601424,0.0016198902723053364,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_4/W_2/L_6/N_6_nmax_2/boundary_periodic/energies_full_U4_L6_N6_nmax2_W2_boundaryperiodic_nreal300.txt
5.0,2.0,0.5143192554472616,0.001634983624604109,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_5/W_2/L_6/N_6_nmax_2/boundary_periodic/energies_full_U5_L6_N6_nmax2_W2_boundaryperiodic_nreal300.txt
6.0,2.0,0.5100742289278604,0.0016498808014860174,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_6/W_2/L_6/N_6_nmax_2/boundary_periodic/energies_full_U6_L6_N6_nmax2_W2_boundaryperiodic_nreal300.txt
7.0,2.0,0.5062709746102895,0.0016319711836903924,24900,300,300,85,85,0.0,0,6,,,6,2,periodic,pbs_bose_legacy_nmax2_periodic/data/U_7/W_2/L_6/N_6_nmax_2/boundary_periodic/energies_full_U7_L6_N6_nmax2_W2_boundaryperiodic_nreal300.txt
