U,W,mean_r,stderr_r,n_r_values,n_realizations_used,n_realizations_total,n_levels_min,n_levels_max,zero_gap_fraction,duplicate_levels_removed,L,Nup,Ndown,N,nmax,file
1.0,1.0,0.528472840562941,0.0010087471893726193,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_1/W_1/L_6/N_6_nmax_4/energies_full_U1_L6_N6_nmax4_W1_nreal300.txt
2.0,1.0,0.4812166985484314,0.0010533104156254826,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_2/W_1/L_6/N_6_nmax_4/energies_full_U2_L6_N6_nmax4_W1_nreal300.txt
3.0,1.0,0.43808674324597974,0.0010825754125839806,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_3/W_1/L_6/N_6_nmax_4/energies_full_U3_L6_N6_nmax4_W1_nreal300.txt
4.0,1.0,0.41619337189667277,0.001092617710446628,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_4/W_1/L_6/N_6_nmax_4/energies_full_U4_L6_N6_nmax4_W1_nreal300.txt
5.0,1.0,0.4115725833553677,0.0010956322723763591,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_5/W_1/L_6/N_6_nmax_4/energies_full_U5_L6_N6_nmax4_W1_nreal300.txt
6.0,1.0,0.4066589053541802,0.0011000011664734509,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_6/W_1/L_6/N_6_nmax_4/energies_full_U6_L6_N6_nmax4_W1_nreal300.txt
7.0,1.0,0.4031085703316506,0.0011020396413381284,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_7/W_1/L_6/N_6_nmax_4/energies_full_U7_L6_N6_nmax4_W1_nreal300.txt
8.0,1.0,0.40082364741056814,0.0011066375498963786,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_8/W_1/L_6/N_6_nmax_4/energies_full_U8_L6_N6_nmax4_W1_nreal300.txt
9.0,1.0,0.3974217529802523,0.0011047938301064454,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_9/W_1/L_6/N_6_nmax_4/energies_full_U9_L6_N6_nmax4_W1_nreal300.txt
10.0,1.0,0.3981213599004257,0.0011096952307948292,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_10/W_1/L_6/N_6_nmax_4/energies_full_U10_L6_N6_nmax4_W1_nreal300.txt
11.0,1.0,0.39778210961422117,0.0011089070149205927,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_11/W_1/L_6/N_6_nmax_4/energies_full_U11_L6_N6_nmax4_W1_nreal300.txt
50.0,1.0,0.38461383343640454,0.001114345987688551,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_50/W_1/L_6/N_6_nmax_4/energies_full_U50_L6_N6_nmax4_W1_nreal300.txt
1.0,2.0,0.519890405598185,0.0010178193778928913,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_1/W_2/L_6/N_6_nmax_4/energies_full_U1_L6_N6_nmax4_W2_nreal300.txt
2.0,2.0,0.4690777631077922,0.001058003629423107,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_2/W_2/L_6/N_6_nmax_4/energies_full_U2_L6_N6_nmax4_W2_nreal300.txt
3.0,2.0,0.42920090362001834,0.0010833001632769648,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_3/W_2/L_6/N_6_nmax_4/energies_full_U3_L6_N6_nmax4_W2_nreal300.txt
4.0,2.0,0.41238438560655843,0.001097561052010335,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_4/W_2/L_6/N_6_nmax_4/energies_full_U4_L6_N6_nmax4_W2_nreal300.txt
5.0,2.0,0.40374670844220345,0.0010974814107392562,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_5/W_2/L_6/N_6_nmax_4/energies_full_U5_L6_N6_nmax4_W2_nreal300.txt
6.0,2.0,0.4025751060421202,0.001100035908134186,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_6/W_2/L_6/N_6_nmax_4/energies_full_U6_L6_N6_nmax4_W2_nreal300.txt
7.0,2.0,0.40044521836182023,0.0010994141615523634,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_7/W_2/L_6/N_6_nmax_4/energies_full_U7_L6_N6_nmax4_W2_nreal300.txt
8.0,2.0,0.4000916653021157,0.0011045214130264416,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_8/W_2/L_6/N_6_nmax_4/energies_full_U8_L6_N6_nmax4_W2_nreal300.txt
9.0,2.0,0.3973680121285641,0.0011031991891595188,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_9/W_2/L_6/N_6_nmax_4/energies_full_U9_L6_N6_nmax4_W2_nreal300.txt
10.0,2.0,0.3953917068603067,0.0011043381666883299,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_10/W_2/L_6/N_6_nmax_4/energies_full_U10_L6_N6_nmax4_W2_nreal300.txt
11.0,2.0,0.39505157252331335,0.0011075016357635023,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_11/W_2/L_6/N_6_nmax_4/energies_full_U11_L6_N6_nmax4_W2_nreal300.txt
50.0,2.0,0.38881689997016633,0.0011165236223382494,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_50/W_2/L_6/N_6_nmax_4/energies_full_U50_L6_N6_nmax4_W2_nreal300.txt
1.0,3.0,0.4949449205143331,0.0010406991042310723,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_1/W_3/L_6/N_6_nmax_4/energies_full_U1_L6_N6_nmax4_W3_nreal300.txt
2.0,3.0,0.4569939890437221,0.0010696632177341528,63600,300,300,214,214,0.0,0,6,,,6,4,pbs_bose_polfed_grouped/data/U_2/W_3/L_6/N_6_nmax_4/energies_full_U2_L6_N6_nmax4_W3_nreal300.txt
