U,W,mean_r,stderr_r,n_r_values,n_realizations_used,n_realizations_total,n_levels_min,n_levels_max,zero_gap_fraction,duplicate_levels_removed,L,Nup,Ndown,N,nmax,boundary,file
1.0,0.5,0.5229415514876735,0.0011128559384863878,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_1/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
2.0,0.5,0.5250247715281473,0.0011061231357355876,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_2/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
3.0,0.5,0.521868322845646,0.0011099031965610584,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_3/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
4.0,0.5,0.5132954317931514,0.0011169481594104993,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_4/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
5.0,0.5,0.5091600814262156,0.0011200882109061604,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_5/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U5_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
6.0,0.5,0.5084960253116707,0.0011217744937667932,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_6/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U6_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
7.0,0.5,0.5067596929298619,0.001124912430523833,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_7/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U7_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
8.0,0.5,0.5043255448490327,0.0011310991414419122,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_8/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U8_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
9.0,0.5,0.4986663509792115,0.0011374938932686002,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_9/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U9_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
10.0,0.5,0.49374456995037036,0.001140147820797586,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_10/W_0p5/L_7/N_7_nmax_2/boundary_periodic/energies_full_U10_L7_N7_nmax2_W0.5_boundaryperiodic_nreal300.txt
1.0,1.0,0.5302487189834943,0.0011023002227935324,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_1/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U1_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt
2.0,1.0,0.5304282156293311,0.001103514814112554,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_2/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U2_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt
3.0,1.0,0.5308805266337814,0.001102329788483683,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_3/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U3_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt
4.0,1.0,0.5205206355562214,0.0011111297585096067,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_4/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U4_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt
5.0,1.0,0.5113906792587839,0.001117057418495259,53400,300,300,180,180,0.0,0,7,,,7,2,periodic,pbs_bose_midpoint_L7/data/U_5/W_1/L_7/N_7_nmax_2/boundary_periodic/energies_full_U5_L7_N7_nmax2_W1_boundaryperiodic_nreal300.txt
