L,nmax,W,U_cross,n_U
6,2,1.0,nan,10
6,2,2.0,nan,10
6,2,3.0,nan,10
6,2,4.0,nan,10
6,2,5.0,nan,10
6,2,6.0,nan,10
6,2,7.0,nan,10
6,2,8.0,nan,10
6,2,9.0,nan,10
6,2,10.0,nan,10
6,2,11.0,nan,10
6,2,12.0,nan,10
6,2,13.0,nan,10
6,2,14.0,nan,10
6,2,15.0,nan,10
6,3,1.0,4.949319422063165,10
6,3,2.0,5.692781332628159,10
6,3,3.0,6.556400622964621,10
6,3,4.0,7.664128707169935,10
6,3,5.0,8.681760875068196,10
6,3,6.0,9.731071161765385,10
6,3,7.0,nan,10
6,3,8.0,nan,10
6,3,9.0,nan,10
6,3,10.0,nan,10
6,3,11.0,nan,10
6,3,12.0,nan,10
6,3,13.0,nan,10
6,3,14.0,nan,10
6,3,15.0,nan,10
6,4,1.0,2.9943064562847557,10
6,4,2.0,3.1853624319267153,10
6,4,3.0,3.4141838677217304,10
6,4,4.0,3.6587191080096955,10
6,4,5.0,3.962958540160587,10
6,4,6.0,4.353682277961998,10
6,4,7.0,4.594849015912174,10
6,4,8.0,4.853640098728503,10
6,4,9.0,5.026233340203259,10
6,4,10.0,5.457476473233298,10
6,4,11.0,6.123119307693395,10
6,4,12.0,6.109050031733853,10
6,4,13.0,6.414438044595771,10
6,4,14.0,6.613169279946583,10
6,4,15.0,6.853419415399998,10
6,5,1.0,2.0163075129658528,10
6,5,2.0,2.07029133741666,10
6,5,3.0,2.253706466128585,10
6,5,4.0,2.472441607316414,10
6,5,5.0,2.7151221866852646,10
6,5,6.0,2.876649547156064,10
6,5,7.0,3.050018021186899,10
6,5,8.0,3.2892167558048375,10
6,5,9.0,3.498240308322552,10
6,5,10.0,3.684686886737796,10
6,5,11.0,3.89640729893138,10
6,5,12.0,4.084934429137484,10
6,5,13.0,4.2205756885893955,10
6,5,14.0,4.37486389831789,10
6,5,15.0,4.560750557748309,10
