L,N,nmax,filling,U,W,dim,observable,entropy_mean,entropy_stderr,pr_normalized_mean,pr_normalized_stderr,onsite_pair_density_mean,onsite_pair_density_stderr,n_realizations
6,3,2,0.5,1.0,1.0,50,fock_entropy_normalized,0.809449857965106,0.0003013265544194162,0.347659917440398,0.0005744864175892038,0.21201670220433602,0.00011017738891076175,500
6,3,2,0.5,1.0,2.0,50,fock_entropy_normalized,0.7952611006668,0.000860366606819636,0.322811354817726,0.0013246416232996511,0.20044361825236,0.00027591877644863363,500
6,3,2,0.5,1.0,3.0,50,fock_entropy_normalized,0.7492296235835039,0.002260633935481068,0.2664531828537,0.002542839249629659,0.190292387417264,0.00039195237644664127,500
6,3,2,0.5,1.0,4.0,50,fock_entropy_normalized,0.6814946324866099,0.003606687541629619,0.20527222694873098,0.0029991164743527338,0.182046266078332,0.0004324137353951121,500
6,3,2,0.5,1.0,5.0,50,fock_entropy_normalized,0.6103793337794421,0.004266187226823677,0.15602762769674838,0.002744629247557218,0.177432131498424,0.0004533350077416077,500
6,3,2,0.5,1.0,6.0,50,fock_entropy_normalized,0.554152224418202,0.004919176395891219,0.12904067424737578,0.002712009746665538,0.1745406831289,0.0004792016219081983,500
6,3,2,0.5,1.0,7.0,50,fock_entropy_normalized,0.5003768485439921,0.005319642282889024,0.1067975360084616,0.0024455590503306202,0.17187513210614,0.0004789753657609101,500
6,3,2,0.5,1.0,8.0,50,fock_entropy_normalized,0.465442527532254,0.005595468482661403,0.0949104973154096,0.002215696153453708,0.17180233631319,0.0005127628652249977,500
6,3,2,0.5,1.0,9.0,50,fock_entropy_normalized,0.416419409111614,0.00544432152089454,0.0789963346254264,0.0019511678873658936,0.17017128565898598,0.0004969839723306083,500
6,3,2,0.5,1.0,10.0,50,fock_entropy_normalized,0.389893489237798,0.005682723703058952,0.0731569675668156,0.0018023677504617449,0.169620454515546,0.0005268310009231634,500
6,3,2,0.5,1.0,11.0,50,fock_entropy_normalized,0.3587389965518114,0.005428732730724768,0.0645955345784116,0.0014969319853849737,0.169486819306404,0.0005499194799989481,500
6,3,2,0.5,1.0,12.0,50,fock_entropy_normalized,0.340777368561362,0.005416025177364192,0.06121079197818919,0.001436775030918706,0.169039983983652,0.0005765769845385386,500
6,3,2,0.5,1.0,13.0,50,fock_entropy_normalized,0.3154019965581822,0.005643966433266129,0.0570032004840036,0.0014896796744755015,0.16793298791543199,0.0005580107532704922,500
6,3,2,0.5,1.0,14.0,50,fock_entropy_normalized,0.2856105076557346,0.005046468366355181,0.0501862673475718,0.0010786645288878738,0.167703476672526,0.0005526660585804084,500
6,3,2,0.5,1.0,15.0,50,fock_entropy_normalized,0.26840475977925476,0.0049085703063162745,0.0471485709953814,0.0010219099028527055,0.168724983578114,0.000577784210036022,500
