L,N,nmax,q,a_q
6,3,2,-1,0.16
6,3,2,0,0.28
6,3,2,1,0.16
6,3,3,-2,0.05357142857142857
6,3,3,-1,0.14285714285714285
6,3,3,0,0.25
6,3,3,1,0.14285714285714285
6,3,3,2,0.05357142857142857
6,3,4,-2,0.05357142857142857
6,3,4,-1,0.14285714285714285
6,3,4,0,0.25
6,3,4,1,0.14285714285714285
6,3,4,2,0.05357142857142857
6,3,5,-2,0.05357142857142857
6,3,5,-1,0.14285714285714285
6,3,5,0,0.25
6,3,5,1,0.14285714285714285
6,3,5,2,0.05357142857142857
6,4,2,-1,0.2222222222222222
6,4,2,0,0.35555555555555557
6,4,2,1,0.2222222222222222
6,4,3,-2,0.1
6,4,3,-1,0.21666666666666667
6,4,3,0,0.3
6,4,3,1,0.21666666666666667
6,4,3,2,0.1
6,4,4,-3,0.031746031746031744
6,4,4,-2,0.09523809523809523
6,4,4,-1,0.20634920634920634
6,4,4,0,0.2857142857142857
6,4,4,1,0.20634920634920634
6,4,4,2,0.09523809523809523
6,4,4,3,0.031746031746031744
6,4,5,-3,0.031746031746031744
6,4,5,-2,0.09523809523809523
6,4,5,-1,0.20634920634920634
6,4,5,0,0.2857142857142857
6,4,5,1,0.20634920634920634
6,4,5,2,0.09523809523809523
6,4,5,3,0.031746031746031744
6,5,2,-1,0.25396825396825395
6,5,2,0,0.46825396825396826
6,5,2,1,0.25396825396825395
6,5,3,-2,0.1388888888888889
6,5,3,-1,0.2962962962962963
6,5,3,0,0.3703703703703704
6,5,3,1,0.2962962962962963
6,5,3,2,0.1388888888888889
6,5,4,-3,0.06504065040650407
6,5,4,-2,0.15447154471544716
6,5,4,-1,0.26016260162601623
6,5,4,0,0.3414634146341463
6,5,4,1,0.26016260162601623
6,5,4,2,0.15447154471544716
6,5,4,3,0.06504065040650407
6,5,5,-4,0.01984126984126984
6,5,5,-3,0.06349206349206349
6,5,5,-2,0.15079365079365079
6,5,5,-1,0.25396825396825395
6,5,5,0,0.3333333333333333
6,5,5,1,0.25396825396825395
6,5,5,2,0.15079365079365079
6,5,5,3,0.06349206349206349
6,5,5,4,0.01984126984126984
6,6,2,-1,0.2695035460992908
6,6,2,0,0.5673758865248226
6,6,2,1,0.2695035460992908
6,6,3,-2,0.17857142857142858
6,6,3,-1,0.36309523809523814
6,6,3,0,0.46428571428571425
6,6,3,1,0.36309523809523814
6,6,3,2,0.17857142857142858
6,6,4,-3,0.09389671361502347
6,6,4,-2,0.215962441314554
6,6,4,-1,0.33333333333333337
6,6,4,0,0.39436619718309857
6,6,4,1,0.33333333333333337
6,6,4,2,0.215962441314554
6,6,4,3,0.09389671361502347
6,6,5,-4,0.043859649122807015
6,6,5,-3,0.10964912280701754
6,6,5,-2,0.20175438596491227
6,6,5,-1,0.3114035087719298
6,6,5,0,0.3771929824561403
6,6,5,1,0.3114035087719298
6,6,5,2,0.20175438596491227
6,6,5,3,0.10964912280701754
6,6,5,4,0.043859649122807015
6,7,2,-1,0.25396825396825395
6,7,2,0,0.6825396825396826
6,7,2,1,0.25396825396825395
6,7,3,-2,0.20394736842105263
6,7,3,-1,0.43859649122807015
6,7,3,0,0.5657894736842106
6,7,3,1,0.43859649122807015
6,7,3,2,0.20394736842105263
6,7,4,-3,0.12012012012012012
6,7,4,-2,0.2777777777777778
6,7,4,-1,0.40840840840840836
6,7,4,0,0.4714714714714715
6,7,4,1,0.40840840840840836
6,7,4,2,0.2777777777777778
6,7,4,3,0.12012012012012012
6,7,5,-4,0.06613756613756613
6,7,5,-3,0.15873015873015872
6,7,5,-2,0.26455026455026454
6,7,5,-1,0.37037037037037035
6,7,5,0,0.43121693121693117
6,7,5,1,0.37037037037037035
6,7,5,2,0.26455026455026454
6,7,5,3,0.15873015873015872
6,7,5,4,0.06613756613756613
6,8,2,-1,0.2222222222222222
6,8,2,0,0.7555555555555555
6,8,2,1,0.2222222222222222
6,8,3,-2,0.21978021978021978
6,8,3,-1,0.5018315018315018
6,8,3,0,0.6959706959706959
6,8,3,1,0.5018315018315018
6,8,3,2,0.21978021978021978
6,8,4,-3,0.14721345951629863
6,8,4,-2,0.3322818086225027
6,8,4,-1,0.49001051524710826
6,8,4,0,0.5594111461619348
6,8,4,1,0.49001051524710826
6,8,4,2,0.3322818086225027
6,8,4,3,0.14721345951629863
6,8,5,-4,0.08613264427217916
6,8,5,-3,0.20671834625323
6,8,5,-2,0.3341946597760551
6,8,5,-1,0.4392764857881137
6,8,5,0,0.49267872523686473
6,8,5,1,0.4392764857881137
6,8,5,2,0.3341946597760551
6,8,5,3,0.20671834625323
6,8,5,4,0.08613264427217916
6,9,2,-1,0.16
6,9,2,0,0.8200000000000001
6,9,2,1,0.16
6,9,3,-2,0.22758620689655173
6,9,3,-1,0.5517241379310345
6,9,3,0,0.8379310344827586
6,9,3,1,0.5517241379310345
6,9,3,2,0.22758620689655173
6,9,4,-3,0.16693418940609953
6,9,4,-2,0.3884430176565008
6,9,4,-1,0.5714285714285714
6,9,4,0,0.667736757624398
6,9,4,1,0.5714285714285714
6,9,4,2,0.3884430176565008
6,9,4,3,0.16693418940609953
6,9,5,-4,0.10504201680672269
6,9,5,-3,0.2545018007202881
6,9,5,-2,0.40216086434573833
6,9,5,-1,0.5186074429771909
6,9,5,0,0.5672268907563025
6,9,5,1,0.5186074429771909
6,9,5,2,0.40216086434573833
6,9,5,3,0.2545018007202881
6,9,5,4,0.10504201680672269
