L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
6,3,2,1.0,10.0,0.5996362639697529,50,20,0.7657757302033369,0.7830442260301604
6,3,2,2.0,10.0,0.516176133375464,50,20,0.7657757302033369,0.6740565325025427
6,3,2,3.0,10.0,0.436461989986792,50,20,0.7657757302033369,0.569960593907694
6,3,2,4.0,10.0,0.37721564281895903,50,20,0.7657757302033369,0.49259284140383597
6,3,2,5.0,10.0,0.33464877955458605,50,20,0.7657757302033369,0.4370062491608693
6,3,2,6.0,10.0,0.29871708580505296,50,20,0.7657757302033369,0.39008429494851504
6,3,2,7.0,10.0,0.283310517705183,50,20,0.7657757302033369,0.3699653913423913
6,3,2,8.0,10.0,0.259650590220235,50,20,0.7657757302033369,0.33906871160736557
6,3,2,9.0,10.0,0.253556071058051,50,20,0.7657757302033369,0.3311100901444397
6,3,2,10.0,10.0,0.240860529971184,50,20,0.7657757302033369,0.31453142280603247
6,3,2,11.0,10.0,0.23726782896366,50,20,0.7657757302033369,0.309839839009599
6,3,2,12.0,10.0,0.229129059007258,50,20,0.7657757302033369,0.2992117012462868
6,3,2,13.0,10.0,0.225302809378039,50,20,0.7657757302033369,0.2942151343947845
6,3,2,14.0,10.0,0.218819797818484,50,20,0.7657757302033369,0.2857491941673062
6,3,2,15.0,10.0,0.215557646046592,50,20,0.7657757302033369,0.2814892631676311
6,3,3,1.0,10.0,0.582557443967118,56,20,0.7442162831260293,0.7827797606364181
6,3,3,2.0,10.0,0.493980736954434,56,20,0.7442162831260293,0.663759646428995
6,3,3,3.0,10.0,0.413492968877307,56,20,0.7442162831260293,0.5556086023010116
6,3,3,4.0,10.0,0.351250072290728,56,20,0.7442162831260293,0.4719731081606093
6,3,3,5.0,10.0,0.311854198867637,56,20,0.7442162831260293,0.4190370540640617
6,3,3,6.0,10.0,0.28226921934072396,56,20,0.7442162831260293,0.3792838530152438
6,3,3,7.0,10.0,0.258480075736223,56,20,0.7442162831260293,0.347318490063796
6,3,3,8.0,10.0,0.23641664117593,56,20,0.7442162831260293,0.31767195442550406
6,3,3,9.0,10.0,0.22618813692445103,56,20,0.7442162831260293,0.3039279602622551
6,3,3,10.0,10.0,0.2183321043022911,56,20,0.7442162831260293,0.2933718453259342
6,3,3,11.0,10.0,0.211855470204939,56,20,0.7442162831260293,0.28466922184913057
6,3,3,12.0,10.0,0.2045582207499101,56,20,0.7442162831260293,0.274863941286903
6,3,3,13.0,10.0,0.2002089477345323,56,20,0.7442162831260293,0.26901984312083094
6,3,3,14.0,10.0,0.19554459528742732,56,20,0.7442162831260293,0.2627523741701212
6,3,3,15.0,10.0,0.181964161556195,56,20,0.7442162831260293,0.24450440776687532
6,3,4,1.0,10.0,0.5843576138912829,56,20,0.7442162831260293,0.7851986406918282
6,3,4,2.0,10.0,0.494145371302687,56,20,0.7442162831260293,0.663980864846256
6,3,4,3.0,10.0,0.417397704322088,56,20,0.7442162831260293,0.5608553773761005
