L,N,nmax,W,Uhalf,half_level,s_infinity_estimate,n_U
7,7,2,1.0,4.041939914516315,0.5,0.6818202171705379,10
7,7,2,2.0,4.33026539105257,0.5,0.6306701545409971,10
7,7,2,3.0,4.6200997973674145,0.5,0.559104724660617,10
7,7,2,4.0,4.852453457687107,0.5,0.48939980825880103,10
7,7,2,5.0,5.111927064516588,0.5,0.43527147158706003,10
7,7,2,6.0,5.252714784764333,0.5,0.39102496764843997,10
7,7,2,7.0,5.640302437784613,0.5,0.35642150046704796,10
7,7,2,8.0,5.970628321799924,0.5,0.32797093352261397,10
7,7,2,9.0,6.3796197255747815,0.5,0.30905161265346204,10
7,7,2,10.0,6.56452274748399,0.5,0.29155196392608496,10
7,7,2,11.0,6.485239304442717,0.5,0.280043846888102,10
7,7,2,12.0,6.497997997098801,0.5,0.271575693354065,10
7,7,2,13.0,6.490687000057129,0.5,0.264569094334527,10
7,7,2,14.0,6.782853595432087,0.5,0.25522619005883196,10
7,7,2,15.0,6.2965973247691185,0.5,0.247735988202388,10
7,7,3,1.0,3.9140806502204866,0.5,0.535590579111197,10
7,7,3,2.0,3.94745565159848,0.5,0.4395646307574,10
7,7,3,3.0,3.924918896606366,0.5,0.363716735261672,10
7,7,3,4.0,4.074017700161823,0.5,0.306680644911852,10
7,7,3,5.0,4.2292168679715125,0.5,0.269218236715577,10
7,7,3,6.0,4.457105347720038,0.5,0.24689893821437903,10
7,7,3,7.0,4.673736296582973,0.5,0.223056493227488,10
7,7,3,8.0,4.804735573179279,0.5,0.21226878992655301,10
7,7,3,9.0,5.154203290240699,0.5,0.20554382096649101,10
7,7,3,10.0,5.239708664180245,0.5,0.19847390274123,10
7,7,3,11.0,5.3432434121753,0.5,0.19654733504429,10
7,7,3,12.0,5.434020086796694,0.5,0.194580671942503,10
7,7,3,13.0,5.645216811367477,0.5,0.18900657991382802,10
7,7,3,14.0,5.71271590917458,0.5,0.18799084879336403,10
7,7,3,15.0,6.012982476838136,0.5,0.183277637667297,10
7,7,4,1.0,3.3062587653287077,0.5,0.43606798245533396,10
7,7,4,2.0,3.3439743510257727,0.5,0.35663744732576197,10
7,7,4,3.0,3.377311038992301,0.5,0.29541518189265403,10
7,7,4,4.0,3.461465999176046,0.5,0.257194995581858,10
7,7,4,5.0,3.613959654554904,0.5,0.22554042768065002,10
7,7,4,6.0,3.766474748597389,0.5,0.203353033956987,10
7,7,4,7.0,3.9067372883220983,0.5,0.18834118411936498,10
7,7,4,8.0,4.149811251840271,0.5,0.1768933960346036,10
7,7,4,9.0,4.333713582587208,0.5,0.1706042456261228,10
7,7,4,10.0,4.532152427407331,0.5,0.16692174753384298,10
7,7,4,11.0,4.663620139024985,0.5,0.1634124220921041,10
7,7,4,12.0,4.742452127555874,0.5,0.15942890923116948,10
7,7,4,13.0,4.914846207477241,0.5,0.15868828566112403,10
7,7,4,14.0,5.031349984950223,0.5,0.15457300176307082,10
7,7,4,15.0,5.133405531376672,0.5,0.1520373786661911,10
7,7,5,1.0,3.066984408538677,0.5,0.414826491258491,10
7,7,5,2.0,3.103605516546723,0.5,0.33968874873823296,10
7,7,5,3.0,3.1308526548421622,0.5,0.28372111631587704,10
7,7,5,4.0,3.2366310783657855,0.5,0.243454100563315,10
7,7,5,5.0,3.3991170288888037,0.5,0.211539599552028,10
7,7,5,6.0,3.5799219295524534,0.5,0.19311037659236002,10
7,7,5,7.0,3.6288174401143714,0.5,0.176311813389902,10
7,7,5,8.0,3.8983203475565253,0.5,0.1663629341170895,10
7,7,5,9.0,3.9818356851399175,0.5,0.1574676150719225,10
7,7,5,10.0,4.149752541389809,0.5,0.1540578080855554,10
7,7,5,11.0,4.355094410381801,0.5,0.1513769882924795,10
7,7,5,12.0,4.399164315177882,0.5,0.1505382573654186,10
7,7,5,13.0,4.5508595827578695,0.5,0.14530419056477178,10
7,7,5,14.0,4.71293935980264,0.5,0.14442393008726867,10
7,7,5,15.0,4.629013731724437,0.5,0.14172482584307072,10
