L,N,nmax,filling,U,W,dim,observable,entropy_mean,entropy_stderr,pr_normalized_mean,pr_normalized_stderr,onsite_pair_density_mean,onsite_pair_density_stderr,n_realizations
7,7,2,1.0,1.0,1.0,393,fock_entropy_normalized,0.8712798733702439,5.680240480618072e-05,0.31395595697913004,0.00017369287231802261,0.656208976542048,5.1624830167928926e-05,500
7,7,2,1.0,1.0,2.0,393,fock_entropy_normalized,0.8601579767469281,0.00034880658644133886,0.28407809971750797,0.0008818906537647905,0.649449640537988,0.00013780919087756828,500
7,7,2,1.0,1.0,3.0,393,fock_entropy_normalized,0.829159752930912,0.001182978090538345,0.22371923442054759,0.001994157524231631,0.6419860796972159,0.00018634078584696612,500
7,7,2,1.0,1.0,4.0,393,fock_entropy_normalized,0.78037338839261,0.00248905335494753,0.16502644092938903,0.002762316018304077,0.636256535843488,0.00022283562251326392,500
7,7,2,1.0,1.0,5.0,393,fock_entropy_normalized,0.7210305643077,0.003766400280905881,0.1185839829401458,0.0027210942130278253,0.63161613769795,0.0002167304738694812,500
7,7,2,1.0,1.0,6.0,393,fock_entropy_normalized,0.659259182738228,0.004694541395999694,0.08591731739128107,0.0024971838993870996,0.628416098313162,0.00023762550072162802,500
7,7,2,1.0,1.0,7.0,393,fock_entropy_normalized,0.5952369556411741,0.005320420971678997,0.062080235268062126,0.002187803763436331,0.62591252045111,0.00024877345484685044,500
7,7,2,1.0,1.0,8.0,393,fock_entropy_normalized,0.538758239302546,0.005533503650236788,0.045565884573849684,0.0017721033089880044,0.624137866047306,0.00024392431390679137,500
7,7,2,1.0,1.0,9.0,393,fock_entropy_normalized,0.487026155606148,0.005631396459112874,0.034551160705959816,0.0014317801696036713,0.622142191498846,0.00025565957994762637,500
7,7,2,1.0,1.0,10.0,393,fock_entropy_normalized,0.44776538463469795,0.005440367669869861,0.026838890384608738,0.0009777183273390162,0.6209931893204,0.0002663630255907124,500
