L,N,nmax,q,a_q
7,7,2,-1,0.2595419847328244
7,7,2,0,0.5725190839694656
7,7,2,1,0.2595419847328244
7,7,3,-2,0.17287234042553193
7,7,3,-1,0.36524822695035464
7,7,3,0,0.46985815602836883
7,7,3,1,0.36524822695035464
7,7,3,2,0.17287234042553193
7,7,4,-3,0.09210526315789473
7,7,4,-2,0.21710526315789475
7,7,4,-1,0.33684210526315794
7,7,4,0,0.4052631578947368
7,7,4,1,0.33684210526315794
7,7,4,2,0.21710526315789475
7,7,4,3,0.09210526315789473
7,7,5,-4,0.04499100179964007
7,7,5,-3,0.11397720455908818
7,7,5,-2,0.2069586082783443
7,7,5,-1,0.3131373725254949
7,7,5,0,0.3815236952609478
7,7,5,1,0.3131373725254949
7,7,5,2,0.2069586082783443
7,7,5,3,0.11397720455908818
7,7,5,4,0.04499100179964007
