L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
7,7,2,1.0,10.0,0.6818202171705379,393,1,0.0,nan
7,7,2,2.0,10.0,0.6306701545409971,393,1,0.0,nan
7,7,2,3.0,10.0,0.559104724660617,393,1,0.0,nan
7,7,2,4.0,10.0,0.48939980825880103,393,1,0.0,nan
7,7,2,5.0,10.0,0.43527147158706003,393,1,0.0,nan
7,7,2,6.0,10.0,0.39102496764843997,393,1,0.0,nan
7,7,2,7.0,10.0,0.35642150046704796,393,1,0.0,nan
7,7,2,8.0,10.0,0.32797093352261397,393,1,0.0,nan
7,7,2,9.0,10.0,0.30905161265346204,393,1,0.0,nan
7,7,2,10.0,10.0,0.29155196392608496,393,1,0.0,nan
7,7,2,11.0,10.0,0.280043846888102,393,1,0.0,nan
7,7,2,12.0,10.0,0.271575693354065,393,1,0.0,nan
7,7,2,13.0,10.0,0.264569094334527,393,1,0.0,nan
7,7,2,14.0,10.0,0.25522619005883196,393,1,0.0,nan
7,7,2,15.0,10.0,0.247735988202388,393,1,0.0,nan
7,7,3,1.0,10.0,0.535590579111197,1128,1,0.0,nan
7,7,3,2.0,10.0,0.4395646307574,1128,1,0.0,nan
7,7,3,3.0,10.0,0.363716735261672,1128,1,0.0,nan
7,7,3,4.0,10.0,0.306680644911852,1128,1,0.0,nan
7,7,3,5.0,10.0,0.269218236715577,1128,1,0.0,nan
7,7,3,6.0,10.0,0.24689893821437903,1128,1,0.0,nan
7,7,3,7.0,10.0,0.223056493227488,1128,1,0.0,nan
7,7,3,8.0,10.0,0.21226878992655301,1128,1,0.0,nan
7,7,3,9.0,10.0,0.20554382096649101,1128,1,0.0,nan
7,7,3,10.0,10.0,0.19847390274123,1128,1,0.0,nan
7,7,3,11.0,10.0,0.19654733504429,1128,1,0.0,nan
7,7,3,12.0,10.0,0.194580671942503,1128,1,0.0,nan
7,7,3,13.0,10.0,0.18900657991382802,1128,1,0.0,nan
7,7,3,14.0,10.0,0.18799084879336403,1128,1,0.0,nan
7,7,3,15.0,10.0,0.183277637667297,1128,1,0.0,nan
7,7,4,1.0,10.0,0.43606798245533396,1520,1,0.0,nan
7,7,4,2.0,10.0,0.35663744732576197,1520,1,0.0,nan
7,7,4,3.0,10.0,0.29541518189265403,1520,1,0.0,nan
7,7,4,4.0,10.0,0.257194995581858,1520,1,0.0,nan
7,7,4,5.0,10.0,0.22554042768065002,1520,1,0.0,nan
7,7,4,6.0,10.0,0.203353033956987,1520,1,0.0,nan
7,7,4,7.0,10.0,0.18834118411936498,1520,1,0.0,nan
7,7,4,8.0,10.0,0.1768933960346036,1520,1,0.0,nan
7,7,4,9.0,10.0,0.1706042456261228,1520,1,0.0,nan
7,7,4,10.0,10.0,0.16692174753384298,1520,1,0.0,nan
7,7,4,11.0,10.0,0.1634124220921041,1520,1,0.0,nan
7,7,4,12.0,10.0,0.15942890923116948,1520,1,0.0,nan
7,7,4,13.0,10.0,0.15868828566112403,1520,1,0.0,nan
7,7,4,14.0,10.0,0.15457300176307082,1520,1,0.0,nan
7,7,4,15.0,10.0,0.1520373786661911,1520,1,0.0,nan
7,7,5,1.0,10.0,0.414826491258491,1667,1,0.0,nan
7,7,5,2.0,10.0,0.33968874873823296,1667,1,0.0,nan
7,7,5,3.0,10.0,0.28372111631587704,1667,1,0.0,nan
7,7,5,4.0,10.0,0.243454100563315,1667,1,0.0,nan
7,7,5,5.0,10.0,0.211539599552028,1667,1,0.0,nan
7,7,5,6.0,10.0,0.19311037659236002,1667,1,0.0,nan
7,7,5,7.0,10.0,0.176311813389902,1667,1,0.0,nan
7,7,5,8.0,10.0,0.1663629341170895,1667,1,0.0,nan
7,7,5,9.0,10.0,0.1574676150719225,1667,1,0.0,nan
7,7,5,10.0,10.0,0.1540578080855554,1667,1,0.0,nan
7,7,5,11.0,10.0,0.1513769882924795,1667,1,0.0,nan
7,7,5,12.0,10.0,0.1505382573654186,1667,1,0.0,nan
7,7,5,13.0,10.0,0.14530419056477178,1667,1,0.0,nan
7,7,5,14.0,10.0,0.14442393008726867,1667,1,0.0,nan
7,7,5,15.0,10.0,0.14172482584307072,1667,1,0.0,nan
