L,N,nmax,U,W,gamma,kappa,S2_model_over_lnD,data_entropy,data_lnPR_over_lnD_available
7,7,2,1.0,1.0,1.0,-0.0,1.0,0.8712798733702439,False
7,7,2,2.0,1.0,1.0,0.9034923148418085,0.9368384753044335,0.854732485551386,False
7,7,2,3.0,1.0,1.0,1.6268173029883375,0.7948536854025264,0.82301718345359,False
7,7,2,4.0,1.0,1.0,2.174324060325582,0.6476791973840823,0.778095199913088,False
7,7,2,5.0,1.0,1.0,2.608349553112903,0.522425046812129,0.741253097097262,False
7,7,2,6.0,1.0,1.0,2.96651198327419,0.4235499939959197,0.7203009694919521,False
7,7,2,7.0,1.0,1.0,3.2709687373934715,0.34714279863132,0.7052880309044021,False
7,7,2,8.0,1.0,1.0,3.5355619932499955,0.28801799676822226,0.6945220735919441,False
7,7,2,9.0,1.0,1.0,3.769446788163347,0.24183117822520336,0.685920638522922,False
7,7,2,10.0,1.0,1.0,3.978971147184103,0.20531849059355353,0.6777197958181539,False
7,7,2,1.0,2.0,1.0,-0.0,1.0,0.8601579767469281,False
7,7,2,2.0,2.0,1.0,0.7034019527676205,0.9621992640790694,0.84413071047947,False
7,7,2,3.0,2.0,1.0,1.4921476321413518,0.8266605384870696,0.8100833959710719,False
7,7,2,4.0,2.0,1.0,2.0979712795525116,0.6694328335579481,0.761938937862586,False
7,7,2,5.0,2.0,1.0,2.563188742669635,0.5353542871098185,0.711903806521824,False
7,7,2,6.0,2.0,1.0,2.938994937571852,0.4308473784774862,0.6771373272321519,False
7,7,2,7.0,2.0,1.0,3.2542616328215703,0.3511131474045774,0.657855620896632,False
7,7,2,8.0,2.0,1.0,3.5259255429715064,0.2900444904053664,0.642231314302374,False
7,7,2,9.0,2.0,1.0,3.7646788782550913,0.24271520999815763,0.6355965680114921,False
7,7,2,10.0,2.0,1.0,3.977694855995305,0.20552722971440532,0.625743741070502,False
7,7,2,1.0,3.0,1.0,-0.0,1.0,0.829159752930912,False
7,7,2,2.0,3.0,1.0,0.4358313298321983,0.9858683570365048,0.817642260805984,False
7,7,2,3.0,3.0,1.0,1.1234471010399045,0.9016132381683405,0.7818752896776779,False
7,7,2,4.0,3.0,1.0,1.8258083302493584,0.7441984797352769,0.7309734539569039,False
7,7,2,5.0,3.0,1.0,2.3580851549486366,0.5946370194811267,0.671561702304112,False
7,7,2,6.0,3.0,1.0,2.769981132694788,0.4768602350006457,0.623639169366938,False
7,7,2,7.0,3.0,1.0,3.1062514181173806,0.38744858576123886,0.59591092504784,False
7,7,2,8.0,3.0,1.0,3.3911630671350346,0.3193974114251567,0.576590114771604,False
7,7,2,9.0,3.0,1.0,3.638810171495211,0.2669181202815083,0.5612819033762919,False
7,7,2,10.0,3.0,1.0,3.8580903757496805,0.2258286884493016,0.5569275459449421,False
7,7,2,1.0,4.0,1.0,-0.0,1.0,0.78037338839261,False
7,7,2,2.0,4.0,1.0,0.2873496762803279,0.993978942534994,0.772027673407966,False
7,7,2,3.0,4.0,1.0,0.7477005630165895,0.9571462389912475,0.7410750676922201,False
7,7,2,4.0,4.0,1.0,1.402543907460171,0.8465811759829148,0.685371025758596,False
7,7,2,5.0,4.0,1.0,2.0440927585843425,0.684619297704941,0.626148522784808,False
7,7,2,6.0,4.0,1.0,2.525820852618264,0.5460998577782611,0.572906138956584,False
7,7,2,7.0,4.0,1.0,2.8999522237105255,0.441300085413645,0.533138839164536,False
7,7,2,8.0,4.0,1.0,3.2073056079785363,0.3624169268674256,0.502423402572934,False
7,7,2,9.0,4.0,1.0,3.4693787104893814,0.3021316305808207,0.49418884799753604,False
7,7,2,10.0,4.0,1.0,3.698515228347667,0.2552295013319141,0.484610768520066,False
7,7,2,1.0,5.0,1.0,-0.0,1.0,0.7210305643077,False
7,7,2,2.0,5.0,1.0,0.20859138744682262,0.9968662156454225,0.712635859844812,False
7,7,2,3.0,5.0,1.0,0.5247992826580157,0.9793014892788123,0.683441968600258,False
7,7,2,4.0,5.0,1.0,0.98378134980771,0.9248530660998202,0.64116272775895,False
7,7,2,5.0,5.0,1.0,1.609274670169283,0.7991177556606573,0.585078031252744,False
7,7,2,6.0,5.0,1.0,2.2060105194439945,0.6385871528761842,0.5231893956909901,False
7,7,2,7.0,5.0,1.0,2.6505751314787003,0.5104042176593198,0.49276463714523006,False
7,7,2,8.0,5.0,1.0,2.9963200971479274,0.4157124375467921,0.461999760150842,False
7,7,2,9.0,5.0,1.0,3.2814315207967244,0.3446703147923302,0.44194623717725,False
7,7,2,10.0,5.0,1.0,3.5255731655776525,0.29011877791182134,0.42859670599687,False
7,7,2,1.0,6.0,1.0,-0.0,1.0,0.659259182738228,False
7,7,2,2.0,6.0,1.0,0.16192726793169562,0.998126462182994,0.64797319700608,False
7,7,2,3.0,6.0,1.0,0.39691926822704837,0.988335938377435,0.6360731540568679,False
7,7,2,4.0,6.0,1.0,0.7198294940657398,0.9603629364167907,0.591156507652244,False
7,7,2,5.0,6.0,1.0,1.1721301845208267,0.89281844152946,0.5393778310473321,False
7,7,2,6.0,6.0,1.0,1.773134908060775,0.7579921734797731,0.483046517201672,False
7,7,2,7.0,6.0,1.0,2.335344253036694,0.6012285373976639,0.44949485671885797,False
7,7,2,8.0,6.0,1.0,2.751237413014534,0.4820759997559417,0.41443298067601403,False
7,7,2,9.0,6.0,1.0,3.074722720831055,0.39544826685141443,0.39616038031210804,False
7,7,2,10.0,6.0,1.0,3.3420919947558114,0.330549512032747,0.38588955498477195,False
7,7,2,1.0,7.0,1.0,-0.0,1.0,0.5952369556411741,False
7,7,2,2.0,7.0,1.0,0.1315856458008709,0.9987695016550532,0.5969668657879399,False
7,7,2,3.0,7.0,1.0,0.3167759903889918,0.9926510631760528,0.5777922540548541,False
7,7,2,4.0,7.0,1.0,0.5600494986713281,0.9763414104340942,0.5444660363305679,False
7,7,2,5.0,7.0,1.0,0.8835042950528668,0.9396629844978001,0.504510768849508,False
7,7,2,6.0,7.0,1.0,1.3282531483042501,0.8622959736208637,0.45971702904331196,False
7,7,2,7.0,7.0,1.0,1.908826415552748,0.7219619513985832,0.413515221551396,False
7,7,2,8.0,7.0,1.0,2.4434719145743626,0.569889763702039,0.37938213789442204,False
