L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
7,7,2,1.0,1.0,0.29567026727723766,0.816805514383369,10
7,7,2,2.0,1.0,0.29603945557565137,0.826687799950053,10
7,7,2,3.0,1.0,0.2807134845620971,0.8605631950567045,10
7,7,2,4.0,1.0,0.24973667820330184,0.8986460658274785,10
7,7,2,5.0,1.0,0.21372284542152922,0.9330860445405169,10
7,7,2,6.0,1.0,0.17456799248353513,0.9581818394216902,10
7,7,2,7.0,1.0,0.1561942851188969,0.9707435277657334,10
7,7,2,8.0,1.0,0.16155767487621153,0.9697778810874819,10
7,7,2,9.0,1.0,0.14957587201597963,0.9745938329393569,10
7,7,2,10.0,1.0,0.1553519814622611,0.974299612011995,10
7,7,2,11.0,1.0,0.11727999787397428,0.982660255908148,10
7,7,2,12.0,1.0,0.13500119629496246,0.9782477605580367,10
7,7,2,13.0,1.0,0.12602587552083636,0.9767349703401017,10
7,7,2,14.0,1.0,0.17578673054941205,0.9700701333010883,10
7,7,2,15.0,1.0,0.05798528390855421,0.9887584599790962,10
7,7,3,1.0,1.0,0.2933873670204812,0.8211392898757087,10
7,7,3,2.0,1.0,0.2731594054597707,0.8429506406041296,10
7,7,3,3.0,1.0,0.23573211828904755,0.8887298509052667,10
7,7,3,4.0,1.0,0.20325672623732488,0.9251996051382299,10
7,7,3,5.0,1.0,0.17362400221041688,0.9508787320221769,10
7,7,3,6.0,1.0,0.15474237197866722,0.9647576715178108,10
7,7,3,7.0,1.0,0.1337295494319188,0.976198891788276,10
7,7,3,8.0,1.0,0.10634274686254422,0.9850749661951932,10
7,7,3,9.0,1.0,0.11475829937045282,0.9828745047309853,10
7,7,3,10.0,1.0,0.09272187083557665,0.9884721979366223,10
7,7,3,11.0,1.0,0.09848009612705859,0.9872840819814084,10
7,7,3,12.0,1.0,0.08563856271886165,0.9909850409952353,10
7,7,3,13.0,1.0,0.10533654588113568,0.98679591337908,10
7,7,3,14.0,1.0,0.10823825104988145,0.9878825968324361,10
7,7,3,15.0,1.0,0.14941208059824776,0.9807407121074307,10
7,7,4,1.0,1.0,0.22454568023969343,0.8802579796626611,10
7,7,4,2.0,1.0,0.21234247245964122,0.8933589934600983,10
7,7,4,3.0,1.0,0.1868166671255373,0.9233253076296144,10
7,7,4,4.0,1.0,0.15491738548718945,0.9504423351072813,10
7,7,4,5.0,1.0,0.13732439917217826,0.9654432210314623,10
7,7,4,6.0,1.0,0.11766601007707923,0.9761521262872904,10
7,7,4,7.0,1.0,0.09582491900227225,0.9850341524356138,10
7,7,4,8.0,1.0,0.09048600352695248,0.9870463443043626,10
7,7,4,9.0,1.0,0.08361629786902341,0.9888126529159954,10
7,7,4,10.0,1.0,0.08568562698714147,0.9879863438987214,10
7,7,4,11.0,1.0,0.08329440227913551,0.9899086856613797,10
7,7,4,12.0,1.0,0.07964581130536734,0.9907789926535631,10
7,7,4,13.0,1.0,0.09396295386764132,0.9897129051980753,10
7,7,4,14.0,1.0,0.0839444658683233,0.992029092924805,10
7,7,4,15.0,1.0,0.07407067535564388,0.9928853093793816,10
7,7,5,1.0,1.0,0.20348487725064884,0.8970922687644545,10
7,7,5,2.0,1.0,0.18925244701416474,0.911242790603019,10
7,7,5,3.0,1.0,0.1609693561538608,0.9389699653625196,10
7,7,5,4.0,1.0,0.1371410800485519,0.9587349404139316,10
7,7,5,5.0,1.0,0.12092314717662093,0.9714357071391223,10
7,7,5,6.0,1.0,0.1102680435973458,0.9772613184092585,10
7,7,5,7.0,1.0,0.08451541299458058,0.9872964860156651,10
7,7,5,8.0,1.0,0.09125173346543416,0.9857644552889637,10
7,7,5,9.0,1.0,0.07120888871763383,0.9910557958519611,10
7,7,5,10.0,1.0,0.0798600761888943,0.9894932425325762,10
7,7,5,11.0,1.0,0.0804188424668109,0.989620657706776,10
7,7,5,12.0,1.0,0.06630582982522626,0.9930141308404019,10
7,7,5,13.0,1.0,0.08175505493113291,0.9911906356985005,10
7,7,5,14.0,1.0,0.08180120358538857,0.9914110810507498,10
7,7,5,15.0,1.0,0.06268136491540247,0.9942294782583269,10
