L,N,nmax,W,slope_vs_U,intercept,r2,n_U,mean_positive_step_fraction,monotone_decreasing_strict
7,7,2,1.0,-0.0230640776430767,0.8820653618084163,0.9358776245028517,10,0.0,1
7,7,2,2.0,-0.028822690647846674,0.8812027384726597,0.9430479049195098,10,0.0,1
7,7,2,3.0,-0.03469180823682609,0.8653611571208643,0.9535459270018749,10,0.0,1
7,7,2,4.0,-0.03824201591474382,0.8295574550558766,0.9610507618609668,10,0.0,1
7,7,2,5.0,-0.03721833959466905,0.7738854565632446,0.972405430917144,10,0.0,1
7,7,2,6.0,-0.035227475758721184,0.7140375329123843,0.9705783048618958,10,0.0,1
7,7,2,7.0,-0.03198081279139748,0.654337497361413,0.9715103836536645,10,0.1111111111111111,0
7,7,2,8.0,-0.02818726819745406,0.5997995685627989,0.9587927042916912,10,0.1111111111111111,0
7,7,2,9.0,-0.023538275871434363,0.5410603540381669,0.954897366326927,10,0.1111111111111111,0
7,7,2,10.0,-0.020729600622101607,0.4992600463159091,0.9427175630783267,10,0.2222222222222222,0
7,7,2,11.0,-0.01788273037475082,0.4599894135614033,0.9553957014168458,10,0.0,1
7,7,2,12.0,-0.015397222405099362,0.42577951512183687,0.9429797425958836,10,0.2222222222222222,0
7,7,2,13.0,-0.012038915768843656,0.3865087945678673,0.9377850132907233,10,0.1111111111111111,0
7,7,2,14.0,-0.01025350037696446,0.3595769805696342,0.9223178888035062,10,0.1111111111111111,0
7,7,2,15.0,-0.009595613463781813,0.341599319266257,0.969182609631987,10,0.0,1
7,7,3,1.0,-0.0412286981427583,0.8982059246261334,0.9463812335444006,10,0.0,1
7,7,3,2.0,-0.052457069305563236,0.8909977934336363,0.9235713931950968,10,0.0,1
7,7,3,3.0,-0.058935590951904725,0.8671846225779167,0.9172338554359878,10,0.0,1
7,7,3,4.0,-0.060881519021028715,0.8303797444286348,0.9290354397531276,10,0.0,1
7,7,3,5.0,-0.059167675730849675,0.7829977028156083,0.9406272984986835,10,0.0,1
