L,N,nmax,W,U_for_chi,nearest_U,chi_U,q_eff2
7,7,2,1.0,2.0,2.0,0.024131344958326972,0.4755244755244755
7,7,2,2.0,2.0,2.0,0.02503729038792807,0.4755244755244755
7,7,2,3.0,2.0,2.0,0.02364223162661705,0.4755244755244755
7,7,2,4.0,2.0,2.0,0.019649160350194927,0.4755244755244755
7,7,2,5.0,2.0,2.0,0.018794297853720998,0.4755244755244755
7,7,2,6.0,2.0,2.0,0.011593014340680052,0.4755244755244755
7,7,2,7.0,2.0,2.0,0.008722350793159972,0.4755244755244755
7,7,2,8.0,2.0,2.0,0.003411971996091001,0.4755244755244755
7,7,2,9.0,2.0,2.0,0.0025549456604659904,0.4755244755244755
7,7,2,10.0,2.0,2.0,-0.002794707163141036,0.4755244755244755
7,7,2,11.0,2.0,2.0,0.0035212628393940237,0.4755244755244755
7,7,2,12.0,2.0,2.0,0.006468279386225018,0.4755244755244755
7,7,2,13.0,2.0,2.0,0.00178783954332698,0.4755244755244755
7,7,2,14.0,2.0,2.0,-0.0012829514753734672,0.4755244755244755
7,7,2,15.0,2.0,2.0,0.0065242944424572236,0.4755244755244755
7,7,3,1.0,2.0,2.0,0.05183355860306804,1.3669724770642202
7,7,3,2.0,2.0,2.0,0.061101743648665,1.3669724770642202
7,7,3,3.0,2.0,2.0,0.06795266678530998,1.3669724770642202
7,7,3,4.0,2.0,2.0,0.06500588219006603,1.3669724770642202
7,7,3,5.0,2.0,2.0,0.05521062006682709,1.3669724770642202
7,7,3,6.0,2.0,2.0,0.040473994953171,1.3669724770642202
7,7,3,7.0,2.0,2.0,0.036640732228092,1.3669724770642202
7,7,3,8.0,2.0,2.0,0.03261885500298095,1.3669724770642202
7,7,3,9.0,2.0,2.0,0.01853593420694899,1.3669724770642202
7,7,3,10.0,2.0,2.0,0.018792232422692984,1.3669724770642202
7,7,3,11.0,2.0,2.0,0.013397668095527004,1.3669724770642202
7,7,3,12.0,2.0,2.0,0.015737737055951023,1.3669724770642202
7,7,3,13.0,2.0,2.0,0.006984652305248001,1.3669724770642202
7,7,3,14.0,2.0,2.0,0.005716676170684304,1.3669724770642202
7,7,3,15.0,2.0,2.0,-3.121822460591672e-05,1.3669724770642202
7,7,4,1.0,2.0,2.0,0.09758886893994706,2.396899224806202
7,7,4,2.0,2.0,2.0,0.10918029389738998,2.396899224806202
7,7,4,3.0,2.0,2.0,0.11392018900522705,2.396899224806202
7,7,4,4.0,2.0,2.0,0.10687539769698806,2.396899224806202
7,7,4,5.0,2.0,2.0,0.0923914316032281,2.396899224806202
7,7,4,6.0,2.0,2.0,0.07529571483263897,2.396899224806202
7,7,4,7.0,2.0,2.0,0.06727502940935098,2.396899224806202
7,7,4,8.0,2.0,2.0,0.052519929975897967,2.396899224806202
7,7,4,9.0,2.0,2.0,0.042240126078298024,2.396899224806202
7,7,4,10.0,2.0,2.0,0.02976096147425694,2.396899224806202
7,7,4,11.0,2.0,2.0,0.026046674277432985,2.396899224806202
7,7,4,12.0,2.0,2.0,0.02125809873085102,2.396899224806202
7,7,4,13.0,2.0,2.0,0.017313321328963016,2.396899224806202
7,7,4,14.0,2.0,2.0,0.01650043372994503,2.396899224806202
7,7,4,15.0,2.0,2.0,0.013748911321872476,2.396899224806202
7,7,5,1.0,2.0,2.0,0.11236526921188694,3.3186206896551727
7,7,5,2.0,2.0,2.0,0.12558602820701098,3.3186206896551727
7,7,5,3.0,2.0,2.0,0.13065402267142306,3.3186206896551727
7,7,5,4.0,2.0,2.0,0.12232477977481299,3.3186206896551727
7,7,5,5.0,2.0,2.0,0.10662308497003398,3.3186206896551727
7,7,5,6.0,2.0,2.0,0.08651298980727495,3.3186206896551727
7,7,5,7.0,2.0,2.0,0.07947528394366898,3.3186206896551727
7,7,5,8.0,2.0,2.0,0.06020953264718806,3.3186206896551727
7,7,5,9.0,2.0,2.0,0.055134280581443984,3.3186206896551727
7,7,5,10.0,2.0,2.0,0.040324862200566,3.3186206896551727
7,7,5,11.0,2.0,2.0,0.03220115495658002,3.3186206896551727
7,7,5,12.0,2.0,2.0,0.032365549715132,3.3186206896551727
7,7,5,13.0,2.0,2.0,0.023642160136583018,3.3186206896551727
7,7,5,14.0,2.0,2.0,0.019006433420914015,3.3186206896551727
7,7,5,15.0,2.0,2.0,0.018140419016763,3.3186206896551727
