L,nmax,U,W,N0,A,B,n_N
7,3,1.0,1.0,7.0,0.8818917866841709,0.007831580425498651,5
7,3,1.0,2.0,7.0,0.870827659034194,0.010182504149235827,5
7,3,1.0,3.0,7.0,0.8441741467365735,0.01627261821246582,5
7,3,1.0,4.0,7.0,0.7972086465176249,0.0257041668286516,5
7,3,1.0,5.0,7.0,0.7421695788241093,0.031289130006733036,5
7,3,1.0,6.0,7.0,0.674645747315768,0.036650853942455375,5
7,3,1.0,7.0,7.0,0.61523019838463,0.03171121354155104,5
7,3,1.0,8.0,7.0,0.5648872804802536,0.03218673366794957,5
7,3,1.0,9.0,7.0,0.5085394158306036,0.03167774703500261,5
7,3,1.0,10.0,7.0,0.46778781526699315,0.028684195623556598,5
7,3,1.0,11.0,7.0,0.43259824087326804,0.027843618497129186,5
7,3,1.0,12.0,7.0,0.40238898081251245,0.025225289223984603,5
7,3,1.0,13.0,7.0,0.3741776310730436,0.019708032483100213,5
7,3,1.0,14.0,7.0,0.35095376633020725,0.02086424809791566,5
7,3,1.0,15.0,7.0,0.32897130843751016,0.018488158193251412,5
7,3,2.0,1.0,7.0,0.8409615101037243,0.016047565083399197,5
7,3,2.0,2.0,7.0,0.826472673094514,0.018790561710288388,5
7,3,2.0,3.0,7.0,0.798713371070638,0.023479907262003597,5
7,3,2.0,4.0,7.0,0.75649384280858,0.028406557939964206,5
7,3,2.0,5.0,7.0,0.7070009764012433,0.032869375879962595,5
7,3,2.0,6.0,7.0,0.6511019756483636,0.03658330192531763,5
7,3,2.0,7.0,7.0,0.6037483265532824,0.03553732436110083,5
7,3,2.0,8.0,7.0,0.5517112832662916,0.03675863279218818,5
7,3,2.0,9.0,7.0,0.5041520953614864,0.033621569438848406,5
7,3,2.0,10.0,7.0,0.4625444556878248,0.02750052953178983,5
7,3,2.0,11.0,7.0,0.430084735158262,0.028602122477704005,5
7,3,2.0,12.0,7.0,0.3981655455373332,0.023827195627375987,5
7,3,2.0,13.0,7.0,0.37148087162583837,0.02247504628237019,5
7,3,2.0,14.0,7.0,0.35005691870232314,0.019320825103084992,5
7,3,2.0,15.0,7.0,0.3330632295005403,0.021918288807726883,5
7,3,3.0,1.0,7.0,0.7649007025858341,0.025312865894674984,5
7,3,3.0,2.0,7.0,0.7408705657111253,0.03017979698957962,5
7,3,3.0,3.0,7.0,0.7079648095649472,0.03345462095526377,5
7,3,3.0,4.0,7.0,0.6710215759160711,0.03403289675433121,5
7,3,3.0,5.0,7.0,0.6326815443922389,0.03514794137658541,5
7,3,3.0,6.0,7.0,0.5872149988448764,0.034688243091362356,5
7,3,3.0,7.0,7.0,0.5446043044231503,0.03619347363341361,5
7,3,3.0,8.0,7.0,0.505876436809666,0.03442875587400982,5
7,3,3.0,9.0,7.0,0.4708375141267144,0.03386663782406898,5
7,3,3.0,10.0,7.0,0.43702095907162997,0.028894439651887392,5
7,3,3.0,11.0,7.0,0.40751344922649724,0.0284622152559884,5
7,3,3.0,12.0,7.0,0.38035869999117716,0.025754213182035614,5
7,3,3.0,13.0,7.0,0.358699119036494,0.023946341068242206,5
7,3,3.0,14.0,7.0,0.3381650871439712,0.023437627403392402,5
7,3,3.0,15.0,7.0,0.31809720727937446,0.019222347799202753,5
7,3,4.0,1.0,7.0,0.6846294794824872,0.02259031684213737,5
7,3,4.0,2.0,7.0,0.6401144262624865,0.029753603994197818,5
7,3,4.0,3.0,7.0,0.5986189416864561,0.033013112084698204,5
7,3,4.0,4.0,7.0,0.5639673481614429,0.03319952313083859,5
7,3,4.0,5.0,7.0,0.5330618351001107,0.03280236342167421,5
7,3,4.0,6.0,7.0,0.5020501655998924,0.029948538836651394,5
7,3,4.0,7.0,7.0,0.4747706683627796,0.029808615603926426,5
7,3,4.0,8.0,7.0,0.44572591488463675,0.028277971673076996,5
7,3,4.0,9.0,7.0,0.41989176832078084,0.027045557752957396,5
7,3,4.0,10.0,7.0,0.394843611182426,0.027639686293794197,5
7,3,4.0,11.0,7.0,0.3737794062335924,0.025419282590202007,5
7,3,4.0,12.0,7.0,0.351497436231738,0.022328256361063226,5
7,3,4.0,13.0,7.0,0.33287166242358884,0.021701660054110207,5
7,3,4.0,14.0,7.0,0.31665486583614444,0.019658902763714226,5
7,3,4.0,15.0,7.0,0.2960760717643237,0.01998620316404558,5
7,3,5.0,1.0,7.0,0.631481619621334,0.013843717203618789,5
7,3,5.0,2.0,7.0,0.5613774328908991,0.021067318755591403,5
7,3,5.0,3.0,7.0,0.5084289204863316,0.024253113555995985,5
7,3,5.0,4.0,7.0,0.4708945405302768,0.025153806236367815,5
7,3,5.0,5.0,7.0,0.44287277075455,0.025244548641603193,5
7,3,5.0,6.0,7.0,0.42228012240374524,0.023796951210628026,5
7,3,5.0,7.0,7.0,0.4022718046636268,0.02265115704382701,5
7,3,5.0,8.0,7.0,0.3845798549529124,0.023321155299000796,5
7,3,5.0,9.0,7.0,0.3658183160282532,0.021595015442103006,5
7,3,5.0,10.0,7.0,0.34844489058473316,0.022043793651736233,5
7,3,5.0,11.0,7.0,0.3322132812146836,0.020943188566275195,5
7,3,5.0,12.0,7.0,0.3172459199248084,0.0189946163465048,5
7,3,5.0,13.0,7.0,0.3040135919634436,0.017396175693496208,5
7,3,5.0,14.0,7.0,0.2910874038415788,0.017506559202746186,5
7,3,5.0,15.0,7.0,0.27784401578893725,0.017865444197001402,5
7,3,6.0,1.0,7.0,0.5963600744344631,0.007740707311900796,5
7,3,6.0,2.0,7.0,0.5123232430806568,0.012297690667503969,5
7,3,6.0,3.0,7.0,0.44865870192224555,0.0156367942669824,5
7,3,6.0,4.0,7.0,0.4068286609140136,0.018617391509791414,5
7,3,6.0,5.0,7.0,0.37661157411073287,0.017675981943220388,5
7,3,6.0,6.0,7.0,0.3561461239093736,0.01724152310799759,5
7,3,6.0,7.0,7.0,0.3415056684723944,0.017172842104249585,5
7,3,6.0,8.0,7.0,0.3312004687556004,0.016713197088197806,5
7,3,6.0,9.0,7.0,0.3190117070121736,0.0161275603778418,5
7,3,6.0,10.0,7.0,0.3071189860267916,0.016956904267102602,5
7,3,6.0,11.0,7.0,0.29567962743082804,0.015768276626979792,5
7,3,6.0,12.0,7.0,0.2842392759057276,0.015353741322246211,5
7,3,6.0,13.0,7.0,0.27322931970180797,0.015386630827663594,5
7,3,6.0,14.0,7.0,0.2620328389471272,0.01549735320249479,5
7,3,6.0,15.0,7.0,0.2541953037008708,0.0138072047776166,5
7,3,7.0,1.0,7.0,0.5711034381470164,0.002808669829523791,5
