L,nmax,W,U_cross,n_U
7,3,1.0,8.171852341228988,10
7,3,2.0,9.121277266193033,10
7,3,3.0,nan,10
7,3,4.0,nan,10
7,3,5.0,nan,10
7,3,6.0,nan,10
7,3,7.0,nan,10
7,3,8.0,nan,10
7,3,9.0,nan,10
7,3,10.0,nan,10
7,3,11.0,nan,10
7,3,12.0,nan,10
7,3,13.0,nan,10
7,3,14.0,nan,10
7,3,15.0,nan,10
7,4,1.0,2.406286728131998,10
7,4,2.0,3.094789068262305,10
7,4,3.0,3.451463845909065,10
7,4,4.0,3.6800060740506475,10
7,4,5.0,3.7378684418137547,10
7,4,6.0,3.9188850553865517,10
7,4,7.0,4.358837482643743,10
7,4,8.0,4.723081493296255,10
7,4,9.0,4.7632159521475765,10
7,4,10.0,5.2397315050103614,10
7,4,11.0,5.416981022567031,10
7,4,12.0,5.6514620183832065,10
7,4,13.0,6.388961564140974,10
7,4,14.0,5.902611976819398,10
7,4,15.0,7.011821102862948,10
7,5,1.0,1.7068841304795042,10
7,5,2.0,2.1384508458253872,10
7,5,3.0,2.3587409586530055,10
7,5,4.0,2.449613265200701,10
7,5,5.0,2.8597227697204977,10
7,5,6.0,3.2127202356012905,10
7,5,7.0,3.189476554873039,10
7,5,8.0,3.3678993951735294,10
7,5,9.0,3.447655131025345,10
7,5,10.0,3.500891236614237,10
7,5,11.0,3.8022615906132673,10
7,5,12.0,3.919808156160881,10
7,5,13.0,4.229775753399638,10
7,5,14.0,4.533175222097243,10
7,5,15.0,4.6981744526217195,10
