L,N,nmax,W,Uhalf,half_level,s_infinity_estimate,n_U
7,5,3,1.0,3.1678429386284592,0.5,0.540608284638315,10
7,5,3,2.0,3.327516825393291,0.5,0.45318591979939105,10
7,5,3,3.0,3.511362634324084,0.5,0.37489831815109,10
7,5,3,4.0,3.763117858253025,0.5,0.32033047634800205,10
7,5,3,5.0,3.9442278622865743,0.5,0.282828063654621,10
7,5,3,6.0,4.348402340047049,0.5,0.253705819639509,10
7,5,3,7.0,4.519072359212324,0.5,0.232017307715526,10
7,5,3,8.0,4.660146699479187,0.5,0.21830244434254,10
7,5,3,9.0,5.068447624139705,0.5,0.20566310501775897,10
7,5,3,10.0,5.218031155164923,0.5,0.19819559391415498,10
7,5,3,11.0,5.255586732298182,0.5,0.19428200687835498,10
7,5,3,12.0,5.59155882765937,0.5,0.19069858609841,10
7,5,3,13.0,5.498522221611422,0.5,0.184412895000728,10
7,5,3,14.0,5.592556715931193,0.5,0.180168003989167,10
7,5,3,15.0,5.73463007548832,0.5,0.175655254132978,10
7,5,4,1.0,3.103016241805262,0.5,0.5245071913945869,10
7,5,4,2.0,3.161301701012911,0.5,0.428042087179898,10
7,5,4,3.0,3.277243576478971,0.5,0.356354574434765,10
7,5,4,4.0,3.512588974629675,0.5,0.301654495185937,10
7,5,4,5.0,3.742551859582314,0.5,0.26141213443603495,10
7,5,4,6.0,3.8962445991387344,0.5,0.234545615098545,10
7,5,4,7.0,4.170307364170709,0.5,0.21465845287335,10
7,5,4,8.0,4.289811562111654,0.5,0.2012373933532508,10
7,5,4,9.0,4.559140545294586,0.5,0.189601529822867,10
7,5,4,10.0,4.765502966359899,0.5,0.1823928458441616,10
7,5,4,11.0,4.889915055076334,0.5,0.176615833983649,10
7,5,4,12.0,4.9422979996100755,0.5,0.1735738530611865,10
7,5,4,13.0,4.923473861754646,0.5,0.16852635804019,10
7,5,4,14.0,5.4347102704315535,0.5,0.1664652740257643,10
7,5,4,15.0,5.40390822044886,0.5,0.15967233476170228,10
7,5,5,1.0,3.0947248881252416,0.5,0.5204097531267441,10
7,5,5,2.0,3.134973298875502,0.5,0.426124373126141,10
7,5,5,3.0,3.2729634909334044,0.5,0.345930239205554,10
7,5,5,4.0,3.4659249688847145,0.5,0.298041485587918,10
7,5,5,5.0,3.6253956145530153,0.5,0.25786999418761003,10
7,5,5,6.0,3.9039450041088624,0.5,0.232322855793333,10
7,5,5,7.0,4.16025048408897,0.5,0.211188893288548,10
7,5,5,8.0,4.355664070783275,0.5,0.19754318463416298,10
7,5,5,9.0,4.5703156050076625,0.5,0.1883933313902782,10
7,5,5,10.0,4.74066507211608,0.5,0.1818386431850697,10
7,5,5,11.0,4.836776236849464,0.5,0.1757658158106589,10
7,5,5,12.0,4.818572023141828,0.5,0.172177745220165,10
7,5,5,13.0,4.983252061301618,0.5,0.166102934683037,10
7,5,5,14.0,5.3282877540609785,0.5,0.16404196758569067,10
7,5,5,15.0,5.426446018296264,0.5,0.15811760670644578,10
7,6,3,1.0,3.39316355651803,0.5,0.511106916795385,10
7,6,3,2.0,3.5112974971073707,0.5,0.42754500625929404,10
7,6,3,3.0,3.645681817607012,0.5,0.355286363547765,10
7,6,3,4.0,3.826707956388104,0.5,0.303961070497347,10
7,6,3,5.0,4.045324181391147,0.5,0.26817136814684694,10
7,6,3,6.0,4.3078772187251495,0.5,0.242616996275963,10
7,6,3,7.0,4.567453700183646,0.5,0.224634072255091,10
7,6,3,8.0,4.805184733373481,0.5,0.214626683435226,10
7,6,3,9.0,4.982461660088469,0.5,0.200674038828001,10
7,6,3,10.0,5.171242969389776,0.5,0.19339438061353703,10
7,6,3,11.0,5.4560144941547115,0.5,0.19209496525180902,10
7,6,3,12.0,5.326285884402854,0.5,0.18899124579506002,10
7,6,3,13.0,5.497919327284814,0.5,0.18428005879568599,10
7,6,3,14.0,5.4788546905873385,0.5,0.181876792258149,10
7,6,3,15.0,5.637673942756353,0.5,0.17825481823981298,10
7,6,4,1.0,3.354344131108956,0.5,0.459334105189099,10
7,6,4,2.0,3.328701111313493,0.5,0.374173758523911,10
7,6,4,3.0,3.3422044507716016,0.5,0.310349259388475,10
7,6,4,4.0,3.476186156980796,0.5,0.2668013183907201,10
7,6,4,5.0,3.64292523212722,0.5,0.233595919200347,10
7,6,4,6.0,3.8795832809736526,0.5,0.21069198352416801,10
7,6,4,7.0,4.0677980763028865,0.5,0.19583076160426902,10
7,6,4,8.0,4.299252239497015,0.5,0.18249114786103102,10
7,6,4,9.0,4.416078583161403,0.5,0.17684815074509497,10
7,6,4,10.0,4.496962287053118,0.5,0.1697201682824248,10
7,6,4,11.0,4.783022926287355,0.5,0.166399664176288,10
7,6,4,12.0,4.63561725051391,0.5,0.1644272577556282,10
7,6,4,13.0,4.835242520476514,0.5,0.16177055262285578,10
7,6,4,14.0,5.236886507225859,0.5,0.15828646139406188,10
7,6,4,15.0,5.178990542682386,0.5,0.15508058734472208,10
7,6,5,1.0,3.309087041286403,0.5,0.446954657038361,10
7,6,5,2.0,3.2326415795046297,0.5,0.363363077030033,10
7,6,5,3.0,3.2529800569221754,0.5,0.30195775784643997,10
7,6,5,4.0,3.3716327363997567,0.5,0.25526908429415296,10
7,6,5,5.0,3.46693137293211,0.5,0.22620677655924504,10
7,6,5,6.0,3.730514652509737,0.5,0.204595451887577,10
7,6,5,7.0,3.8912633819229843,0.5,0.18738005106437228,10
7,6,5,8.0,4.044736832268024,0.5,0.1771360613500281,10
7,6,5,9.0,4.224994775608747,0.5,0.1689929779217495,10
7,6,5,10.0,4.374788534347837,0.5,0.1661403513456759,10
7,6,5,11.0,4.491979044920458,0.5,0.1628497161362895,10
7,6,5,12.0,4.671959765643334,0.5,0.15980680986424,10
7,6,5,13.0,4.775726462686481,0.5,0.15528604516797911,10
7,6,5,14.0,4.794691810706632,0.5,0.15133289576787082,10
7,6,5,15.0,4.89492407486223,0.5,0.14927796857943681,10
7,7,3,1.0,3.9140806502204866,0.5,0.535590579111197,10
7,7,3,2.0,3.94745565159848,0.5,0.4395646307574,10
7,7,3,3.0,3.924918896606366,0.5,0.363716735261672,10
7,7,3,4.0,4.074017700161823,0.5,0.306680644911852,10
7,7,3,5.0,4.2292168679715125,0.5,0.269218236715577,10
7,7,3,6.0,4.457105347720038,0.5,0.24689893821437903,10
7,7,3,7.0,4.673736296582973,0.5,0.223056493227488,10
7,7,3,8.0,4.804735573179279,0.5,0.21226878992655301,10
7,7,3,9.0,5.154203290240699,0.5,0.20554382096649101,10
7,7,3,10.0,5.239708664180245,0.5,0.19847390274123,10
7,7,3,11.0,5.3432434121753,0.5,0.19654733504429,10
7,7,3,12.0,5.434020086796694,0.5,0.194580671942503,10
7,7,3,13.0,5.645216811367477,0.5,0.18900657991382802,10
7,7,3,14.0,5.71271590917458,0.5,0.18799084879336403,10
7,7,3,15.0,6.012982476838136,0.5,0.183277637667297,10
7,7,4,1.0,3.3062587653287077,0.5,0.43606798245533396,10
7,7,4,2.0,3.3439743510257727,0.5,0.35663744732576197,10
7,7,4,3.0,3.377311038992301,0.5,0.29541518189265403,10
7,7,4,4.0,3.461465999176046,0.5,0.257194995581858,10
7,7,4,5.0,3.613959654554904,0.5,0.22554042768065002,10
7,7,4,6.0,3.766474748597389,0.5,0.203353033956987,10
7,7,4,7.0,3.9067372883220983,0.5,0.18834118411936498,10
7,7,4,8.0,4.149811251840271,0.5,0.1768933960346036,10
7,7,4,9.0,4.333713582587208,0.5,0.1706042456261228,10
7,7,4,10.0,4.532152427407331,0.5,0.16692174753384298,10
7,7,4,11.0,4.663620139024985,0.5,0.1634124220921041,10
7,7,4,12.0,4.742452127555874,0.5,0.15942890923116948,10
7,7,4,13.0,4.914846207477241,0.5,0.15868828566112403,10
7,7,4,14.0,5.031349984950223,0.5,0.15457300176307082,10
7,7,4,15.0,5.133405531376672,0.5,0.1520373786661911,10
7,7,5,1.0,3.066984408538677,0.5,0.414826491258491,10
7,7,5,2.0,3.103605516546723,0.5,0.33968874873823296,10
7,7,5,3.0,3.1308526548421622,0.5,0.28372111631587704,10
7,7,5,4.0,3.2366310783657855,0.5,0.243454100563315,10
7,7,5,5.0,3.3991170288888037,0.5,0.211539599552028,10
7,7,5,6.0,3.5799219295524534,0.5,0.19311037659236002,10
7,7,5,7.0,3.6288174401143714,0.5,0.176311813389902,10
7,7,5,8.0,3.8983203475565253,0.5,0.1663629341170895,10
7,7,5,9.0,3.9818356851399175,0.5,0.1574676150719225,10
7,7,5,10.0,4.149752541389809,0.5,0.1540578080855554,10
7,7,5,11.0,4.355094410381801,0.5,0.1513769882924795,10
7,7,5,12.0,4.399164315177882,0.5,0.1505382573654186,10
7,7,5,13.0,4.5508595827578695,0.5,0.14530419056477178,10
7,7,5,14.0,4.71293935980264,0.5,0.14442393008726867,10
7,7,5,15.0,4.629013731724437,0.5,0.14172482584307072,10
7,8,3,1.0,4.176193909287281,0.5,0.517089911408914,10
7,8,3,2.0,4.1792340722038075,0.5,0.440716519162128,10
7,8,3,3.0,4.1916347321681044,0.5,0.37415713269428497,10
7,8,3,4.0,4.229297133273863,0.5,0.321619663847372,10
7,8,3,5.0,4.339051027931527,0.5,0.287808323080438,10
7,8,3,6.0,4.552785367941605,0.5,0.258364708485732,10
7,8,3,7.0,4.704323505759818,0.5,0.24213597542891602,10
7,8,3,8.0,4.850154220132836,0.5,0.22804009558638,10
7,8,3,9.0,5.159057427684742,0.5,0.21649499775055,10
7,8,3,10.0,5.268443761939975,0.5,0.21058163814156,10
7,8,3,11.0,5.428839508872534,0.5,0.206969184483719,10
7,8,3,12.0,5.471855817091455,0.5,0.204030216228409,10
7,8,3,13.0,5.735898789638552,0.5,0.199815674268547,10
7,8,3,14.0,5.805595095703113,0.5,0.197054454612754,10
7,8,3,15.0,5.689831177124383,0.5,0.190816672212255,10
7,9,3,1.0,4.190469846624833,0.5,0.518148009382361,10
7,9,3,2.0,4.307371314429175,0.5,0.441006507304729,10
7,9,3,3.0,4.365202458739117,0.5,0.379463554950468,10
7,9,3,4.0,4.446464383828378,0.5,0.331158277013543,10
7,9,3,5.0,4.517834442297265,0.5,0.297418746713517,10
7,9,3,6.0,4.60653127375017,0.5,0.273864801967243,10
7,9,3,7.0,4.866407768790282,0.5,0.25523249925631697,10
7,9,3,8.0,5.033291072530016,0.5,0.24400228819813097,10
7,9,3,9.0,5.193710620833787,0.5,0.22961497723597898,10
7,9,3,10.0,5.49146658525987,0.5,0.223231912239778,10
7,9,3,11.0,5.511610542941398,0.5,0.219001596943609,10
7,9,3,12.0,5.628110818721215,0.5,0.218658592860914,10
7,9,3,13.0,5.800357287279127,0.5,0.212798739814752,10
7,9,3,14.0,5.788093239043302,0.5,0.20904259865931202,10
7,9,3,15.0,6.0346633311969535,0.5,0.204592382129105,10
