L,N,nmax,q,a_q
7,5,3,-2,0.1089588377723971
7,5,3,-1,0.24213075060532685
7,5,3,0,0.324455205811138
7,5,3,1,0.24213075060532685
7,5,3,2,0.1089588377723971
7,5,4,-3,0.04395604395604396
7,5,4,-2,0.11648351648351649
7,5,4,-1,0.21978021978021978
7,5,4,0,0.30549450549450546
7,5,4,1,0.21978021978021978
7,5,4,2,0.11648351648351649
7,5,4,3,0.04395604395604396
7,5,5,-4,0.010822510822510822
7,5,5,-3,0.04329004329004329
7,5,5,-2,0.11471861471861472
7,5,5,-1,0.21645021645021645
7,5,5,0,0.3008658008658009
7,5,5,1,0.21645021645021645
7,5,5,2,0.11471861471861472
7,5,5,3,0.04329004329004329
7,5,5,4,0.010822510822510822
7,6,3,-2,0.14423076923076922
7,6,3,-1,0.30219780219780223
7,6,3,0,0.3928571428571429
7,6,3,1,0.30219780219780223
7,6,3,2,0.14423076923076922
7,6,4,-3,0.06857142857142857
7,6,4,-2,0.1657142857142857
7,6,4,-1,0.2765714285714286
7,6,4,0,0.3497142857142857
7,6,4,1,0.2765714285714286
7,6,4,2,0.1657142857142857
7,6,4,3,0.06857142857142857
7,6,5,-4,0.027262813522355506
7,6,5,-3,0.07633587786259542
7,6,5,-2,0.15812431842966193
7,6,5,-1,0.2639040348964013
7,6,5,0,0.3391494002181025
7,6,5,1,0.2639040348964013
7,6,5,2,0.15812431842966193
7,6,5,3,0.07633587786259542
7,6,5,4,0.027262813522355506
7,7,3,-2,0.17287234042553193
7,7,3,-1,0.36524822695035464
7,7,3,0,0.46985815602836883
7,7,3,1,0.36524822695035464
7,7,3,2,0.17287234042553193
7,7,4,-3,0.09210526315789473
7,7,4,-2,0.21710526315789475
7,7,4,-1,0.33684210526315794
7,7,4,0,0.4052631578947368
7,7,4,1,0.33684210526315794
7,7,4,2,0.21710526315789475
7,7,4,3,0.09210526315789473
7,7,5,-4,0.04499100179964007
7,7,5,-3,0.11397720455908818
7,7,5,-2,0.2069586082783443
7,7,5,-1,0.3131373725254949
7,7,5,0,0.3815236952609478
7,7,5,1,0.3131373725254949
7,7,5,2,0.2069586082783443
7,7,5,3,0.11397720455908818
7,7,5,4,0.04499100179964007
7,8,3,-2,0.19498069498069498
7,8,3,-1,0.42471042471042475
7,8,3,0,0.5624195624195625
7,8,3,1,0.42471042471042475
7,8,3,2,0.19498069498069498
7,9,3,-2,0.21115745568300312
7,9,3,-1,0.4775808133472367
7,9,3,0,0.667361835245047
7,9,3,1,0.4775808133472367
7,9,3,2,0.21115745568300312
