L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
7,5,3,1.0,10.0,0.540608284638315,413,21,0.5054451608878003,1.0695686228131092
7,5,3,2.0,10.0,0.45318591979939105,413,21,0.5054451608878003,0.8966074954667339
7,5,3,3.0,10.0,0.37489831815109,413,21,0.5054451608878003,0.7417190768877706
7,5,3,4.0,10.0,0.32033047634800205,413,21,0.5054451608878003,0.6337591120376946
7,5,3,5.0,10.0,0.282828063654621,413,21,0.5054451608878003,0.5595623136599851
7,5,3,6.0,10.0,0.253705819639509,413,21,0.5054451608878003,0.5019452935188494
7,5,3,7.0,10.0,0.232017307715526,413,21,0.5054451608878003,0.45903557036334874
7,5,3,8.0,10.0,0.21830244434254,413,21,0.5054451608878003,0.43190134407281267
7,5,3,9.0,10.0,0.20566310501775897,413,21,0.5054451608878003,0.4068949926368223
7,5,3,10.0,10.0,0.19819559391415498,413,21,0.5054451608878003,0.39212086542886265
7,5,3,11.0,10.0,0.19428200687835498,413,21,0.5054451608878003,0.3843780135061617
7,5,3,12.0,10.0,0.19069858609841,413,21,0.5054451608878003,0.3772883803328006
7,5,3,13.0,10.0,0.184412895000728,413,21,0.5054451608878003,0.3648524296420444
7,5,3,14.0,10.0,0.180168003989167,413,21,0.5054451608878003,0.35645410804350547
7,5,3,15.0,10.0,0.175655254132978,413,21,0.5054451608878003,0.34752584004255666
7,5,4,1.0,10.0,0.5245071913945869,455,21,0.4974468117017211,1.054398538811204
7,5,4,2.0,10.0,0.428042087179898,455,21,0.4974468117017211,0.8604780995893898
7,5,4,3.0,10.0,0.356354574434765,455,21,0.4974468117017211,0.71636718952064
7,5,4,4.0,10.0,0.301654495185937,455,21,0.4974468117017211,0.6064055253545679
7,5,4,5.0,10.0,0.26141213443603495,455,21,0.4974468117017211,0.5255077091393296
7,5,4,6.0,10.0,0.234545615098545,455,21,0.4974468117017211,0.4714988810485796
7,5,4,7.0,10.0,0.21465845287335,455,21,0.4974468117017211,0.43152041147680215
7,5,4,8.0,10.0,0.2012373933532508,455,21,0.4974468117017211,0.404540522965331
7,5,4,9.0,10.0,0.189601529822867,455,21,0.4974468117017211,0.3811493517754332
7,5,4,10.0,10.0,0.1823928458441616,455,21,0.4974468117017211,0.36665798544413614
7,5,4,11.0,10.0,0.176615833983649,455,21,0.4974468117017211,0.35504465970836563
7,5,4,12.0,10.0,0.1735738530611865,455,21,0.4974468117017211,0.3489294714090253
7,5,4,13.0,10.0,0.16852635804019,455,21,0.4974468117017211,0.3387826679674082
7,5,4,14.0,10.0,0.1664652740257643,455,21,0.4974468117017211,0.3346393425586576
7,5,4,15.0,10.0,0.15967233476170228,455,21,0.4974468117017211,0.32098373334724467
7,5,5,1.0,10.0,0.5204097531267441,462,21,0.49620898674688363,1.0487713181869585
7,5,5,2.0,10.0,0.426124373126141,462,21,0.49620898674688363,0.8587598864740174
7,5,5,3.0,10.0,0.345930239205554,462,21,0.49620898674688363,0.6971462598318743
7,5,5,4.0,10.0,0.298041485587918,462,21,0.49620898674688363,0.600637016959044
7,5,5,5.0,10.0,0.25786999418761003,462,21,0.49620898674688363,0.5196802175595211
7,5,5,6.0,10.0,0.232322855793333,462,21,0.49620898674688363,0.46819558290636315
7,5,5,7.0,10.0,0.211188893288548,462,21,0.49620898674688363,0.42560473294345136
7,5,5,8.0,10.0,0.19754318463416298,462,21,0.49620898674688363,0.39810481049374835
7,5,5,9.0,10.0,0.1883933313902782,462,21,0.49620898674688363,0.37966529511158914
7,5,5,10.0,10.0,0.1818386431850697,462,21,0.49620898674688363,0.3664557636837514
7,5,5,11.0,10.0,0.1757658158106589,462,21,0.49620898674688363,0.35421731670554585
7,5,5,12.0,10.0,0.172177745220165,462,21,0.49620898674688363,0.34698635014442597
7,5,5,13.0,10.0,0.166102934683037,462,21,0.49620898674688363,0.33474390653824687
7,5,5,14.0,10.0,0.16404196758569067,462,21,0.49620898674688363,0.33059048096073385
7,5,5,15.0,10.0,0.15811760670644578,462,21,0.49620898674688363,0.31865123552690033
7,6,3,1.0,10.0,0.511106916795385,728,7,0.29526877980601135,1.7309886847203324
7,6,3,2.0,10.0,0.42754500625929404,728,7,0.29526877980601135,1.4479858200389044
7,6,3,3.0,10.0,0.355286363547765,728,7,0.29526877980601135,1.2032642387088286
7,6,3,4.0,10.0,0.303961070497347,728,7,0.29526877980601135,1.0294385701632471
7,6,3,5.0,10.0,0.26817136814684694,728,7,0.29526877980601135,0.9082279823929671
7,6,3,6.0,10.0,0.242616996275963,728,7,0.29526877980601135,0.8216818467409929
7,6,3,7.0,10.0,0.224634072255091,728,7,0.29526877980601135,0.7607782726052966
7,6,3,8.0,10.0,0.214626683435226,728,7,0.29526877980601135,0.726885800714297
7,6,3,9.0,10.0,0.200674038828001,728,7,0.29526877980601135,0.6796317543623875
7,6,3,10.0,10.0,0.19339438061353703,728,7,0.29526877980601135,0.6549774098724397
7,6,3,11.0,10.0,0.19209496525180902,728,7,0.29526877980601135,0.6505766216733564
7,6,3,12.0,10.0,0.18899124579506002,728,7,0.29526877980601135,0.6400651159910147
7,6,3,13.0,10.0,0.18428005879568599,728,7,0.29526877980601135,0.624109527992618
7,6,3,14.0,10.0,0.181876792258149,728,7,0.29526877980601135,0.6159702775811254
7,6,3,15.0,10.0,0.17825481823981298,728,7,0.29526877980601135,0.6037035759653446
7,6,4,1.0,10.0,0.459334105189099,875,7,0.2872521165080058,1.5990625613938592
7,6,4,2.0,10.0,0.374173758523911,875,7,0.2872521165080058,1.3025970463597356
7,6,4,3.0,10.0,0.310349259388475,875,7,0.2872521165080058,1.0804072156586721
7,6,4,4.0,10.0,0.2668013183907201,875,7,0.2872521165080058,0.9288054049317483
7,6,4,5.0,10.0,0.233595919200347,875,7,0.2872521165080058,0.8132086963886186
7,6,4,6.0,10.0,0.21069198352416801,875,7,0.2872521165080058,0.7334740857106825
7,6,4,7.0,10.0,0.19583076160426902,875,7,0.2872521165080058,0.681738272235885
7,6,4,8.0,10.0,0.18249114786103102,875,7,0.2872521165080058,0.6352995761336537
7,6,4,9.0,10.0,0.17684815074509497,875,7,0.2872521165080058,0.6156548223036893
7,6,4,10.0,10.0,0.1697201682824248,875,7,0.2872521165080058,0.5908404447829183
7,6,4,11.0,10.0,0.166399664176288,875,7,0.2872521165080058,0.5792808986027101
7,6,4,12.0,10.0,0.1644272577556282,875,7,0.2872521165080058,0.5724144342415857
7,6,4,13.0,10.0,0.16177055262285578,875,7,0.2872521165080058,0.5631657464857954
7,6,4,14.0,10.0,0.15828646139406188,875,7,0.2872521165080058,0.5510367106020971
7,6,4,15.0,10.0,0.15508058734472208,875,7,0.2872521165080058,0.5398762217315114
7,6,5,1.0,10.0,0.446954657038361,917,7,0.2852777436757779,1.5667351097193587
7,6,5,2.0,10.0,0.363363077030033,917,7,0.2852777436757779,1.2737168779734886
7,6,5,3.0,10.0,0.30195775784643997,917,7,0.2852777436757779,1.0584693848028297
7,6,5,4.0,10.0,0.25526908429415296,917,7,0.2852777436757779,0.8948089710926409
7,6,5,5.0,10.0,0.22620677655924504,917,7,0.2852777436757779,0.7929352414408191
7,6,5,6.0,10.0,0.204595451887577,917,7,0.2852777436757779,0.7171798586576825
7,6,5,7.0,10.0,0.18738005106437228,917,7,0.2852777436757779,0.6568337531347426
7,6,5,8.0,10.0,0.1771360613500281,917,7,0.2852777436757779,0.6209249241376
7,6,5,9.0,10.0,0.1689929779217495,917,7,0.2852777436757779,0.5923805192241437
7,6,5,10.0,10.0,0.1661403513456759,917,7,0.2852777436757779,0.5823810480445215
7,6,5,11.0,10.0,0.1628497161362895,917,7,0.2852777436757779,0.5708462007515401
7,6,5,12.0,10.0,0.15980680986424,917,7,0.2852777436757779,0.5601797315316075
7,6,5,13.0,10.0,0.15528604516797911,917,7,0.2852777436757779,0.5443328426786208
7,6,5,14.0,10.0,0.15133289576787082,917,7,0.2852777436757779,0.5304756474092936
7,6,5,15.0,10.0,0.14927796857943681,917,7,0.2852777436757779,0.523272396423232
7,7,3,1.0,10.0,0.535590579111197,1128,1,0.0,nan
7,7,3,2.0,10.0,0.4395646307574,1128,1,0.0,nan
7,7,3,3.0,10.0,0.363716735261672,1128,1,0.0,nan
7,7,3,4.0,10.0,0.306680644911852,1128,1,0.0,nan
7,7,3,5.0,10.0,0.269218236715577,1128,1,0.0,nan
7,7,3,6.0,10.0,0.24689893821437903,1128,1,0.0,nan
7,7,3,7.0,10.0,0.223056493227488,1128,1,0.0,nan
7,7,3,8.0,10.0,0.21226878992655301,1128,1,0.0,nan
7,7,3,9.0,10.0,0.20554382096649101,1128,1,0.0,nan
7,7,3,10.0,10.0,0.19847390274123,1128,1,0.0,nan
7,7,3,11.0,10.0,0.19654733504429,1128,1,0.0,nan
7,7,3,12.0,10.0,0.194580671942503,1128,1,0.0,nan
7,7,3,13.0,10.0,0.18900657991382802,1128,1,0.0,nan
7,7,3,14.0,10.0,0.18799084879336403,1128,1,0.0,nan
7,7,3,15.0,10.0,0.183277637667297,1128,1,0.0,nan
7,7,4,1.0,10.0,0.43606798245533396,1520,1,0.0,nan
7,7,4,2.0,10.0,0.35663744732576197,1520,1,0.0,nan
7,7,4,3.0,10.0,0.29541518189265403,1520,1,0.0,nan
7,7,4,4.0,10.0,0.257194995581858,1520,1,0.0,nan
7,7,4,5.0,10.0,0.22554042768065002,1520,1,0.0,nan
7,7,4,6.0,10.0,0.203353033956987,1520,1,0.0,nan
7,7,4,7.0,10.0,0.18834118411936498,1520,1,0.0,nan
7,7,4,8.0,10.0,0.1768933960346036,1520,1,0.0,nan
7,7,4,9.0,10.0,0.1706042456261228,1520,1,0.0,nan
7,7,4,10.0,10.0,0.16692174753384298,1520,1,0.0,nan
7,7,4,11.0,10.0,0.1634124220921041,1520,1,0.0,nan
7,7,4,12.0,10.0,0.15942890923116948,1520,1,0.0,nan
7,7,4,13.0,10.0,0.15868828566112403,1520,1,0.0,nan
7,7,4,14.0,10.0,0.15457300176307082,1520,1,0.0,nan
7,7,4,15.0,10.0,0.1520373786661911,1520,1,0.0,nan
