L,N,nmax,U,W,gamma,kappa,S2_model_over_lnD,data_entropy,data_lnPR_over_lnD_available
7,5,3,1.0,1.0,1.0,-0.0,1.0,0.8628381360525139,False
7,5,3,2.0,1.0,1.0,0.9520591290316943,0.8908445328468796,0.803836956032044,False
7,5,3,3.0,1.0,1.0,1.682872674353673,0.7672161012154165,0.71340422522458,False
7,5,3,4.0,1.0,1.0,2.2326291627229398,0.6843302847996814,0.6438093112257081,False
7,5,3,5.0,1.0,1.0,2.6676210792637964,0.6322713743808391,0.609584962512894,False
7,5,3,6.0,1.0,1.0,3.0262879294363256,0.598953159463152,0.5868910214623261,False
7,5,3,7.0,1.0,1.0,3.331041752686123,0.5767947000278902,0.57224336400761,False
7,5,3,8.0,1.0,1.0,3.5958249506401048,0.5614750797483051,0.5564558033136979,False
7,5,3,9.0,1.0,1.0,3.8298386609696116,0.5505098378570322,0.545536466359924,False
7,5,3,10.0,1.0,1.0,4.039454578306775,0.5424224470832911,0.535680102916706,False
7,5,3,1.0,2.0,1.0,-0.0,1.0,0.847038567869958,False
7,5,3,2.0,2.0,1.0,0.7986910878274159,0.9158398758979388,0.783817716170666,False
7,5,3,3.0,2.0,1.0,1.592562424506303,0.782182255659909,0.6807727522994059,False
7,5,3,4.0,2.0,1.0,2.196561514780642,0.6892251697093194,0.587157688621644,False
7,5,3,5.0,2.0,1.0,2.6604611599738646,0.6330229418229901,0.529650346461754,False
7,5,3,6.0,2.0,1.0,3.0354603151592987,0.5982080554192425,0.49809006720506604,False
7,5,3,7.0,2.0,1.0,3.3502150465796423,0.5755702365191462,0.480017170564982,False
7,5,3,8.0,2.0,1.0,3.6215377087157514,0.5601598311631741,0.462968189186936,False
7,5,3,9.0,2.0,1.0,3.8600533481348505,0.5492495565259773,0.45740797702192004,False
7,5,3,10.0,2.0,1.0,4.072897548720749,0.5412663930309276,0.44896386257686205,False
7,5,3,1.0,3.0,1.0,-0.0,1.0,0.80644509938984,False
7,5,3,2.0,3.0,1.0,0.5850314529640364,0.9484856734274891,0.748771666568402,False
7,5,3,3.0,3.0,1.0,1.2957188727135476,0.832610298877215,0.6414459691466721,False
7,5,3,4.0,3.0,1.0,1.9913542968807396,0.7186470140191389,0.542153887621552,False
7,5,3,5.0,3.0,1.0,2.517842163563995,0.6487255418356681,0.47190336041008,False
7,5,3,6.0,3.0,1.0,2.9263792201772336,0.6074036110484436,0.431011852707604,False
7,5,3,7.0,3.0,1.0,3.2606148430835966,0.5814573774499895,0.4069729191142,False
7,5,3,8.0,3.0,1.0,3.544211949418523,0.5642030222816027,0.390402827717326,False
7,5,3,9.0,3.0,1.0,3.790962665835756,0.5521812382517103,0.382220509394826,False
7,5,3,10.0,3.0,1.0,4.009604697673684,0.5434840452820353,0.36757612690735403,False
7,5,3,1.0,4.0,1.0,-0.0,1.0,0.738269549386588,False
7,5,3,2.0,4.0,1.0,0.44062115220155573,0.9680969253191182,0.698049518570538,False
7,5,3,3.0,4.0,1.0,0.9653083563951487,0.8886444265570417,0.604532202465346,False
7,5,3,4.0,4.0,1.0,1.6220109986600992,0.777273792159204,0.5059469200159521,False
7,5,3,5.0,4.0,1.0,2.252439776469289,0.6816783577211775,0.43358205692263196,False
7,5,3,6.0,4.0,1.0,2.726410687622432,0.6262316926758915,0.38447024313336,False
7,5,3,7.0,4.0,1.0,3.0959336253047263,0.5934217359515374,0.35535623447460796,False
7,5,3,8.0,4.0,1.0,3.400391150815618,0.5724543726156227,0.337609526405064,False
7,5,3,9.0,4.0,1.0,3.660530597677772,0.5582193712674424,0.325860589039734,False
7,5,3,10.0,4.0,1.0,3.888311210950699,0.5481008251474058,0.31480036365627,False
7,5,3,1.0,5.0,1.0,-0.0,1.0,0.677081003487792,False
7,5,3,2.0,5.0,1.0,0.3315811084218819,0.9807761821518401,0.636872772799926,False
7,5,3,3.0,5.0,1.0,0.7557139617482339,0.9226511540410186,0.562918413162976,False
7,5,3,4.0,5.0,1.0,1.2367358643179203,0.8427086955523182,0.47505415612775004,False
7,5,3,5.0,5.0,1.0,1.856514462632207,0.7393136134742679,0.40185449418375196,False
7,5,3,6.0,5.0,1.0,2.4402738363634033,0.6578553778221518,0.35224995957017,False
7,5,3,7.0,5.0,1.0,2.8760359308242363,0.6118989581110955,0.320793408190788,False
7,5,3,8.0,5.0,1.0,3.216377301018953,0.5845222120121377,0.302575404188036,False
7,5,3,9.0,5.0,1.0,3.4979792886460803,0.5667489635326189,0.286141497956618,False
7,5,3,10.0,5.0,1.0,3.7397107204303333,0.5544730280382774,0.279514629352624,False
7,5,3,1.0,6.0,1.0,-0.0,1.0,0.598713065425866,False
7,5,3,2.0,6.0,1.0,0.25679214131273853,0.9880139803286875,0.573819174230786,False
7,5,3,3.0,6.0,1.0,0.6133428935703478,0.944363252966879,0.5194089954753861,False
7,5,3,4.0,6.0,1.0,0.9865447735302673,0.8851069598349098,0.44885369837587397,False
7,5,3,5.0,6.0,1.0,1.4460819861213214,0.806911306735318,0.383859141105884,False
7,5,3,6.0,6.0,1.0,2.0381171213381384,0.7117159716158642,0.330326090765612,False
7,5,3,7.0,6.0,1.0,2.5865516693530917,0.6409858614163328,0.29858558020015197,False
7,5,3,8.0,6.0,1.0,2.9930776175015317,0.6016937470899245,0.27198622892296,False
7,5,3,9.0,6.0,1.0,3.310642443609964,0.5781183655977246,0.26055341517922803,False
7,5,3,10.0,6.0,1.0,3.5740595441031835,0.5626110097258832,0.24685822409979,False
7,5,3,1.0,7.0,1.0,-0.0,1.0,0.551317664062438,False
7,5,3,2.0,7.0,1.0,0.2070300656872939,0.9920239064048819,0.534293429279916,False
7,5,3,3.0,7.0,1.0,0.4977567237903831,0.9606576148343468,0.475245222643656,False
7,5,3,4.0,7.0,1.0,0.8264063662267014,0.9113969149224116,0.42034876614823796,False
7,5,3,5.0,7.0,1.0,1.1700922704258345,0.8540945787899709,0.365093887420388,False
7,5,3,6.0,7.0,1.0,1.6159782848476454,0.7782772317536373,0.314767643882496,False
7,5,3,7.0,7.0,1.0,2.1860295978084054,0.690670608623704,0.28021290423858597,False
7,5,3,8.0,7.0,1.0,2.706599938518081,0.6282408408747369,0.25541697220078996,False
7,5,3,9.0,7.0,1.0,3.089907435256128,0.593888963562321,0.237773116653024,False
7,5,3,10.0,7.0,1.0,3.3891184631367084,0.5731433617618098,0.226261498778028,False
7,5,3,1.0,8.0,1.0,-0.0,1.0,0.5050140991149781,False
7,5,3,2.0,8.0,1.0,0.1725008591168457,0.9943787104361608,0.48097552750432404,False
7,5,3,3.0,8.0,1.0,0.410341236352416,0.9718356650578169,0.440216468899102,False
7,5,3,4.0,8.0,1.0,0.70490687947919,0.9305643894644664,0.39486099646965794,False
7,5,3,5.0,8.0,1.0,0.9922339279608662,0.8841570773275457,0.34456501715613,False
7,5,3,6.0,8.0,1.0,1.3231218781414174,0.827917440661261,0.30564437117018994,False
7,5,3,7.0,8.0,1.0,1.7587433183357837,0.7548664452548255,0.269255112961902,False
7,5,3,8.0,8.0,1.0,2.3107550413732616,0.6740248110563152,0.24008462290505,False
7,5,3,9.0,8.0,1.0,2.8086491626418253,0.6181717014634885,0.22464858993476802,False
7,5,3,10.0,8.0,1.0,3.1729849087539943,0.5876334672520481,0.211956298750312,False
7,5,3,1.0,9.0,1.0,-0.0,1.0,0.44603214269811997,False
7,5,3,2.0,9.0,1.0,0.14741299276252692,0.9958528103915609,0.439634895790842,False
7,5,3,3.0,9.0,1.0,0.3465542371427474,0.9791720589923403,0.405524095191446,False
7,5,3,4.0,9.0,1.0,0.5986119460955152,0.9465177213846656,0.373502281493434,False
7,5,3,5.0,9.0,1.0,0.8662388734475635,0.9049494387569619,0.32823036551406604,False
7,5,3,6.0,9.0,1.0,1.1307890346425074,0.8607870468578925,0.293419198785134,False
7,5,3,7.0,9.0,1.0,1.4544945713528779,0.8054799722668745,0.259526020886678,False
7,5,3,8.0,9.0,1.0,1.8817571541930174,0.7353719378487047,0.233350741019606,False
7,5,3,9.0,9.0,1.0,2.4185861202121064,0.6604824787731315,0.21443843108886199,False
7,5,3,10.0,9.0,1.0,2.897572450780695,0.6099561020786171,0.196887778946656,False
7,5,3,1.0,10.0,1.0,-0.0,1.0,0.407175747952716,False
7,5,3,2.0,10.0,1.0,0.12846456772009188,0.9968274646979807,0.404996401179214,False
7,5,3,3.0,10.0,1.0,0.2989818471928886,0.9840964682598563,0.38219770475533604,False
7,5,3,4.0,10.0,1.0,0.5125151498980978,0.9586626693854511,0.342091869074712,False
7,5,3,5.0,10.0,1.0,0.7625927785438855,0.9215677759997681,0.3095438789694979,False
7,5,3,6.0,10.0,1.0,0.9957897247244599,0.883562930428573,0.27808870445155004,False
7,5,3,7.0,10.0,1.0,1.2508967350223936,0.8402852730734552,0.251491753178518,False
7,5,3,8.0,10.0,1.0,1.5696062187259876,0.7860255177743243,0.22709173648137,False
7,5,3,9.0,10.0,1.0,1.9897713386710174,0.7188838563183093,0.20599852336997798,False
7,5,3,10.0,10.0,1.0,2.513571308641262,0.6492173928604316,0.19039266445833197,False
7,5,3,1.0,11.0,1.0,-0.0,1.0,0.38291547359528405,False
7,5,3,2.0,11.0,1.0,0.11369583110544644,0.9975015383912461,0.372398666800702,False
7,5,3,3.0,11.0,1.0,0.2624347232664741,0.9875163465683866,0.354352106571348,False
7,5,3,4.0,11.0,1.0,0.4458017557534981,0.9674423457812665,0.329513931274098,False
7,5,3,5.0,11.0,1.0,0.6669397299920624,0.9363651576197286,0.29531012552748803,False
7,5,3,6.0,11.0,1.0,0.8925242038833743,0.9006582907600604,0.269051386545534,False
7,5,3,7.0,11.0,1.0,1.1070482168101667,0.8648186248743575,0.243545874036342,False
7,5,3,8.0,11.0,1.0,1.3572404395642919,0.822077383429859,0.219979257382298,False
7,5,3,9.0,11.0,1.0,1.6720327140667262,0.768998276383543,0.20515358716669196,False
7,5,3,10.0,11.0,1.0,2.0860177952744876,0.7047513473251714,0.183410426590018,False
7,5,3,1.0,12.0,1.0,-0.0,1.0,0.347170895382994,False
7,5,3,2.0,12.0,1.0,0.10188633442804973,0.9979852854594459,0.34851566844003,False
7,5,3,3.0,12.0,1.0,0.2335918159706952,0.9899700558558049,0.33000447400309796,False
7,5,3,4.0,12.0,1.0,0.3936006145017939,0.9738352344194384,0.31177492921733196,False
7,5,3,5.0,12.0,1.0,0.5856644171493207,0.9483943514273875,0.284087491034062,False
7,5,3,6.0,12.0,1.0,0.8027122197928733,0.9151975983940324,0.258472540187474,False
7,5,3,7.0,12.0,1.0,0.9988659654706249,0.8830486336619036,0.232947310507058,False
7,5,3,8.0,12.0,1.0,1.2057464428351548,0.8480078495101561,0.21641872892612402,False
7,5,3,9.0,12.0,1.0,1.4527675266418765,0.805773730274537,0.199093460877468,False
7,5,3,10.0,12.0,1.0,1.7642798204478056,0.7539743205438965,0.182303711319352,False
7,5,3,1.0,13.0,1.0,-0.0,1.0,0.33513547592957194,False
7,5,3,2.0,13.0,1.0,0.092241935580177,0.9983432558767913,0.32834347127638397,False
7,5,3,3.0,13.0,1.0,0.21030231957846746,0.9917819646615204,0.311843041117928,False
7,5,3,4.0,13.0,1.0,0.3519315761001531,0.9785843990683442,0.2941327557951,False
7,5,3,5.0,13.0,1.0,0.5199806459829288,0.9576430123159755,0.27327186675803,False
7,5,3,6.0,13.0,1.0,0.7165758749974556,0.9287614129476301,0.24619648133338398,False
7,5,3,7.0,13.0,1.0,0.9115070994337098,0.897542731447235,0.22523425838253,False
7,5,3,8.0,13.0,1.0,1.091802512264413,0.8674025486021694,0.20519118609936998,False
7,5,3,9.0,13.0,1.0,1.2948438558206505,0.8327601580264017,0.191518040397336,False
7,5,3,10.0,13.0,1.0,1.5395164107949006,0.7910835359785697,0.17730774960412002,False
7,5,3,1.0,14.0,1.0,-0.0,1.0,0.30747776999460574,False
7,5,3,2.0,14.0,1.0,0.08422588890531305,0.9986150575477049,0.313189169841202,False
7,5,3,3.0,14.0,1.0,0.19113137151876086,0.9931537270418614,0.294903687599808,False
7,5,3,4.0,14.0,1.0,0.31800853912104743,0.9821879914050883,0.28083496244179196,False
7,5,3,5.0,14.0,1.0,0.4667816087960079,0.9647494789966268,0.25910758677053597,False
7,5,3,6.0,14.0,1.0,0.6407845715716689,0.9402980355367886,0.233313094247352,False
7,5,3,7.0,14.0,1.0,0.8324471142894049,0.9104236790958515,0.21495427485045399,False
7,5,3,8.0,14.0,1.0,1.0017022970799552,0.8825742180669689,0.198528944955686,False
7,5,3,9.0,14.0,1.0,1.1755166481863768,0.8531694000573194,0.188121443098778,False
7,5,3,10.0,14.0,1.0,1.3761995953381823,0.818834804020811,0.172214564879556,False
7,5,3,1.0,15.0,1.0,-0.0,1.0,0.2915773254812674,False
7,5,3,2.0,15.0,1.0,0.07746342922548345,0.9988259905145163,0.291761684464182,False
7,5,3,3.0,15.0,1.0,0.17509163997536278,0.9942148937222726,0.28043476408556617,False
7,5,3,4.0,15.0,1.0,0.2899051172301435,0.9849767517089276,0.25823670887937006,False
7,5,3,5.0,15.0,1.0,0.4231001951676012,0.9702788633163971,0.245397697161256,False
7,5,3,6.0,15.0,1.0,0.5775925692281071,0.9495559256414994,0.229360500009612,False
7,5,3,7.0,15.0,1.0,0.7544165054459907,0.9228551920831709,0.208084646637736,False
7,5,3,8.0,15.0,1.0,0.9260277295059155,0.8951507225487655,0.19395581462787997,False
7,5,3,9.0,15.0,1.0,1.0814902722677195,0.8691478908189787,0.18059115796899,False
7,5,3,10.0,15.0,1.0,1.2520980555261612,0.8400796422878939,0.170719350296966,False
7,5,4,1.0,1.0,1.0,-0.0,1.0,0.8587772261102079,False
7,5,4,2.0,1.0,1.0,0.9693356193304338,0.874348077362453,0.792002933880078,False
7,5,4,3.0,1.0,1.0,1.7027968752936633,0.7518723437480573,0.698654103495926,False
7,5,4,4.0,1.0,1.0,2.253354528889388,0.6707718357628651,0.630588188639668,False
7,5,4,5.0,1.0,1.0,2.6886920093130082,0.6201092253521058,0.5955125845720699,False
7,5,4,6.0,1.0,1.0,3.0475396421022065,0.5877837022479033,0.573205106606556,False
7,5,4,7.0,1.0,1.0,3.3524000837215935,0.5663260483971011,0.5551276103561779,False
7,5,4,8.0,1.0,1.0,3.6172515141072847,0.5515094765647391,0.5412439200056081,False
7,5,4,9.0,1.0,1.0,3.8513115631343435,0.5409135108214933,0.5294110874789739,False
7,5,4,10.0,1.0,1.0,4.060960405651543,0.5331033833479355,0.5196032953102,False
7,5,4,1.0,2.0,1.0,-0.0,1.0,0.843684193769282,False
7,5,4,2.0,2.0,1.0,0.8291577460924554,0.8973752368468457,0.7636364485356301,False
7,5,4,3.0,2.0,1.0,1.624403382059594,0.7645975943089611,0.650513976097664,False
7,5,4,4.0,2.0,1.0,2.227694959260923,0.6741558198839449,0.5596852028666781,False
7,5,4,5.0,2.0,1.0,2.691110054734387,0.6198635999111206,0.50270097504625,False
7,5,4,6.0,2.0,1.0,3.06581557842246,0.5863504836841708,0.47595513524218197,False
7,5,4,7.0,2.0,1.0,3.3803847733818273,0.5646033884543806,0.45885926632464397,False
7,5,4,8.0,2.0,1.0,3.6515840057850406,0.5498184817581245,0.44120609270016403,False
7,5,4,9.0,2.0,1.0,3.8900137649289372,0.5393602562704501,0.43129764616003397,False
7,5,4,10.0,2.0,1.0,4.102795944686988,0.5317126580740807,0.424786528199762,False
7,5,4,1.0,3.0,1.0,-0.0,1.0,0.8017764393827661,False
7,5,4,2.0,3.0,1.0,0.63688589947144,0.9280357127473658,0.7206229482333281,False
7,5,4,3.0,3.0,1.0,1.3536573480308096,0.80973346987802,0.6075233201640781,False
7,5,4,4.0,3.0,1.0,2.0466994302332218,0.699216938678747,0.504877792297462,False
