L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
7,5,3,1.0,1.0,0.2080286277101281,0.8946279657410018,10
7,5,3,2.0,1.0,0.20083666275625026,0.9028481215763382,10
7,5,3,3.0,1.0,0.18517428343571515,0.927351399695832,10
7,5,3,4.0,1.0,0.17120953197070485,0.9463913675763177,10
7,5,3,5.0,1.0,0.1396877975688092,0.9678341761559729,10
7,5,3,6.0,1.0,0.1352455974643898,0.9725418481412758,10
7,5,3,7.0,1.0,0.10704354538154107,0.9845181120452545,10
7,5,3,8.0,1.0,0.08115316035250775,0.9901971015973802,10
7,5,3,9.0,1.0,0.10056296121551357,0.9863231433571008,10
7,5,3,10.0,1.0,0.09651763842744826,0.9886833179288351,10
7,5,3,11.0,1.0,0.08143343889806515,0.9905409521048383,10
7,5,3,12.0,1.0,0.10867273347390916,0.986319303940333,10
7,5,3,13.0,1.0,0.07524728607389554,0.9924145895592096,10
7,5,3,14.0,1.0,0.10187493265462506,0.9891182311706004,10
7,5,3,15.0,1.0,0.07875605698734733,0.9932652071941928,10
7,5,4,1.0,1.0,0.20353769702309008,0.898028888815658,10
7,5,4,2.0,1.0,0.18700965188356616,0.9139384600692236,10
7,5,4,3.0,1.0,0.16329397364471884,0.9386325747180322,10
7,5,4,4.0,1.0,0.1512566845130786,0.9537426463546004,10
7,5,4,5.0,1.0,0.1346139761067531,0.9676705804733954,10
7,5,4,6.0,1.0,0.11418471599721895,0.9789723817890683,10
7,5,4,7.0,1.0,0.10550438593022277,0.9824661290233421,10
7,5,4,8.0,1.0,0.08951830770401109,0.988082712115932,10
7,5,4,9.0,1.0,0.0868336183329637,0.9891676738433701,10
7,5,4,10.0,1.0,0.09526173916035283,0.9879104573800673,10
7,5,4,11.0,1.0,0.0819230355455594,0.9909396499027521,10
7,5,4,12.0,1.0,0.07708136904640438,0.9918817952839173,10
7,5,4,13.0,1.0,0.07431183563946646,0.991854958812188,10
7,5,4,14.0,1.0,0.1272678532384739,0.9816099130718299,10
7,5,4,15.0,1.0,0.1016354258149001,0.9891252814648259,10
7,5,5,1.0,1.0,0.20269920414236986,0.8992440220007719,10
7,5,5,2.0,1.0,0.18246869340446772,0.9169661203227542,10
7,5,5,3.0,1.0,0.16459009825395365,0.9395659224696407,10
7,5,5,4.0,1.0,0.1478965362788973,0.9557481510064638,10
7,5,5,5.0,1.0,0.12600255031949248,0.9712211631199131,10
7,5,5,6.0,1.0,0.1200846279153076,0.9773028014289071,10
7,5,5,7.0,1.0,0.11526063769578516,0.9808006945067174,10
7,5,5,8.0,1.0,0.10011455061984213,0.9846249822010847,10
7,5,5,9.0,1.0,0.09011116655032124,0.9875322901420825,10
7,5,5,10.0,1.0,0.1003076995081778,0.9852026805304475,10
7,5,5,11.0,1.0,0.09162773580591337,0.9885085601715218,10
7,5,5,12.0,1.0,0.07718017823628548,0.9917713601076066,10
7,5,5,13.0,1.0,0.08517798755524063,0.9902224998351136,10
7,5,5,14.0,1.0,0.09663249118192274,0.9876623365954412,10
7,5,5,15.0,1.0,0.12636031989430815,0.9815018909696186,10
7,6,3,1.0,1.0,0.23354583743910426,0.8709934535702738,10
7,6,3,2.0,1.0,0.22590225601191408,0.8828071715518531,10
7,6,3,3.0,1.0,0.20238212319925686,0.9142040284966368,10
7,6,3,4.0,1.0,0.17782785898235942,0.9413317396512935,10
7,6,3,5.0,1.0,0.1569012591175834,0.9595424295388777,10
7,6,3,6.0,1.0,0.135598711363508,0.9726570919489133,10
7,6,3,7.0,1.0,0.11656808903976137,0.9807860770949772,10
7,6,3,8.0,1.0,0.10580349629834947,0.9838889805742083,10
7,6,3,9.0,1.0,0.09672976854171286,0.9871177134013273,10
7,6,3,10.0,1.0,0.09800908743010356,0.9882331524149496,10
7,6,3,11.0,1.0,0.11180521994416734,0.9862001694467428,10
7,6,3,12.0,1.0,0.08697488179798156,0.9913151836856747,10
7,6,3,13.0,1.0,0.08121752208976997,0.9917821519566259,10
7,6,3,14.0,1.0,0.06966623130686692,0.99376475892187,10
7,6,3,15.0,1.0,0.06419340179935058,0.9943991037181136,10
7,6,4,1.0,1.0,0.22971487316283354,0.8740147099564417,10
7,6,4,2.0,1.0,0.20642485428385132,0.8976408024937016,10
7,6,4,3.0,1.0,0.17629443377252263,0.9295275005223392,10
7,6,4,4.0,1.0,0.1527470764446921,0.9522755414988125,10
7,6,4,5.0,1.0,0.1343881018046201,0.9672569787081738,10
7,6,4,6.0,1.0,0.12468073565936977,0.9747824489946681,10
7,6,4,7.0,1.0,0.10756516681786177,0.9816333470348079,10
7,6,4,8.0,1.0,0.10181982183638073,0.9843142808623292,10
7,6,4,9.0,1.0,0.08731710697843682,0.9886943932334272,10
7,6,4,10.0,1.0,0.06947030757477017,0.9921993978412702,10
7,6,4,11.0,1.0,0.09745106347175551,0.987809341294615,10
7,6,4,12.0,1.0,0.06401976600061735,0.9934367881770626,10
7,6,4,13.0,1.0,0.0740495262562613,0.9930273625190986,10
7,6,4,14.0,1.0,0.1419789781847288,0.979663485010135,10
7,6,4,15.0,1.0,0.08316718116149428,0.992302155273341,10
7,6,5,1.0,1.0,0.2240776315559919,0.8791364211206815,10
7,6,5,2.0,1.0,0.1960875503832641,0.9055614839012984,10
7,6,5,3.0,1.0,0.16676353091797455,0.9355589127809021,10
7,6,5,4.0,1.0,0.14529322893719168,0.9562527606653561,10
7,6,5,5.0,1.0,0.11781020850976577,0.9733172297059911,10
7,6,5,6.0,1.0,0.11642686811664082,0.9768964922293693,10
7,6,5,7.0,1.0,0.10192547333824963,0.9831175472125561,10
7,6,5,8.0,1.0,0.08857873282027792,0.987415003195362,10
7,6,5,9.0,1.0,0.07627615463463976,0.9900339117138951,10
7,6,5,10.0,1.0,0.07845426475669813,0.9903004463128323,10
7,6,5,11.0,1.0,0.07510501238851246,0.9906491926737782,10
7,6,5,12.0,1.0,0.0831696814743391,0.9900965453633762,10
7,6,5,13.0,1.0,0.08042166177255948,0.9907974462589089,10
7,6,5,14.0,1.0,0.07921893246493107,0.9922797217934893,10
7,6,5,15.0,1.0,0.08006577453669504,0.9922710565878298,10
7,7,3,1.0,1.0,0.2933873670204812,0.8211392898757087,10
7,7,3,2.0,1.0,0.2731594054597707,0.8429506406041296,10
7,7,3,3.0,1.0,0.23573211828904755,0.8887298509052667,10
7,7,3,4.0,1.0,0.20325672623732488,0.9251996051382299,10
7,7,3,5.0,1.0,0.17362400221041688,0.9508787320221769,10
7,7,3,6.0,1.0,0.15474237197866722,0.9647576715178108,10
7,7,3,7.0,1.0,0.1337295494319188,0.976198891788276,10
7,7,3,8.0,1.0,0.10634274686254422,0.9850749661951932,10
7,7,3,9.0,1.0,0.11475829937045282,0.9828745047309853,10
7,7,3,10.0,1.0,0.09272187083557665,0.9884721979366223,10
7,7,3,11.0,1.0,0.09848009612705859,0.9872840819814084,10
7,7,3,12.0,1.0,0.08563856271886165,0.9909850409952353,10
7,7,3,13.0,1.0,0.10533654588113568,0.98679591337908,10
