L,N,nmax,W,U_for_chi,nearest_U,chi_U,q_eff2
7,5,3,1.0,2.0,2.0,0.07471695541396695,1.3207547169811322
7,5,3,2.0,2.0,2.0,0.08313290778527604,1.3207547169811322
7,5,3,3.0,2.0,2.0,0.08249956512158396,1.3207547169811322
7,5,3,4.0,2.0,2.0,0.06686867346062098,1.3207547169811322
7,5,3,5.0,2.0,2.0,0.05708129516240801,1.3207547169811322
7,5,3,6.0,2.0,2.0,0.03965203497523995,1.3207547169811322
7,5,3,7.0,2.0,2.0,0.038036220709391,1.3207547169811322
7,5,3,8.0,2.0,2.0,0.032398815107938045,1.3207547169811322
7,5,3,9.0,2.0,2.0,0.020254023753336986,1.3207547169811322
7,5,3,10.0,2.0,2.0,0.012489021598689976,1.3207547169811322
7,5,3,11.0,2.0,2.0,0.014281683511968013,1.3207547169811322
7,5,3,12.0,2.0,2.0,0.008583210689948023,1.3207547169811322
7,5,3,13.0,2.0,2.0,0.011646217405821974,1.3207547169811322
7,5,3,14.0,2.0,2.0,0.006287041197398868,1.3207547169811322
7,5,3,15.0,2.0,2.0,0.005571280697850622,1.3207547169811322
7,5,4,1.0,2.0,2.0,0.08006156130714093,2.0288659793814436
7,5,4,2.0,2.0,2.0,0.09658510883580901,2.0288659793814436
7,5,4,3.0,2.0,2.0,0.09712655960934402,2.0288659793814436
7,5,4,4.0,2.0,2.0,0.08338230592071699,2.0288659793814436
7,5,4,5.0,2.0,2.0,0.06934585766878493,2.0288659793814436
7,5,4,6.0,2.0,2.0,0.061147597416696065,2.0288659793814436
7,5,4,7.0,2.0,2.0,0.04426254751288897,2.0288659793814436
7,5,4,8.0,2.0,2.0,0.03690930001200601,2.0288659793814436
7,5,4,9.0,2.0,2.0,0.029514157006843983,2.0288659793814436
7,5,4,10.0,2.0,2.0,0.020337259819895953,2.0288659793814436
7,5,4,11.0,2.0,2.0,0.021014976775262983,2.0288659793814436
7,5,4,12.0,2.0,2.0,0.015944816924635008,2.0288659793814436
7,5,4,13.0,2.0,2.0,0.013353052341554594,2.0288659793814436
7,5,4,14.0,2.0,2.0,0.00523876241856247,2.0288659793814436
7,5,4,15.0,2.0,2.0,0.0065818713614799185,2.0288659793814436
7,5,5,1.0,2.0,2.0,0.08091670387739397,2.311111111111111
7,5,5,2.0,2.0,2.0,0.09758523995151497,2.311111111111111
7,5,5,3.0,2.0,2.0,0.10119030930216494,2.311111111111111
7,5,5,4.0,2.0,2.0,0.08790444425207694,2.311111111111111
7,5,5,5.0,2.0,2.0,0.07770702408444496,2.311111111111111
7,5,5,6.0,2.0,2.0,0.06075581182835402,2.311111111111111
7,5,5,7.0,2.0,2.0,0.046111554717814,2.311111111111111
7,5,5,8.0,2.0,2.0,0.03430675226669899,2.311111111111111
7,5,5,9.0,2.0,2.0,0.030810038351692992,2.311111111111111
7,5,5,10.0,2.0,2.0,0.020528195551328954,2.311111111111111
7,5,5,11.0,2.0,2.0,0.02046646042351402,2.311111111111111
7,5,5,12.0,2.0,2.0,0.01860554982381299,2.311111111111111
7,5,5,13.0,2.0,2.0,0.013067617711624013,2.311111111111111
7,5,5,14.0,2.0,2.0,0.009837967290512006,2.311111111111111
7,5,5,15.0,2.0,2.0,0.0032384230831689342,2.311111111111111
7,6,3,1.0,2.0,2.0,0.07418176403677595,1.3675213675213673
7,6,3,2.0,2.0,2.0,0.08075826739840902,1.3675213675213673
7,6,3,3.0,2.0,2.0,0.08088964022330497,1.3675213675213673
7,6,3,4.0,2.0,2.0,0.07163156496498507,1.3675213675213673
7,6,3,5.0,2.0,2.0,0.057957691647921916,1.3675213675213673
7,6,3,6.0,2.0,2.0,0.047779496375458974,1.3675213675213673
7,6,3,7.0,2.0,2.0,0.03884332239968996,1.3675213675213673
7,6,3,8.0,2.0,2.0,0.027261427304155983,1.3675213675213673
7,6,3,9.0,2.0,2.0,0.019978609446363982,1.3675213675213673
7,6,3,10.0,2.0,2.0,0.018225380132829982,1.3675213675213673
7,6,3,11.0,2.0,2.0,0.010694679517831013,1.3675213675213673
7,6,3,12.0,2.0,2.0,0.011021840601557975,1.3675213675213673
7,6,3,13.0,2.0,2.0,0.011156069102307986,1.3675213675213673
7,6,3,14.0,2.0,2.0,0.011176340945815988,1.3675213675213673
7,6,3,15.0,2.0,2.0,0.009668838529800522,1.3675213675213673
7,6,4,1.0,2.0,2.0,0.08694892747306404,2.27
7,6,4,2.0,2.0,2.0,0.10291530794763404,2.27
7,6,4,3.0,2.0,2.0,0.10819165078262905,2.27
7,6,4,4.0,2.0,2.0,0.09944461593803505,2.27
7,6,4,5.0,2.0,2.0,0.08512477547011199,2.27
7,6,4,6.0,2.0,2.0,0.06729333146591399,2.27
7,6,4,7.0,2.0,2.0,0.05366096762113501,2.27
7,6,4,8.0,2.0,2.0,0.04137638423065498,2.27
7,6,4,9.0,2.0,2.0,0.036724307313555,2.27
7,6,4,10.0,2.0,2.0,0.03327749767289001,2.27
7,6,4,11.0,2.0,2.0,0.02164527584112902,2.27
7,6,4,12.0,2.0,2.0,0.022665117760716003,2.27
7,6,4,13.0,2.0,2.0,0.016521805702378017,2.27
7,6,4,14.0,2.0,2.0,0.0031191375976152014,2.27
7,6,4,15.0,2.0,2.0,0.010989297868791992,2.27
7,6,5,1.0,2.0,2.0,0.09080288994789798,2.905098039215687
7,6,5,2.0,2.0,2.0,0.110014562992435,2.905098039215687
7,6,5,3.0,2.0,2.0,0.11524349317674398,2.905098039215687
7,6,5,4.0,2.0,2.0,0.10754134539598798,2.905098039215687
7,6,5,5.0,2.0,2.0,0.098261955663621,2.905098039215687
7,6,5,6.0,2.0,2.0,0.07586002729456004,2.905098039215687
7,6,5,7.0,2.0,2.0,0.06335372829694996,2.905098039215687
7,6,5,8.0,2.0,2.0,0.05224218669587399,2.905098039215687
7,6,5,9.0,2.0,2.0,0.045030370715798046,2.905098039215687
7,6,5,10.0,2.0,2.0,0.034459945589841,2.905098039215687
7,6,5,11.0,2.0,2.0,0.027632108387767973,2.905098039215687
7,6,5,12.0,2.0,2.0,0.022669660230812017,2.905098039215687
7,6,5,13.0,2.0,2.0,0.020262988014859012,2.905098039215687
7,6,5,14.0,2.0,2.0,0.017171941510790795,2.905098039215687
7,6,5,15.0,2.0,2.0,0.013218717232555105,2.905098039215687
7,7,3,1.0,2.0,2.0,0.05183355860306804,1.3669724770642202
7,7,3,2.0,2.0,2.0,0.061101743648665,1.3669724770642202
7,7,3,3.0,2.0,2.0,0.06795266678530998,1.3669724770642202
7,7,3,4.0,2.0,2.0,0.06500588219006603,1.3669724770642202
7,7,3,5.0,2.0,2.0,0.05521062006682709,1.3669724770642202
7,7,3,6.0,2.0,2.0,0.040473994953171,1.3669724770642202
7,7,3,7.0,2.0,2.0,0.036640732228092,1.3669724770642202
7,7,3,8.0,2.0,2.0,0.03261885500298095,1.3669724770642202
7,7,3,9.0,2.0,2.0,0.01853593420694899,1.3669724770642202
7,7,3,10.0,2.0,2.0,0.018792232422692984,1.3669724770642202
7,7,3,11.0,2.0,2.0,0.013397668095527004,1.3669724770642202
7,7,3,12.0,2.0,2.0,0.015737737055951023,1.3669724770642202
7,7,3,13.0,2.0,2.0,0.006984652305248001,1.3669724770642202
7,7,3,14.0,2.0,2.0,0.005716676170684304,1.3669724770642202
7,7,3,15.0,2.0,2.0,-3.121822460591672e-05,1.3669724770642202
7,7,4,1.0,2.0,2.0,0.09758886893994706,2.396899224806202
7,7,4,2.0,2.0,2.0,0.10918029389738998,2.396899224806202
7,7,4,3.0,2.0,2.0,0.11392018900522705,2.396899224806202
7,7,4,4.0,2.0,2.0,0.10687539769698806,2.396899224806202
7,7,4,5.0,2.0,2.0,0.0923914316032281,2.396899224806202
7,7,4,6.0,2.0,2.0,0.07529571483263897,2.396899224806202
7,7,4,7.0,2.0,2.0,0.06727502940935098,2.396899224806202
7,7,4,8.0,2.0,2.0,0.052519929975897967,2.396899224806202
7,7,4,9.0,2.0,2.0,0.042240126078298024,2.396899224806202
7,7,4,10.0,2.0,2.0,0.02976096147425694,2.396899224806202
7,7,4,11.0,2.0,2.0,0.026046674277432985,2.396899224806202
7,7,4,12.0,2.0,2.0,0.02125809873085102,2.396899224806202
7,7,4,13.0,2.0,2.0,0.017313321328963016,2.396899224806202
7,7,4,14.0,2.0,2.0,0.01650043372994503,2.396899224806202
7,7,4,15.0,2.0,2.0,0.013748911321872476,2.396899224806202
7,7,5,1.0,2.0,2.0,0.11236526921188694,3.3186206896551727
7,7,5,2.0,2.0,2.0,0.12558602820701098,3.3186206896551727
7,7,5,3.0,2.0,2.0,0.13065402267142306,3.3186206896551727
7,7,5,4.0,2.0,2.0,0.12232477977481299,3.3186206896551727
7,7,5,5.0,2.0,2.0,0.10662308497003398,3.3186206896551727
7,7,5,6.0,2.0,2.0,0.08651298980727495,3.3186206896551727
7,7,5,7.0,2.0,2.0,0.07947528394366898,3.3186206896551727
7,7,5,8.0,2.0,2.0,0.06020953264718806,3.3186206896551727
7,7,5,9.0,2.0,2.0,0.055134280581443984,3.3186206896551727
7,7,5,10.0,2.0,2.0,0.040324862200566,3.3186206896551727
7,7,5,11.0,2.0,2.0,0.03220115495658002,3.3186206896551727
7,7,5,12.0,2.0,2.0,0.032365549715132,3.3186206896551727
7,7,5,13.0,2.0,2.0,0.023642160136583018,3.3186206896551727
7,7,5,14.0,2.0,2.0,0.019006433420914015,3.3186206896551727
7,7,5,15.0,2.0,2.0,0.018140419016763,3.3186206896551727
7,8,3,1.0,2.0,2.0,0.04728161686523402,1.3371428571428572
7,8,3,2.0,2.0,2.0,0.05276201018340204,1.3371428571428572
7,8,3,3.0,2.0,2.0,0.05838418484525093,1.3371428571428572
7,8,3,4.0,2.0,2.0,0.060197849518595026,1.3371428571428572
7,8,3,5.0,2.0,2.0,0.054114733281561966,1.3371428571428572
7,8,3,6.0,2.0,2.0,0.04444606916531407,1.3371428571428572
7,8,3,7.0,2.0,2.0,0.03358445577389296,1.3371428571428572
7,8,3,8.0,2.0,2.0,0.029647077033057023,1.3371428571428572
7,8,3,9.0,2.0,2.0,0.02143017069844,1.3371428571428572
7,8,3,10.0,2.0,2.0,0.012668809479834009,1.3371428571428572
7,8,3,11.0,2.0,2.0,0.01251083323573099,1.3371428571428572
7,8,3,12.0,2.0,2.0,0.013922185220562988,1.3371428571428572
7,8,3,13.0,2.0,2.0,0.0045617215677500045,1.3371428571428572
7,8,3,14.0,2.0,2.0,0.006699752490152006,1.3371428571428572
7,8,3,15.0,2.0,2.0,0.006812251888843018,1.3371428571428572
7,9,3,1.0,2.0,2.0,0.04446381532679711,1.2932177460479348
7,9,3,2.0,2.0,2.0,0.047137804291919994,1.2932177460479348
7,9,3,3.0,2.0,2.0,0.050797285953616045,1.2932177460479348
7,9,3,4.0,2.0,2.0,0.05176370636961697,1.2932177460479348
7,9,3,5.0,2.0,2.0,0.049355745920956984,1.2932177460479348
7,9,3,6.0,2.0,2.0,0.046225275708044966,1.2932177460479348
7,9,3,7.0,2.0,2.0,0.029460003792633083,1.2932177460479348
7,9,3,8.0,2.0,2.0,0.025600934728336966,1.2932177460479348
7,9,3,9.0,2.0,2.0,0.014056016154633089,1.2932177460479348
7,9,3,10.0,2.0,2.0,0.01474169685436097,1.2932177460479348
7,9,3,11.0,2.0,2.0,0.011827114755870033,1.2932177460479348
7,9,3,12.0,2.0,2.0,0.0058107284853179675,1.2932177460479348
7,9,3,13.0,2.0,2.0,0.004347619710245998,1.2932177460479348
7,9,3,14.0,2.0,2.0,0.002091887161539019,1.2932177460479348
7,9,3,15.0,2.0,2.0,0.005164100003450994,1.2932177460479348
