L,N,nmax,q_eff2,q_mean,sum_aq
7,5,3,1.3207547169811322,0.0,1.0266343825665858
7,5,4,2.0288659793814436,-2.6038735886827125e-17,1.065934065934066
7,5,5,2.311111111111111,-3.2381504884900395e-17,1.0714285714285716
7,6,3,1.3675213675213673,0.0,1.2857142857142858
7,6,4,2.27,0.0,1.3714285714285712
7,6,5,2.905098039215687,-2.99433680465079e-17,1.3904034896401307
7,7,3,1.3669724770642202,-3.59040014844374e-17,1.5460992907801419
7,7,4,2.396899224806202,6.540848827248985e-17,1.6973684210526314
7,7,5,3.3186206896551727,4.78640116047449e-17,1.7396520695860826
7,8,3,1.3371428571428572,0.0,1.8018018018018018
7,9,3,1.2932177460479348,2.7146962789789018e-17,2.0448383733055264
