L,nmax,U,W,N0,A,B,n_N
8,2,1.0,0.1,6.0,0.8744290918419928,0.008817921272845242,5
8,2,1.0,0.25,6.0,0.8782007601488587,0.008298706536532419,5
8,2,1.0,0.5,6.0,0.88008014441244,0.007483501635836243,5
8,2,1.0,0.75,6.0,0.8801467697196805,0.007196692951534201,5
8,2,1.0,1.0,6.0,0.8792286343281976,0.00726392864494918,5
8,2,1.0,2.0,6.0,0.8659673103877257,0.01021504588849138,5
8,2,1.0,3.0,6.0,0.8303848282705133,0.017430109829424188,5
8,2,1.0,4.0,6.0,0.769190807808488,0.026985646001979592,5
8,2,1.0,5.0,6.0,0.6931004612753764,0.029843687531126407,5
8,2,1.0,6.0,6.0,0.620850429724628,0.03129381690261721,5
8,2,1.0,7.0,6.0,0.5511722309744168,0.030561065209986783,5
8,2,1.0,8.0,6.0,0.49687629928954397,0.02801982937389378,5
8,2,1.0,9.0,6.0,0.4417361521380288,0.023531890706044813,5
8,2,1.0,10.0,6.0,0.40568169754231975,0.021182956885084515,5
8,2,1.0,11.0,6.0,0.37434129468109567,0.020048868128103414,5
8,2,1.0,12.0,6.0,0.34371062881592895,0.017124297749064855,5
8,2,1.0,13.0,6.0,0.32015875613103173,0.015340483787154625,5
8,2,1.0,14.0,6.0,0.29970813647715644,0.013491053194656277,5
8,2,1.0,15.0,6.0,0.2826084530815493,0.013330737226392931,5
8,2,2.0,0.1,6.0,0.8591128991584792,0.010377975350088997,5
8,2,2.0,0.25,6.0,0.8618937731912032,0.010889549012356014,5
8,2,2.0,0.5,6.0,0.8636612864720956,0.010637173353158835,5
8,2,2.0,0.75,6.0,0.8634537145550031,0.010638222534698793,5
8,2,2.0,1.0,6.0,0.8618553804966419,0.011080489470220379,5
8,2,2.0,2.0,6.0,0.8467420367600512,0.014986422014553824,5
8,2,2.0,3.0,6.0,0.8104871935401132,0.022566710366867193,5
8,2,2.0,4.0,6.0,0.7544580929645,0.030371272712130006,5
8,2,2.0,5.0,6.0,0.6895846373321648,0.034713090124736404,5
8,2,2.0,6.0,6.0,0.613717153835848,0.0317636218831854,5
8,2,2.0,7.0,6.0,0.557705665356424,0.031018652656329228,5
8,2,2.0,8.0,6.0,0.49238780306565716,0.02804866773397362,5
8,2,2.0,9.0,6.0,0.45077605320465197,0.024352425165112202,5
8,2,2.0,10.0,6.0,0.40899744801776317,0.02166303271227199,5
8,2,2.0,11.0,6.0,0.3726834100802326,0.020890608784240407,5
8,2,2.0,12.0,6.0,0.34729013591507435,0.016593102855103892,5
8,2,2.0,13.0,6.0,0.3204398838263962,0.01828489665633618,5
8,2,2.0,14.0,6.0,0.30346609215487896,0.01675342495388623,5
8,2,2.0,15.0,6.0,0.28091027260428264,0.013382776017106895,5
8,2,3.0,0.1,6.0,0.8311831167072965,0.010443279262237804,5
8,2,3.0,0.25,6.0,0.8333476882177143,0.01252748114079003,5
8,2,3.0,0.5,6.0,0.8347296429416584,0.013615668435377782,5
8,2,3.0,0.75,6.0,0.8337532365501691,0.014574557031727563,5
8,2,3.0,1.0,6.0,0.8308620548659091,0.015906694587368375,5
8,2,3.0,2.0,6.0,0.8076079095561021,0.023222039332547982,5
8,2,3.0,3.0,6.0,0.7714795757735884,0.03033244884866817,5
8,2,3.0,4.0,6.0,0.7183034948288636,0.036069749941151016,5
8,2,3.0,5.0,6.0,0.6574882593465865,0.03731084699502003,5
8,2,3.0,6.0,6.0,0.5959145076781877,0.035009213944538375,5
8,2,3.0,7.0,6.0,0.5383170598725432,0.035210672662791764,5
8,2,3.0,8.0,6.0,0.4849078835619288,0.033098999136138806,5
8,2,3.0,9.0,6.0,0.44301984144003087,0.025570789814277795,5
8,2,3.0,10.0,6.0,0.40230379453184,0.0232462596947558,5
8,2,3.0,11.0,6.0,0.37311869982327744,0.021649141228974246,5
8,2,3.0,12.0,6.0,0.34197433941920125,0.020108680918701206,5
8,2,3.0,13.0,6.0,0.31677740966514784,0.018031722739827748,5
8,2,3.0,14.0,6.0,0.2959643270379897,0.01465394297442808,5
8,2,3.0,15.0,6.0,0.2766773954248557,0.014795152626599273,5
8,2,4.0,0.1,6.0,0.8052403797411891,0.005381151733791412,5
8,2,4.0,0.25,6.0,0.8054110760725797,0.008280031397099185,5
8,2,4.0,0.5,6.0,0.8039047823824468,0.010747652822600262,5
8,2,4.0,0.75,6.0,0.7999017947278129,0.01291829463222618,5
8,2,4.0,1.0,6.0,0.7942995199435228,0.015489977706728043,5
8,2,4.0,2.0,6.0,0.7580641693088449,0.02715265894631016,5
8,2,4.0,3.0,6.0,0.7088589095468876,0.03637241036827381,5
8,2,4.0,4.0,6.0,0.6572164192124992,0.039358279132347,5
8,2,4.0,5.0,6.0,0.6033105143730833,0.039388186698954185,5
8,2,4.0,6.0,6.0,0.5553159297334236,0.03765550300938022,5
8,2,4.0,7.0,6.0,0.504930290254592,0.035623522677345,5
8,2,4.0,8.0,6.0,0.463019847556368,0.03030709034972099,5
8,2,4.0,9.0,6.0,0.42712978468949725,0.031050706867880785,5
8,2,4.0,10.0,6.0,0.38897241869823723,0.023626198371688188,5
8,2,4.0,11.0,6.0,0.35792985725219517,0.02125499350088239,5
8,2,4.0,12.0,6.0,0.3339966261613987,0.019269662836937873,5
