L,N,nmax,W,Uhalf,half_level,s_infinity_estimate,n_U
8,4,2,0.1,3.0125084984738844,0.5,0.766179748924143,10
8,4,2,0.25,3.0524442313321596,0.5,0.7549419860556341,10
8,4,2,0.5,3.0118926579065035,0.5,0.749002290826414,10
8,4,2,0.75,3.060253487131541,0.5,0.737961982347451,10
8,4,2,1.0,3.139775355765884,0.5,0.7195095513805929,10
8,4,2,2.0,3.4373120575270426,0.5,0.613047459435831,10
8,4,2,3.0,3.723243743041089,0.5,0.501049352492525,10
8,4,2,4.0,4.082921751215676,0.5,0.42137702958796797,10
8,4,2,5.0,4.385124292752334,0.5,0.361226341868482,10
8,4,2,6.0,4.924815429786052,0.5,0.31749701588799106,10
8,4,2,7.0,5.2349016234196615,0.5,0.28310153822627104,10
8,4,2,8.0,5.5038765016222175,0.5,0.259992051937738,10
8,4,2,9.0,5.888764867353301,0.5,0.24061213831325198,10
8,4,2,10.0,6.033088823552546,0.5,0.228295433607627,10
8,4,2,11.0,6.527358812893923,0.5,0.217140892303689,10
8,4,2,12.0,6.418864634128174,0.5,0.21507246437375,10
8,4,2,13.0,6.441995386311477,0.5,0.204465199492152,10
8,4,2,14.0,6.505992802504285,0.5,0.19740486667297003,10
8,4,2,15.0,6.299967843520652,0.5,0.1935795159669063,10
8,4,3,0.1,2.7548798295196755,0.5,0.7436075086208,10
8,4,3,0.25,2.6030710046752,0.5,0.732420642941235,10
8,4,3,0.5,2.5773607234128217,0.5,0.723950100341487,10
8,4,3,0.75,2.679652028093653,0.5,0.709214764516688,10
8,4,3,1.0,2.779691690149614,0.5,0.6887225381724367,10
8,4,3,2.0,2.952669063729463,0.5,0.5865576257493966,10
8,4,3,3.0,3.2403186412227623,0.5,0.4801654462071866,10
8,4,3,4.0,3.579422978033927,0.5,0.38978264959674336,10
8,4,3,5.0,3.955387468779211,0.5,0.3328068612256033,10
8,4,3,6.0,3.9710935096436466,0.5,0.2933423479611567,10
8,4,3,7.0,4.353553232775986,0.5,0.2640020403878933,10
8,4,3,8.0,4.688871453630758,0.5,0.23676175636270336,10
8,4,3,9.0,4.835379399871652,0.5,0.22046693209569668,10
8,4,3,10.0,4.904026220186366,0.5,0.20441913913807996,10
8,4,3,11.0,5.613055550292022,0.5,0.19110493841147,10
8,4,3,12.0,5.485716077205366,0.5,0.18975365841243666,10
8,4,3,13.0,5.211168163316461,0.5,0.18156057989692764,10
8,4,3,14.0,6.539363922448406,0.5,0.177722835015541,10
8,4,3,15.0,6.070716817194955,0.5,0.17082563398829967,10
8,4,4,0.1,2.804358251777597,0.5,0.7196276719250659,10
8,4,4,0.25,2.6409728166110873,0.5,0.709963184575014,10
8,4,4,0.5,2.6238294955064423,0.5,0.700996925324037,10
8,4,4,0.75,2.7221710359430142,0.5,0.68546131699455,10
8,4,4,1.0,2.7966736106072823,0.5,0.6675465331168533,10
8,4,4,2.0,3.0752154752045424,0.5,0.5577934822519267,10
8,4,4,3.0,3.261264228854182,0.5,0.46175564617437337,10
8,4,4,4.0,3.609760315819856,0.5,0.37506645693806007,10
8,4,4,5.0,3.8462140761890002,0.5,0.3258070725654733,10
8,4,4,6.0,4.184278230341712,0.5,0.2807008403907133,10
8,4,4,7.0,4.533259201932381,0.5,0.2545985662797333,10
8,4,4,8.0,4.681327645170953,0.5,0.23471421351102,10
8,4,4,9.0,4.860347701244183,0.5,0.21360172871673333,10
8,4,4,10.0,5.278985359350637,0.5,0.20083906003472668,10
8,4,4,11.0,4.908922669970625,0.5,0.19321637765326866,10
8,4,4,12.0,5.303061701843028,0.5,0.183630430866139,10
8,4,4,13.0,5.366849790884359,0.5,0.17969543270892868,10
8,4,4,14.0,6.520920135360531,0.5,0.173846672117795,10
8,4,4,15.0,5.698692511706459,0.5,0.16660919031090365,10
8,4,5,0.1,2.8017054637403573,0.5,0.719899661871725,10
8,4,5,0.25,2.6400518213265727,0.5,0.709669944733861,10
8,4,5,0.5,2.6277733660161835,0.5,0.70095524388622,10
8,4,5,0.75,2.7176290072750913,0.5,0.685925697824168,10
8,4,5,1.0,2.804491960562482,0.5,0.6652901939096101,10
8,4,5,2.0,3.003803036114857,0.5,0.56741190927978,10
8,4,5,3.0,3.3796208503190877,0.5,0.45715771723426674,10
8,4,5,4.0,3.626578604910755,0.5,0.3813475129636833,10
8,4,5,5.0,3.8528487631653396,0.5,0.3275436607718166,10
8,4,5,6.0,4.023351848081698,0.5,0.2824798807922667,10
8,4,5,7.0,4.43110891871454,0.5,0.2565819847006533,10
8,4,5,8.0,4.589555607035801,0.5,0.23095420739578335,10
8,4,5,9.0,5.012705845992142,0.5,0.21363301605629098,10
8,4,5,10.0,5.04586389294291,0.5,0.19817088520233,10
8,4,5,11.0,5.325416057764789,0.5,0.18998195808002333,10
8,4,5,12.0,5.566390408081302,0.5,0.18331560410840098,10
8,4,5,13.0,5.4752486687740705,0.5,0.17930015620268164,10
