L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
8,4,2,0.1,1.0,0.2035676738181749,0.9017649850208687,10
8,4,2,0.25,1.0,0.19962005217369883,0.9049824164335801,10
8,4,2,0.5,1.0,0.18747163577262382,0.9115016014147385,10
8,4,2,0.75,1.0,0.19000581055027865,0.9088129061383055,10
8,4,2,1.0,1.0,0.19549178352904856,0.9043770686419094,10
8,4,2,2.0,1.0,0.20214281035296386,0.9086746527593764,10
8,4,2,3.0,1.0,0.1851916336293559,0.9343415283721259,10
8,4,2,4.0,1.0,0.16424554646038664,0.9532025602255185,10
8,4,2,5.0,1.0,0.13650221233544474,0.9725137386336825,10
8,4,2,6.0,1.0,0.14558740064937967,0.9741513458450509,10
8,4,2,7.0,1.0,0.12373357711634486,0.9834962386184463,10
8,4,2,8.0,1.0,0.09479323614194214,0.988168467718605,10
8,4,2,9.0,1.0,0.09550405483838638,0.9906223998350575,10
8,4,2,10.0,1.0,0.10307439809548834,0.9876154399290646,10
8,4,2,11.0,1.0,0.12972160198305974,0.97963179489497,10
8,4,2,12.0,1.0,0.10214231264730068,0.987250246392005,10
8,4,2,13.0,1.0,0.08755230981094148,0.9873303431811096,10
8,4,2,14.0,1.0,0.1121124316140914,0.9822874173677796,10
8,4,2,15.0,1.0,0.08656048487632655,0.9878457596136466,10
8,4,3,0.1,1.0,0.15135361445916484,0.9396200774350095,10
8,4,3,0.25,1.0,0.14051884824781188,0.9501480136631646,10
8,4,3,0.5,1.0,0.13194743574206239,0.9531850792782721,10
8,4,3,0.75,1.0,0.14450921249600912,0.943812748651271,10
8,4,3,1.0,1.0,0.15719772847001548,0.9342338390549813,10
8,4,3,2.0,1.0,0.15594294715363952,0.9371788468105964,10
8,4,3,3.0,1.0,0.14313504567747765,0.9522339301226651,10
8,4,3,4.0,1.0,0.14373453800931701,0.9608421773106709,10
8,4,3,5.0,1.0,0.15186772382348346,0.9645753288402497,10
8,4,3,6.0,1.0,0.094733391099958,0.9855208170735137,10
8,4,3,7.0,1.0,0.08866018995294106,0.9882284894101444,10
8,4,3,8.0,1.0,0.09643267171727511,0.9879343631070201,10
8,4,3,9.0,1.0,0.07737141889676401,0.9923161680631698,10
8,4,3,10.0,1.0,0.03974493374816961,0.9965388696235782,10
8,4,3,11.0,1.0,0.12335514392396295,0.9833212448969416,10
8,4,3,12.0,1.0,0.1062652127496999,0.9870612138530966,10
8,4,3,13.0,1.0,0.06233125535803511,0.9942781140228358,10
8,4,3,14.0,1.0,0.26477364080854404,0.9467108510575415,10
8,4,3,15.0,1.0,0.06252786532591904,0.9854743814475784,10
8,4,4,0.1,1.0,0.15771665673357563,0.9341746851207489,10
8,4,4,0.25,1.0,0.1404441471569488,0.9471188110933513,10
8,4,4,0.5,1.0,0.1374889489251763,0.9481571594394606,10
8,4,4,0.75,1.0,0.15092283121110214,0.9387918285276726,10
8,4,4,1.0,1.0,0.15629267148214604,0.9321307337737339,10
8,4,4,2.0,1.0,0.17944890024764393,0.9268674057636574,10
8,4,4,3.0,1.0,0.149486699434625,0.9479043829195635,10
8,4,4,4.0,1.0,0.14676152588528443,0.9584371222587006,10
8,4,4,5.0,1.0,0.13733365540813694,0.9687089553250321,10
8,4,4,6.0,1.0,0.12637686810992174,0.977543150063685,10
8,4,4,7.0,1.0,0.11194614144698843,0.9832998128636662,10
8,4,4,8.0,1.0,0.08935189654411384,0.9881012383133619,10
8,4,4,9.0,1.0,0.08288447948719355,0.9879689236099555,10
8,4,4,10.0,1.0,0.14629929963531135,0.9747709861891523,10
8,4,4,11.0,1.0,0.05458427903817082,0.9920003779556028,10
8,4,4,12.0,1.0,0.07004668384570316,0.991288758511801,10
8,4,4,13.0,1.0,0.06414315449695669,0.9856688016540887,10
8,4,4,14.0,1.0,0.22427251518400101,0.9536600901425325,10
8,4,4,15.0,1.0,0.12379992018970283,0.9823171429241447,10
8,4,5,0.1,1.0,0.15760665966845877,0.9340446083914277,10
