L,N,nmax,W,slope_vs_U,intercept,r2,n_U,mean_positive_step_fraction,monotone_decreasing_strict
8,4,2,0.1,-0.008965174715371655,0.8421076312733954,0.8721307074316582,10,0.0,1
8,4,2,0.25,-0.010801305752554478,0.8463724689553642,0.8735642905646213,10,0.0,1
8,4,2,0.5,-0.011897838169196448,0.848325839566304,0.8499631269948873,10,0.0,1
8,4,2,0.75,-0.013283676143836328,0.8486442081523892,0.8496996083072429,10,0.0,1
8,4,2,1.0,-0.015349749069209691,0.8474443125426903,0.8565484088882355,10,0.0,1
8,4,2,2.0,-0.02575136078399804,0.8295071005032889,0.8794383620171112,10,0.0,1
8,4,2,3.0,-0.033659452733505776,0.7893950802020652,0.9089867365308995,10,0.0,1
8,4,2,4.0,-0.035033579650687284,0.7230785962872074,0.9304300342481292,10,0.0,1
8,4,2,5.0,-0.03350915107097704,0.6543379265799504,0.9477214143158466,10,0.0,1
8,4,2,6.0,-0.030168545708051563,0.5885485300120302,0.9604315736788176,10,0.0,1
8,4,2,7.0,-0.026613929780911618,0.527194612245396,0.9740807748377963,10,0.1111111111111111,0
8,4,2,8.0,-0.02347803449569896,0.47893748245677636,0.9749890954859857,10,0.0,1
8,4,2,9.0,-0.020441438073589092,0.4363378728437463,0.9780050372184297,10,0.1111111111111111,0
8,4,2,10.0,-0.01752982511089396,0.4015167477659622,0.969111865674777,10,0.1111111111111111,0
8,4,2,11.0,-0.014348021661324421,0.3609451772690739,0.9475464281933427,10,0.1111111111111111,0
8,4,2,12.0,-0.012235853898320758,0.3357940646506557,0.963209843104944,10,0.1111111111111111,0
8,4,2,13.0,-0.010426960937365457,0.3101067990858962,0.963605968094874,10,0.0,1
8,4,2,14.0,-0.009228650277437243,0.2907455403576561,0.9501010012271272,10,0.0,1
8,4,2,15.0,-0.007645836779181737,0.2694898321751919,0.9626863357714459,10,0.0,1
8,4,3,0.1,-0.01070560909409756,0.8325359621627805,0.8264672311013377,10,0.0,1
8,4,3,0.25,-0.011952354236067554,0.8322240320737602,0.8147119786321558,10,0.0,1
8,4,3,0.5,-0.013044058491055938,0.8315046624706681,0.7924737014791845,10,0.0,1
8,4,3,0.75,-0.014861717800867851,0.8318827220097337,0.8025173778498169,10,0.0,1
8,4,3,1.0,-0.01719045102154078,0.8308241585991407,0.8187133321876758,10,0.0,1
8,4,3,2.0,-0.02670392364862943,0.8055796286571513,0.8132679535133668,10,0.0,1
8,4,3,3.0,-0.0339443249242633,0.760192550393261,0.8500647784249519,10,0.1111111111111111,0
8,4,3,4.0,-0.03677234997234082,0.698297359010332,0.8933834784953512,10,0.1111111111111111,0
8,4,3,5.0,-0.03390215273668008,0.6238542877782873,0.9200969349729596,10,0.1111111111111111,0
8,4,3,6.0,-0.03117753220124083,0.5624160075866306,0.9305534571988964,10,0.0,1
8,4,3,7.0,-0.028921908576510374,0.5149786943587698,0.9419256884093753,10,0.1111111111111111,0
8,4,3,8.0,-0.025313048371036477,0.4635443292300774,0.9705169278758584,10,0.0,1
8,4,3,9.0,-0.023173607922799582,0.4314524679279765,0.980218586453454,10,0.0,1
8,4,3,10.0,-0.021476964009700616,0.4037004714235615,0.9950956776528285,10,0.0,1
8,4,3,11.0,-0.01867083626543761,0.3697626066869915,0.982658670679122,10,0.1111111111111111,0
8,4,3,12.0,-0.016410045859584645,0.34493324481686893,0.977016344862535,10,0.1111111111111111,0
8,4,3,13.0,-0.014522474071829532,0.31840801857924433,0.9898139919794995,10,0.0,1
8,4,3,14.0,-0.011460535242819377,0.2877840246734771,0.8996669277008438,10,0.1111111111111111,0
8,4,3,15.0,-0.010312656884467652,0.269365087532391,0.9798947475963594,10,0.0,1
8,4,4,0.1,-0.01309352727454338,0.8282863084738112,0.8243752766293408,10,0.0,1
8,4,4,0.25,-0.014033665948884432,0.8259156041405249,0.7993447801289973,10,0.0,1
8,4,4,0.5,-0.015201348241316744,0.8260491364625231,0.7882979908642704,10,0.0,1
8,4,4,0.75,-0.01713714290169884,0.8270380102560534,0.8038746624275307,10,0.0,1
8,4,4,1.0,-0.01924998426018691,0.8252468406566135,0.8081246134529846,10,0.0,1
8,4,4,2.0,-0.02929807509647503,0.8058485321512661,0.8506654005234293,10,0.0,1
8,4,4,3.0,-0.03608380029959897,0.7586049465448104,0.8526476150962058,10,0.1111111111111111,0
8,4,4,4.0,-0.037552310447900895,0.692643017559141,0.8965193010334501,10,0.1111111111111111,0
8,4,4,5.0,-0.03532513776870797,0.6269599509324726,0.9107793377493137,10,0.1111111111111111,0
8,4,4,6.0,-0.03176098503043497,0.5589133340478764,0.9264554144642749,10,0.1111111111111111,0
8,4,4,7.0,-0.02912609083771079,0.512917145027584,0.9590315450456622,10,0.1111111111111111,0
8,4,4,8.0,-0.02545036792618249,0.46323647456049244,0.974978929471631,10,0.0,1
8,4,4,9.0,-0.023192882039368153,0.4237709238183875,0.9759600689696655,10,0.0,1
8,4,4,10.0,-0.020496240906340446,0.39340060816197253,0.9617719121981442,10,0.1111111111111111,0
