L,N,nmax,W,U_for_chi,nearest_U,chi_U,q_eff2
8,4,2,0.1,2.0,2.0,0.020589255091029934,0.5316455696202532
8,4,2,0.25,2.0,2.0,0.024616981274098004,0.5316455696202532
8,4,2,0.5,2.0,2.0,0.02763267160257199,0.5316455696202532
8,4,2,0.75,2.0,2.0,0.030032314912209035,0.5316455696202532
8,4,2,1.0,2.0,2.0,0.03314849945430404,0.5316455696202532
8,4,2,2.0,2.0,2.0,0.04502664121011296,0.5316455696202532
8,4,2,3.0,2.0,2.0,0.04605457855610001,0.5316455696202532
8,4,2,4.0,2.0,2.0,0.03516149177630101,0.5316455696202532
8,4,2,5.0,2.0,2.0,0.027981497268335043,0.5316455696202532
8,4,2,6.0,2.0,2.0,0.012508052448185925,0.5316455696202532
8,4,2,7.0,2.0,2.0,0.009900397427004964,0.5316455696202532
8,4,2,8.0,2.0,2.0,0.010414071738178016,0.5316455696202532
8,4,2,9.0,2.0,2.0,0.0036601716962929853,0.5316455696202532
8,4,2,10.0,2.0,2.0,0.006058617701268976,0.5316455696202532
8,4,2,11.0,2.0,2.0,0.0005205542529818918,0.5316455696202532
8,4,2,12.0,2.0,2.0,0.0052474534505714265,0.5316455696202532
8,4,2,13.0,2.0,2.0,0.005882391894368982,0.5316455696202532
8,4,2,14.0,2.0,2.0,0.0023961247896343574,0.5316455696202532
8,4,2,15.0,2.0,2.0,0.003345409095668217,0.5316455696202532
8,4,3,0.1,2.0,2.0,0.029807017484759002,1.1320754716981134
8,4,3,0.25,2.0,2.0,0.036956846919120934,1.1320754716981134
8,4,3,0.5,2.0,2.0,0.04153759554818898,1.1320754716981134
8,4,3,0.75,2.0,2.0,0.044304870742723934,1.1320754716981134
8,4,3,1.0,2.0,2.0,0.047572554894753316,1.1320754716981134
8,4,3,2.0,2.0,2.0,0.06491133175307001,1.1320754716981134
8,4,3,3.0,2.0,2.0,0.06771929900433332,1.1320754716981134
8,4,3,4.0,2.0,2.0,0.060050421082203376,1.1320754716981134
8,4,3,5.0,2.0,2.0,0.03547055243840003,1.1320754716981134
8,4,3,6.0,2.0,2.0,0.03317197135844002,1.1320754716981134
8,4,3,7.0,2.0,2.0,0.025146206863023324,1.1320754716981134
8,4,3,8.0,2.0,2.0,0.01690092959040665,1.1320754716981134
8,4,3,9.0,2.0,2.0,0.016915523810350025,1.1320754716981134
8,4,3,10.0,2.0,2.0,0.019944022576289994,1.1320754716981134
8,4,3,11.0,2.0,2.0,0.0099316119382733,1.1320754716981134
8,4,3,12.0,2.0,2.0,0.007875917959696693,1.1320754716981134
8,4,3,13.0,2.0,2.0,0.009692850173293327,1.1320754716981134
8,4,3,14.0,2.0,2.0,-0.009757168749512657,1.1320754716981134
8,4,3,15.0,2.0,2.0,0.010237491703062984,1.1320754716981134
8,4,4,0.1,2.0,2.0,0.035568948731362016,1.4181818181818182
8,4,4,0.25,2.0,2.0,0.04304193206175705,1.4181818181818182
8,4,4,0.5,2.0,2.0,0.04759181901934695,1.4181818181818182
8,4,4,0.75,2.0,2.0,0.049841602902626014,1.4181818181818182
8,4,4,1.0,2.0,2.0,0.05249345367146985,1.4181818181818182
8,4,4,2.0,2.0,2.0,0.06742337011214666,1.4181818181818182
8,4,4,3.0,2.0,2.0,0.07032913945544339,1.4181818181818182
8,4,4,4.0,2.0,2.0,0.060776547187429975,1.4181818181818182
8,4,4,5.0,2.0,2.0,0.04265136634527,1.4181818181818182
8,4,4,6.0,2.0,2.0,0.0338860378477166,1.4181818181818182
8,4,4,7.0,2.0,2.0,0.029441471745086656,1.4181818181818182
8,4,4,8.0,2.0,2.0,0.02204858350722999,1.4181818181818182
8,4,4,9.0,2.0,2.0,0.014957573992893353,1.4181818181818182
8,4,4,10.0,2.0,2.0,-0.0003594576447766562,1.4181818181818182
8,4,4,11.0,2.0,2.0,0.015008876567576629,1.4181818181818182
8,4,4,12.0,2.0,2.0,0.011746775778296692,1.4181818181818182
8,4,4,13.0,2.0,2.0,0.010008712495580968,1.4181818181818182
8,4,4,14.0,2.0,2.0,-0.003735902287530374,1.4181818181818182
8,4,4,15.0,2.0,2.0,0.005627417766251322,1.4181818181818182
8,4,5,0.1,2.0,2.0,0.03554258311976699,1.4181818181818182
8,4,5,0.25,2.0,2.0,0.043151375866497976,1.4181818181818182
8,4,5,0.5,2.0,2.0,0.04749210017660499,1.4181818181818182
8,4,5,0.75,2.0,2.0,0.04980160893304708,1.4181818181818182
8,4,5,1.0,2.0,2.0,0.052962833470016624,1.4181818181818182
8,4,5,2.0,2.0,2.0,0.06683470511331002,1.4181818181818182
8,4,5,3.0,2.0,2.0,0.06704630809791001,1.4181818181818182
8,4,5,4.0,2.0,2.0,0.05428019597301664,1.4181818181818182
8,4,5,5.0,2.0,2.0,0.045165715551703345,1.4181818181818182
8,4,5,6.0,2.0,2.0,0.04313301697849667,1.4181818181818182
8,4,5,7.0,2.0,2.0,0.021835247355583315,1.4181818181818182
8,4,5,8.0,2.0,2.0,0.025106278787133285,1.4181818181818182
8,4,5,9.0,2.0,2.0,0.023124941350633366,1.4181818181818182
8,4,5,10.0,2.0,2.0,0.01388310837427334,1.4181818181818182
8,4,5,11.0,2.0,2.0,0.005829310727679976,1.4181818181818182
8,4,5,12.0,2.0,2.0,0.0034870380538699897,1.4181818181818182
8,4,5,13.0,2.0,2.0,0.014697011112344671,1.4181818181818182
