L,nmax,U,W,N0,A,B,n_N
9,2,1.0,1.0,9.0,0.9025469345552333,0.0002509340905353152,5
9,2,1.0,2.0,9.0,0.8953457763672168,0.0008231383718213525,5
9,2,1.0,3.0,9.0,0.8768924554595708,0.0027786268023122897,5
9,2,1.0,4.0,9.0,0.837140403447046,0.00717731712040397,5
9,2,1.0,5.0,9.0,0.7679723903611453,0.01220420214678164,5
9,2,1.0,6.0,9.0,0.690560851922538,0.015913902663510025,5
9,2,1.0,7.0,9.0,0.6123227376717068,0.013412236073019002,5
9,2,1.0,8.0,9.0,0.5448636118557008,0.012444590719924676,5
9,2,1.0,9.0,9.0,0.49081522323430066,0.022099276391108657,5
9,2,1.0,10.0,9.0,0.43831564938919526,0.01803466974302831,5
9,2,2.0,1.0,9.0,0.8932919653255379,0.0010988725490413298,5
9,2,2.0,2.0,9.0,0.8855131128853039,0.001795536277499976,5
9,2,2.0,3.0,9.0,0.8670501554810013,0.004105594751422026,5
9,2,2.0,4.0,9.0,0.8295003576979362,0.00802580696269195,5
9,2,2.0,5.0,9.0,0.769784335647576,0.013721444304183362,5
9,2,2.0,6.0,9.0,0.6956066209250439,0.013346634669821,5
9,2,2.0,7.0,9.0,0.6212068355710867,0.015063812391469655,5
9,2,2.0,8.0,9.0,0.5546508169961406,0.016307332463731637,5
9,2,2.0,9.0,9.0,0.5014575357733699,0.01758646918536535,5
9,2,2.0,10.0,9.0,0.44772979502742805,0.013952989923784664,5
9,2,3.0,1.0,9.0,0.8752365517776619,0.0024271519266596763,5
9,2,3.0,2.0,9.0,0.8644107463592267,0.0038386946380736696,5
9,2,3.0,3.0,9.0,0.843627860450022,0.0067304347007453025,5
9,2,3.0,4.0,9.0,0.8067879286182608,0.011099981715177055,5
9,2,3.0,5.0,9.0,0.7517889271249234,0.014333465711394355,5
9,2,3.0,6.0,9.0,0.6836924216973227,0.01943539639476235,5
9,2,3.0,7.0,9.0,0.6160205640059707,0.020949610746823,5
9,2,3.0,8.0,9.0,0.5499362628357906,0.01845107177106433,5
9,2,3.0,9.0,9.0,0.49638838716249334,0.018377329702368994,5
9,2,3.0,10.0,9.0,0.4523487206125287,0.017310718001551328,5
9,2,4.0,1.0,9.0,0.8499099868183407,0.0033684249590419935,5
9,2,4.0,2.0,9.0,0.8320136387197566,0.006847201079757959,5
9,2,4.0,3.0,9.0,0.8019922900712594,0.010762751730628684,5
9,2,4.0,4.0,9.0,0.759888404574564,0.016052318184710358,5
9,2,4.0,5.0,9.0,0.7075441830486687,0.017549090805634004,5
9,2,4.0,6.0,9.0,0.6494113275697994,0.021430071999822366,5
9,2,4.0,7.0,9.0,0.5890040850993767,0.02064169325047498,5
9,2,4.0,8.0,9.0,0.5352385165454181,0.02257593497858267,5
9,2,4.0,9.0,9.0,0.48804484557865335,0.022096324065919326,5
9,2,4.0,10.0,9.0,0.4422982135735446,0.017449130207989993,5
9,2,5.0,1.0,9.0,0.8236302386401932,0.0023564462319203504,5
9,2,5.0,2.0,9.0,0.7946373630815835,0.008572068352223305,5
9,2,5.0,3.0,9.0,0.7470403809515707,0.015281484592896665,5
9,2,5.0,4.0,9.0,0.68960656269823,0.020619057654844997,5
9,2,5.0,5.0,9.0,0.6408753371292614,0.023517646152475667,5
9,2,5.0,6.0,9.0,0.5899715336445299,0.02432926363667067,5
9,2,5.0,7.0,9.0,0.5450618201402994,0.0248092526601847,5
9,2,5.0,8.0,9.0,0.496819011914984,0.024445942075009285,5
9,2,5.0,9.0,9.0,0.4509708761762126,0.02041737201670165,5
9,2,5.0,10.0,9.0,0.41492237372159335,0.020989638821086665,5
9,2,6.0,1.0,9.0,0.8066114256957853,0.0012635209287569671,5
9,2,6.0,2.0,9.0,0.7611485207752147,0.007308082759878665,5
9,2,6.0,3.0,9.0,0.6964315686809434,0.014408534138467632,5
9,2,6.0,4.0,9.0,0.6312936461306653,0.022039684648597003,5
9,2,6.0,5.0,9.0,0.5693848996880561,0.023229293306046016,5
9,2,6.0,6.0,9.0,0.5229663514617707,0.023544602976827023,5
9,2,6.0,7.0,9.0,0.48225649702946666,0.023963966585377673,5
9,2,6.0,8.0,9.0,0.4480981020085267,0.021427123878216325,5
9,2,6.0,9.0,9.0,0.4180636491570674,0.02023208721096701,5
9,2,6.0,10.0,9.0,0.39017927798514196,0.01709917603144734,5
9,2,7.0,1.0,9.0,0.7953466964234053,0.0011761347280343283,5
9,2,7.0,2.0,9.0,0.7405997915982292,0.0071690697355190295,5
9,2,7.0,3.0,9.0,0.6563889018015867,0.014264646138692693,5
9,2,7.0,4.0,9.0,0.5788747313504959,0.02215331822196669,5
9,2,7.0,5.0,9.0,0.5117750405592367,0.022117121073034984,5
9,2,7.0,6.0,9.0,0.4662890974220907,0.021276485645262987,5
9,2,7.0,7.0,9.0,0.42360041932615394,0.022175437545282006,5
9,2,7.0,8.0,9.0,0.39766874138348995,0.019615970941471005,5
9,2,7.0,9.0,9.0,0.3771078771509907,0.018789985819361678,5
9,2,7.0,10.0,9.0,0.3529043426037293,0.01723572775623867,5
9,2,8.0,1.0,9.0,0.7872349546060327,0.001194782272030026,5
9,2,8.0,2.0,9.0,0.72777217320057,0.007017298112653036,5
9,2,8.0,3.0,9.0,0.636786934595434,0.013266720883040994,5
9,2,8.0,4.0,9.0,0.5423782688196881,0.018782106644786002,5
9,2,8.0,5.0,9.0,0.47379407791974,0.021194339290545018,5
9,2,8.0,6.0,9.0,0.42453816838540864,0.020346461304358677,5
9,2,8.0,7.0,9.0,0.384456944661396,0.018536296232258342,5
9,2,8.0,8.0,9.0,0.358203412768742,0.020033185039430346,5
9,2,8.0,9.0,9.0,0.33827541557533,0.017344961147918336,5
9,2,8.0,10.0,9.0,0.3208467073969373,0.015341516124148668,5
9,2,9.0,1.0,9.0,0.7794647665049066,0.0011380940123066675,5
9,2,9.0,2.0,9.0,0.7204359000159414,0.006528268455414388,5
9,2,9.0,3.0,9.0,0.616302136096508,0.014843731244448688,5
9,2,9.0,4.0,9.0,0.5255277798097767,0.019135230102425006,5
9,2,9.0,5.0,9.0,0.44846741336914064,0.019353712146062997,5
9,2,9.0,6.0,9.0,0.3955911096076493,0.018004847902598996,5
9,2,9.0,7.0,9.0,0.355351624386964,0.016322485682257016,5
9,2,9.0,8.0,9.0,0.32731308116623936,0.016651557096773684,5
9,2,9.0,9.0,9.0,0.30557537866876866,0.017503529009244668,5
9,2,9.0,10.0,9.0,0.293305534791508,0.014179932343857338,5
9,2,10.0,1.0,9.0,0.7737090917352619,0.0005646244946996504,5
9,2,10.0,2.0,9.0,0.709115516552336,0.006593222780724317,5
9,2,10.0,3.0,9.0,0.609362742762774,0.013372886847412358,5
9,2,10.0,4.0,9.0,0.508294921509144,0.013786073343417004,5
