L,N,nmax,W,Uhalf,half_level,s_infinity_estimate,n_U
9,7,2,1.0,3.8587095944132983,0.5,0.7931615502524884,10
9,7,2,2.0,4.180826812538564,0.5,0.7234949201070866,10
9,7,2,3.0,4.60011871995616,0.5,0.6006404599280584,10
9,7,2,4.0,4.829039933491801,0.5,0.49411635600032006,10
9,7,2,5.0,5.201139537208274,0.5,0.40863458915825335,10
9,7,2,6.0,5.421172482320719,0.5,0.35670318536959167,10
9,7,2,7.0,5.638886871841134,0.5,0.31554989986997667,10
9,7,2,8.0,6.0482634170511265,0.5,0.2858715236907733,10
9,7,2,9.0,6.465287262023988,0.5,0.2666223113556733,10
9,7,2,10.0,6.753024612143131,0.5,0.252139702023565,10
9,8,2,1.0,4.432007042570928,0.5,0.7501186201603649,10
9,8,2,2.0,4.837215722464379,0.5,0.6770256639707399,10
9,8,2,3.0,5.143245336398169,0.5,0.5771136057699817,10
9,8,2,4.0,5.13559140224822,0.5,0.4848374437483233,10
9,8,2,5.0,5.4428744018827615,0.5,0.416023697815935,10
9,8,2,6.0,5.673658845160275,0.5,0.3657165118660717,10
9,8,2,7.0,6.0184022544967055,0.5,0.32762306216370496,10
9,8,2,8.0,6.14110721570316,0.5,0.2995461731746083,10
9,8,2,9.0,6.618954041652978,0.5,0.280930980867955,10
9,8,2,10.0,6.814614265884757,0.5,0.26813451179821335,10
9,9,2,1.0,4.449102163231599,0.5,0.7909391443085466,10
9,9,2,2.0,4.749941492397841,0.5,0.73266825652447,10
9,9,2,3.0,5.133796409880048,0.5,0.6249065768923066,10
9,9,2,4.0,5.236814985297563,0.5,0.5270818392879717,10
9,9,2,5.0,5.508348077087076,0.5,0.44330144939635174,10
9,9,2,6.0,5.861567123734604,0.5,0.38510022775620834,10
9,9,2,7.0,5.97550260067993,0.5,0.35167436288182496,10
9,9,2,8.0,6.395689071075669,0.5,0.32243044688986666,10
9,9,2,9.0,6.689467089803489,0.5,0.29291910815453337,10
9,9,2,10.0,6.8211751606377105,0.5,0.28420088430776,10
9,10,2,1.0,4.646794524265349,0.5,0.7524753485576701,10
9,10,2,2.0,5.079255059701753,0.5,0.6917564412711867,10
9,10,2,3.0,5.322768305529284,0.5,0.6035254930303133,10
9,10,2,4.0,5.554415896653506,0.5,0.5193655555432,10
9,10,2,5.0,5.744691877542574,0.5,0.45229995375196663,10
9,10,2,6.0,5.910640879679407,0.5,0.40075647982479334,10
9,10,2,7.0,6.275060343598696,0.5,0.36094787564683667,10
9,10,2,8.0,6.494757330269769,0.5,0.33199815204178,10
9,10,2,9.0,6.698290868047867,0.5,0.3114094975954917,10
9,10,2,10.0,6.701839461279347,0.5,0.295907853891895,10
9,11,2,1.0,4.310651613935873,0.5,0.7962399823213516,10
9,11,2,2.0,4.650594227046664,0.5,0.74893325954721,10
9,11,2,3.0,5.073213012431918,0.5,0.6579760615275451,10
9,11,2,4.0,5.339854064858589,0.5,0.5591555587174868,10
9,11,2,5.0,5.638911214831882,0.5,0.4837485017836583,10
9,11,2,6.0,5.891434002863385,0.5,0.42683971369491003,10
9,11,2,7.0,6.259853268884446,0.5,0.3822694717096517,10
9,11,2,8.0,6.525714302407784,0.5,0.35000833696135336,10
9,11,2,9.0,6.5754310412605825,0.5,0.32468246454827,10
9,11,2,10.0,7.007540354211274,0.5,0.3102019257814833,10
