L,N,nmax,filling,U,W,dim,observable,entropy_mean,entropy_stderr,pr_normalized_mean,pr_normalized_stderr,onsite_pair_density_mean,onsite_pair_density_stderr,n_realizations
9,7,2,0.7777777777777778,1.0,1.0,2304,fock_entropy_normalized,0.9000966827473267,4.3710887280354556e-05,0.3082170363902733,0.0001705041783473727,0.44705188803741996,4.061753778196245e-05,300
9,7,2,0.7777777777777778,1.0,2.0,2304,fock_entropy_normalized,0.89115634948532,0.0003186129017954508,0.27624689575879,0.0010787083388011452,0.4419310961042566,0.00011899642321448568,300
9,7,2,0.7777777777777778,1.0,3.0,2304,fock_entropy_normalized,0.86851844524192,0.0010449804685113454,0.21420131723404567,0.0024637653687292977,0.43642890817394325,0.0001524128289587263,300
9,7,2,0.7777777777777778,1.0,4.0,2304,fock_entropy_normalized,0.8180381825902767,0.003119612770960463,0.13870515798985333,0.0035711253407493255,0.43224673285964665,0.0001649164111737304,300
9,7,2,0.7777777777777778,1.0,5.0,2304,fock_entropy_normalized,0.7290378121274067,0.005539080916572775,0.07663042774605948,0.003441784341932489,0.4287982001276034,0.0001608907942273475,300
9,7,2,0.7777777777777778,1.0,6.0,2304,fock_entropy_normalized,0.65179541049088,0.0064335590940351,0.044611343107212535,0.002534465222595778,0.4264622979855467,0.00014712015551960535,300
9,7,2,0.7777777777777778,1.0,7.0,2304,fock_entropy_normalized,0.58927643003326,0.007134312224454663,0.029118410975222667,0.001733280709742637,0.4247758793990867,0.00011888927754372663,300
9,7,2,0.7777777777777778,1.0,8.0,2304,fock_entropy_normalized,0.5147829035668934,0.007174920582848241,0.01808566753410613,0.0014480415226830218,0.42378451466097666,0.00012671376815572206,300
9,7,2,0.7777777777777778,1.0,9.0,2304,fock_entropy_normalized,0.4433456055085033,0.006577165351134025,0.009461748786235024,0.0006180780620186284,0.42273163899212,0.00010856525616225544,300
9,7,2,0.7777777777777778,1.0,10.0,2304,fock_entropy_normalized,0.3960645135793267,0.005954367123815961,0.006489200246094857,0.00037045628219198166,0.4217485852817034,0.00010404503498798167,300
9,7,2,0.7777777777777778,2.0,1.0,2304,fock_entropy_normalized,0.8885883562507866,5.4873974359760885e-05,0.26539980041121664,0.00018241889757458912,0.44320169409483656,6.463787033523269e-06,300
9,7,2,0.7777777777777778,2.0,2.0,2304,fock_entropy_normalized,0.8790827998623201,0.00028524526047442344,0.23688593603409,0.0008233932354956824,0.44216492036167004,4.654821228535185e-05,300
9,7,2,0.7777777777777778,2.0,3.0,2304,fock_entropy_normalized,0.8540919780524833,0.001093396935016765,0.18019791685777203,0.0020714630599478444,0.4390205653690134,0.00010968612420862722,300
9,7,2,0.7777777777777778,2.0,4.0,2304,fock_entropy_normalized,0.8048348398687935,0.002852349134887731,0.118972208056858,0.0028719383442332436,0.4354922939466,0.0001540528387209474,300
9,7,2,0.7777777777777778,2.0,5.0,2304,fock_entropy_normalized,0.7411695387368733,0.0047361320628843935,0.07671546384586364,0.0027695723842888417,0.43263456810122325,0.0001671013826619374,300
9,7,2,0.7777777777777778,2.0,6.0,2304,fock_entropy_normalized,0.6583003061921833,0.006392715141355197,0.0455317922654494,0.002250388314767002,0.43010613891137334,0.00016612988292307872,300
9,7,2,0.7777777777777778,2.0,7.0,2304,fock_entropy_normalized,0.5810379689063401,0.006655092306935309,0.026335676702583667,0.0015354334376963669,0.4278515486877033,0.00014550171853125088,300
9,7,2,0.7777777777777778,2.0,8.0,2304,fock_entropy_normalized,0.5156851153697266,0.0067602176059082955,0.017006420383893835,0.0011269666544725604,0.42601979023488334,0.00013785574624647758,300
9,7,2,0.7777777777777778,2.0,9.0,2304,fock_entropy_normalized,0.45493237453751334,0.006563574900564551,0.010388486542003767,0.0005855843066370236,0.42484238940438,0.00012392104850419015,300
9,7,2,0.7777777777777778,2.0,10.0,2304,fock_entropy_normalized,0.41622564627513003,0.006363292311954752,0.0082898491150651,0.0007042745599885934,0.42375452072601333,0.00013357583446984225,300
9,7,2,0.7777777777777778,3.0,1.0,2304,fock_entropy_normalized,0.8677014672001933,8.840530260170626e-05,0.20677627060990003,0.0002661089278383127,0.4405364902558633,2.306824476698313e-05,300
9,7,2,0.7777777777777778,3.0,2.0,2304,fock_entropy_normalized,0.85238706026612,0.0004131057291865871,0.1700390432550533,0.000881601271560694,0.44207454758989,2.510939873484443e-05,300
9,7,2,0.7777777777777778,3.0,3.0,2304,fock_entropy_normalized,0.8237180745986067,0.0011876257513906373,0.12583706374103532,0.001506707065832634,0.44137677420259336,5.922201624661256e-05,300
9,7,2,0.7777777777777778,3.0,4.0,2304,fock_entropy_normalized,0.77629668095801,0.0028456643423770142,0.08643494832718267,0.0018962666170130853,0.43921305993515336,0.00012100642018079218,300
9,7,2,0.7777777777777778,3.0,5.0,2304,fock_entropy_normalized,0.7112567527241533,0.003985481436288666,0.05412660432677666,0.0016787891731795946,0.43635341828464674,0.0001399000043022448,300
9,7,2,0.7777777777777778,3.0,6.0,2304,fock_entropy_normalized,0.6376768116815399,0.005822326779717908,0.035421558903901404,0.0015730456366072464,0.4338384233767234,0.00017210183285038406,300
9,7,2,0.7777777777777778,3.0,7.0,2304,fock_entropy_normalized,0.5677076795014667,0.006302741241962576,0.022237919146429905,0.0010871923888974113,0.43149809394958993,0.00018006702713781685,300
9,7,2,0.7777777777777778,3.0,8.0,2304,fock_entropy_normalized,0.5020128939200066,0.006365898650551072,0.0142082261730667,0.000759436195438678,0.42959569224399663,0.00015262590343616755,300
9,7,2,0.7777777777777778,3.0,9.0,2304,fock_entropy_normalized,0.45835295478237337,0.006283843026789521,0.010550455498641533,0.0006117184946048599,0.42815336810976323,0.00015962982761690467,300
9,7,2,0.7777777777777778,3.0,10.0,2304,fock_entropy_normalized,0.4121976947444933,0.006464170629228882,0.008347706026307612,0.0007644738380036541,0.4267662647502933,0.0001736540050790263,300
9,7,2,0.7777777777777778,4.0,1.0,2304,fock_entropy_normalized,0.8431619129231933,0.00019575167525055532,0.16576411366281,0.00042283908562546006,0.43938313467904666,3.4106459856693606e-05,300
9,7,2,0.7777777777777778,4.0,2.0,2304,fock_entropy_normalized,0.8137861939591133,0.0008408854132115466,0.11515941755119267,0.001157491746151057,0.44202975764887326,4.29244849486839e-05,300
9,7,2,0.7777777777777778,4.0,3.0,2304,fock_entropy_normalized,0.7739745612413433,0.0017736885983513136,0.07750911202209666,0.0013432166093014625,0.44280953493129666,4.057708538265624e-05,300
9,7,2,0.7777777777777778,4.0,4.0,2304,fock_entropy_normalized,0.7176877658123533,0.0028920514198257975,0.04972470191506233,0.0012196465637787405,0.44181969383255326,8.576395750399483e-05,300
9,7,2,0.7777777777777778,4.0,5.0,2304,fock_entropy_normalized,0.66266742101664,0.00402348755290152,0.0351642581575463,0.0011095975699654628,0.43990640417822996,0.00013852725585266734,300
9,7,2,0.7777777777777778,4.0,6.0,2304,fock_entropy_normalized,0.5950242506277134,0.0044229266445766635,0.0220832410865589,0.0007614114327348867,0.43735848283995665,0.00015821592827178525,300
9,7,2,0.7777777777777778,4.0,7.0,2304,fock_entropy_normalized,0.5372155399208133,0.004955553087909208,0.015424706356241599,0.0005556067712746941,0.43520582254745666,0.00018202214414627098,300
9,7,2,0.7777777777777778,4.0,8.0,2304,fock_entropy_normalized,0.47752251326220335,0.005151561224239439,0.010568780432480598,0.0004597279127247722,0.43303811050735,0.00018723733570295796,300
9,7,2,0.7777777777777778,4.0,9.0,2304,fock_entropy_normalized,0.43537916804741666,0.005229390044033727,0.008153826326649334,0.0004139628361895866,0.43140066023235,0.00018722142523439062,300
9,7,2,0.7777777777777778,4.0,10.0,2304,fock_entropy_normalized,0.3948351634411733,0.005328547817182782,0.006235297901323533,0.0003270056946245423,0.4300191936411833,0.00018409045249149182,300
9,7,2,0.7777777777777778,5.0,1.0,2304,fock_entropy_normalized,0.8266422041109399,0.0003319344244822457,0.14452148957630667,0.0004894820019905679,0.4402604931138967,1.4539427667382444e-05,300
