L,N,nmax,W,U_for_chi,nearest_U,chi_U,q_eff2
9,7,2,1.0,2.0,2.0,0.016197607773566713,0.5152542372881356
9,7,2,2.0,2.0,2.0,0.019384644609599988,0.5152542372881356
9,7,2,3.0,2.0,2.0,0.022400185321656663,0.5152542372881356
9,7,2,4.0,2.0,2.0,0.020870750816133377,0.5152542372881356
9,7,2,5.0,2.0,2.0,0.008890529701626682,0.5152542372881356
9,7,2,6.0,2.0,2.0,0.007059299404670039,0.5152542372881356
9,7,2,7.0,2.0,2.0,0.01078437526589665,0.5152542372881356
9,7,2,8.0,2.0,2.0,0.0063850048234433965,0.5152542372881356
9,7,2,9.0,2.0,2.0,-0.0075036746369350205,0.5152542372881356
9,7,2,10.0,2.0,2.0,-0.0080665905825833,0.5152542372881356
9,8,2,1.0,2.0,2.0,0.014884429028673374,0.4949740034662045
9,8,2,2.0,2.0,2.0,0.016608857319506676,0.4949740034662045
9,8,2,3.0,2.0,2.0,0.01717121140777833,0.4949740034662045
9,8,2,4.0,2.0,2.0,0.017372218426161767,0.4949740034662045
9,8,2,5.0,2.0,2.0,0.011624568050265016,0.4949740034662045
9,8,2,6.0,2.0,2.0,0.005312943461158293,0.4949740034662045
9,8,2,7.0,2.0,2.0,0.00041365323628334005,0.4949740034662045
9,8,2,8.0,2.0,2.0,-0.001984644939336644,0.4949740034662045
9,8,2,9.0,2.0,2.0,-0.0020338690356767053,0.4949740034662045
9,8,2,10.0,2.0,2.0,-0.011434318162296703,0.4949740034662045
9,9,2,1.0,2.0,2.0,0.012789606880928228,0.46827524575513846
9,9,2,2.0,2.0,2.0,0.014454641807248259,0.46827524575513846
9,9,2,3.0,2.0,2.0,0.015240773355001624,0.46827524575513846
9,9,2,4.0,2.0,2.0,0.012608302979718322,0.46827524575513846
9,9,2,5.0,2.0,2.0,0.008435363910599958,0.46827524575513846
9,9,2,6.0,2.0,2.0,0.0015673692400250405,0.46827524575513846
9,9,2,7.0,2.0,2.0,-0.00839396909827006,0.46827524575513846
9,9,2,8.0,2.0,2.0,-0.004899473675189947,0.46827524575513846
9,9,2,9.0,2.0,2.0,-0.003462249275083318,0.46827524575513846
9,9,2,10.0,2.0,2.0,-0.002899719231580028,0.46827524575513846
9,10,2,1.0,2.0,2.0,0.012410071126334965,0.43723208818126147
9,10,2,2.0,2.0,2.0,0.01347849735979506,0.43723208818126147
9,10,2,3.0,2.0,2.0,0.0144860923199433,0.43723208818126147
9,10,2,4.0,2.0,2.0,0.01055943261533665,0.43723208818126147
9,10,2,5.0,2.0,2.0,0.004257083225671643,0.43723208818126147
9,10,2,6.0,2.0,2.0,0.0046388533001333054,0.43723208818126147
9,10,2,7.0,2.0,2.0,-0.00839278087819667,0.43723208818126147
9,10,2,8.0,2.0,2.0,-0.005117986770134975,0.43723208818126147
9,10,2,9.0,2.0,2.0,-0.003434748879725058,0.43723208818126147
9,10,2,10.0,2.0,2.0,-0.0014163595436683662,0.43723208818126147
9,11,2,1.0,2.0,2.0,0.011994242134425015,0.4010554089709763
9,11,2,2.0,2.0,2.0,0.01341093392382503,0.4010554089709763
9,11,2,3.0,2.0,2.0,0.013863225119491673,0.4010554089709763
9,11,2,4.0,2.0,2.0,0.01447048223461328,0.4010554089709763
9,11,2,5.0,2.0,2.0,0.00725111320239169,0.4010554089709763
9,11,2,6.0,2.0,2.0,-0.0014073898429483034,0.4010554089709763
9,11,2,7.0,2.0,2.0,-0.003655844361373284,0.4010554089709763
9,11,2,8.0,2.0,2.0,-0.007064526889006606,0.4010554089709763
9,11,2,9.0,2.0,2.0,0.0025016320069383147,0.4010554089709763
9,11,2,10.0,2.0,2.0,-0.011265690538205003,0.4010554089709763
