L,nmax,U,W,N0,A,B,n_N
9,2,1.0,1.0,9.0,0.8517186657943911,0.0003913552610916193,5
9,2,1.0,2.0,9.0,0.8401587324261952,0.0013190883345492565,5
9,2,1.0,3.0,9.0,0.8107951824371474,0.004332812500682182,5
9,2,1.0,4.0,9.0,0.7536680431388074,0.00945416282142486,5
9,2,1.0,5.0,9.0,0.6689516341914112,0.013699286554349377,5
9,2,1.0,6.0,9.0,0.5847927982684429,0.01642039100531374,5
9,2,1.0,7.0,9.0,0.5064734771849604,0.01312674313752733,5
9,2,1.0,8.0,9.0,0.44286629591659465,0.011624533909625923,5
9,2,1.0,9.0,9.0,0.39323170999185864,0.020603454660429576,5
9,2,1.0,10.0,9.0,0.3467478008020034,0.016154870206744908,5
9,2,1.0,11.0,9.0,0.3226168651790811,0.012501010763495735,5
9,2,1.0,12.0,9.0,0.2871659764106692,0.00877899571083136,5
9,2,1.0,13.0,9.0,0.2572972844716229,0.012082238504062408,5
9,2,1.0,14.0,9.0,0.24868077546407977,0.009274600166938384,5
9,2,1.0,15.0,9.0,0.22868371229102308,0.008122010256833578,5
9,2,2.0,1.0,9.0,0.8363155003955545,0.0018343501025856579,5
9,2,2.0,2.0,9.0,0.8240701170022581,0.002928328647137124,5
9,2,2.0,3.0,9.0,0.7955243519113095,0.006328909097948854,5
9,2,2.0,4.0,9.0,0.7437795118096412,0.010535497443581242,5
9,2,2.0,5.0,9.0,0.6725706350094465,0.015959738636585598,5
9,2,2.0,6.0,9.0,0.5930622109320706,0.014050985703760644,5
9,2,2.0,7.0,9.0,0.5185650970814641,0.01482785325855045,5
9,2,2.0,8.0,9.0,0.4552526859325692,0.015210186995172504,5
9,2,2.0,9.0,9.0,0.40650226432924896,0.016275337657474066,5
9,2,2.0,10.0,9.0,0.3579069320159382,0.01251863598533648,5
9,2,2.0,11.0,9.0,0.3264801282342865,0.011570686882323034,5
9,2,2.0,12.0,9.0,0.2959582975632272,0.01088437031568501,5
9,2,2.0,13.0,9.0,0.2689216456645247,0.01162663205236194,5
9,2,2.0,14.0,9.0,0.25015123186969335,0.014023785374602743,5
9,2,2.0,15.0,9.0,0.22667419459937782,0.007219488925197737,5
9,2,3.0,1.0,9.0,0.8081575010659549,0.003818570978617308,5
9,2,3.0,2.0,9.0,0.7897152617719115,0.006228358532343136,5
9,2,3.0,3.0,9.0,0.7584451172401111,0.010142709151615813,5
9,2,3.0,4.0,9.0,0.7113366240178033,0.014342720005950427,5
9,2,3.0,5.0,9.0,0.6500967291570726,0.016472456392496636,5
9,2,3.0,6.0,9.0,0.5807497126501131,0.020223818438775697,5
9,2,3.0,7.0,9.0,0.5151937049001882,0.020835182184681455,5
9,2,3.0,8.0,9.0,0.4527693009471688,0.017367360747017523,5
9,2,3.0,9.0,9.0,0.4041911195656055,0.01714499480271501,5
9,2,3.0,10.0,9.0,0.364613258993868,0.015659285936118407,5
9,2,3.0,11.0,9.0,0.33134354921318837,0.00985113730535726,5
9,2,3.0,12.0,9.0,0.2980895776724183,0.013680059270908384,5
9,2,3.0,13.0,9.0,0.2745869913771065,0.009707822263805116,5
9,2,3.0,14.0,9.0,0.24750278753766075,0.010064881824052607,5
9,2,3.0,15.0,9.0,0.235654861431635,0.00953201716179305,5
9,2,4.0,1.0,9.0,0.7749310255729654,0.004365257953872703,5
9,2,4.0,2.0,9.0,0.7438302637719991,0.009900505006128624,5
9,2,4.0,3.0,9.0,0.7002537056404727,0.014662087503967558,5
9,2,4.0,4.0,9.0,0.6504350680597082,0.019477769257160982,5
9,2,4.0,5.0,9.0,0.5972938652308137,0.019130510629590324,5
9,2,4.0,6.0,9.0,0.5428382020598318,0.022103558591531756,5
9,2,4.0,7.0,9.0,0.4876708348284655,0.02008150104968165,5
9,2,4.0,8.0,9.0,0.43930559898872057,0.021163670901067733,5
9,2,4.0,9.0,9.0,0.39756089396384753,0.0203944985657599,5
9,2,4.0,10.0,9.0,0.35654815393291883,0.015871157471956443,5
9,2,4.0,11.0,9.0,0.32356980946823233,0.01652890835799279,5
9,2,4.0,12.0,9.0,0.29156010044176867,0.00927270601750354,5
9,2,4.0,13.0,9.0,0.2700149799088064,0.012271742124612855,5
9,2,4.0,14.0,9.0,0.24980483880424886,0.009996837249238227,5
9,2,4.0,15.0,9.0,0.23438244400237235,0.010523572930243119,5
9,2,5.0,1.0,9.0,0.7463259429080707,0.0029045173738587947,5
9,2,5.0,2.0,9.0,0.7020749598826367,0.010579329266060289,5
9,2,5.0,3.0,9.0,0.638439087130702,0.017927274841887476,5
9,2,5.0,4.0,9.0,0.5734395270484827,0.022388896714122718,5
9,2,5.0,5.0,9.0,0.5266344588237584,0.024104225188896843,5
9,2,5.0,6.0,9.0,0.4816189585471511,0.023839284909838786,5
9,2,5.0,7.0,9.0,0.4445218757220194,0.023343701422413387,5
9,2,5.0,8.0,9.0,0.4023137896530942,0.022475524708302597,5
9,2,5.0,9.0,9.0,0.3638432734041507,0.018508013769256693,5
9,2,5.0,10.0,9.0,0.33243125834787385,0.018895863890346663,5
9,2,5.0,11.0,9.0,0.30438419159317365,0.012321736930790906,5
9,2,5.0,12.0,9.0,0.2838286357991032,0.012753901218679697,5
9,2,5.0,13.0,9.0,0.26602605037195326,0.011275183016228573,5
9,2,5.0,14.0,9.0,0.2443551001147508,0.010918839959023745,5
9,2,5.0,15.0,9.0,0.22705167122591163,0.009806257907062289,5
9,2,6.0,1.0,9.0,0.7307052145737208,0.0015788001509315919,5
9,2,6.0,2.0,9.0,0.6729608764868547,0.00843851337990098,5
9,2,6.0,3.0,9.0,0.5922782071140607,0.015279404227442006,5
9,2,6.0,4.0,9.0,0.5212460396525029,0.022108151442011746,5
9,2,6.0,5.0,9.0,0.46055812690232056,0.022482923847878145,5
9,2,6.0,6.0,9.0,0.419057721995787,0.022414757848504174,5
9,2,6.0,7.0,9.0,0.3855770460774294,0.02231307712029118,5
9,2,6.0,8.0,9.0,0.3583918753225127,0.019517825475653283,5
9,2,6.0,9.0,9.0,0.3334492518381983,0.018039154166511306,5
9,2,6.0,10.0,9.0,0.3098421552031718,0.015600173756108593,5
9,2,6.0,11.0,9.0,0.28559356014273,0.013933987697579014,5
9,2,6.0,12.0,9.0,0.26781420280336843,0.013252005489943175,5
9,2,6.0,13.0,9.0,0.24995275945118384,0.012823403047003717,5
9,2,6.0,14.0,9.0,0.23041382523826331,0.011260833913047502,5
9,2,6.0,15.0,9.0,0.21505277133824596,0.00990997606156091,5
9,2,7.0,1.0,9.0,0.7204088362964464,0.0016260608488821936,5
9,2,7.0,2.0,9.0,0.6573404688940754,0.008725019412461177,5
9,2,7.0,3.0,9.0,0.5606620152612316,0.014913626333416308,5
9,2,7.0,4.0,9.0,0.4784590843868878,0.021833202602553024,5
9,2,7.0,5.0,9.0,0.4126084540089197,0.020915927742181796,5
9,2,7.0,6.0,9.0,0.37064282019553896,0.019462158281108234,5
9,2,7.0,7.0,9.0,0.3327448389224879,0.02005451132525089,5
9,2,7.0,8.0,9.0,0.3122189085816669,0.01751863933852481,5
9,2,7.0,9.0,9.0,0.2966516569526944,0.016804201735684993,5
9,2,7.0,10.0,9.0,0.2771010139757823,0.01577684962210275,5
9,2,7.0,11.0,9.0,0.26225791128726395,0.015635125790909993,5
9,2,7.0,12.0,9.0,0.24712984343421476,0.01366600877419465,5
9,2,7.0,13.0,9.0,0.23455648916620647,0.012567399899373988,5
9,2,7.0,14.0,9.0,0.21994705820990518,0.010154025279956602,5
9,2,7.0,15.0,9.0,0.2068007490640528,0.010716511068671669,5
9,2,8.0,1.0,9.0,0.7131326769487526,0.001662801721973395,5
9,2,8.0,2.0,9.0,0.6466803166598238,0.008762829681107642,5
9,2,8.0,3.0,9.0,0.5475720878588419,0.014616981774409333,5
9,2,8.0,4.0,9.0,0.45048451619047053,0.018378447845563584,5
9,2,8.0,5.0,9.0,0.3835658546529637,0.019814129603125417,5
9,2,8.0,6.0,9.0,0.33769647896424226,0.01865519298439291,5
9,2,8.0,7.0,9.0,0.30098027554408263,0.01686781289834142,5
9,2,8.0,8.0,9.0,0.27818283842066616,0.01787731422027906,5
9,2,8.0,9.0,9.0,0.2627828085347279,0.01540782534468016,5
9,2,8.0,10.0,9.0,0.24861184233436112,0.013297288427225612,5
9,2,8.0,11.0,9.0,0.24021976063305814,0.014125542033254218,5
9,2,8.0,12.0,9.0,0.22657220147689658,0.012081806438752502,5
9,2,8.0,13.0,9.0,0.21756145727261353,0.010169065869035538,5
9,2,8.0,14.0,9.0,0.2050293161419495,0.009741516860750588,5
9,2,8.0,15.0,9.0,0.1964768976170595,0.009493095000179346,5
9,2,9.0,1.0,9.0,0.705966656472375,0.0015759356567209171,5
9,2,9.0,2.0,9.0,0.6414991040662598,0.007983690297238865,5
9,2,9.0,3.0,9.0,0.5303258376345075,0.016068278567565153,5
9,2,9.0,4.0,9.0,0.4392672433847233,0.01886297664777471,5
9,2,9.0,5.0,9.0,0.36498228979523784,0.018139147087311992,5
9,2,9.0,6.0,9.0,0.31518863477890935,0.016307955970050414,5
9,2,9.0,7.0,9.0,0.2786900430137321,0.014600367484475362,5
9,2,9.0,8.0,9.0,0.25311997498771166,0.014933257973794922,5
9,2,9.0,9.0,9.0,0.23427838220422653,0.01568630676201705,5
9,2,9.0,10.0,9.0,0.22495454444944332,0.012568137263758116,5
9,2,9.0,11.0,9.0,0.2156422329968891,0.012843821793099642,5
9,2,9.0,12.0,9.0,0.20943305275615914,0.011605128885643995,5
9,2,9.0,13.0,9.0,0.20008206605266793,0.009978195115947658,5
9,2,9.0,14.0,9.0,0.1899064803255301,0.00971323780318863,5
9,2,9.0,15.0,9.0,0.18235902760475836,0.009249306778985989,5
9,2,10.0,1.0,9.0,0.7007924442919578,0.0008814302002925212,5
9,2,10.0,2.0,9.0,0.6315104053856515,0.00804859684279704,5
9,2,10.0,3.0,9.0,0.5259098559987553,0.014558145623371743,5
9,2,10.0,4.0,9.0,0.42517917128768,0.01408947389760883,5
9,2,10.0,5.0,9.0,0.35416683113934855,0.01695149303159532,5
9,2,10.0,6.0,9.0,0.3033025158961826,0.015397900147915066,5
9,2,10.0,7.0,9.0,0.2679213746577903,0.015225432453773858,5
9,2,10.0,8.0,9.0,0.2395914315249946,0.013580664089306221,5
9,2,10.0,9.0,9.0,0.21869591565505847,0.010241689120792841,5
9,2,10.0,10.0,9.0,0.20639496222875117,0.01297840672073065,5
9,2,10.0,11.0,9.0,0.1946249215956078,0.013161153703260786,5
9,2,10.0,12.0,9.0,0.19324270180644082,0.010688508994199814,5
9,2,10.0,13.0,9.0,0.18389372819130978,0.009353853153039016,5
9,2,10.0,14.0,9.0,0.17867296283576262,0.008034935165680162,5
9,2,10.0,15.0,9.0,0.17157413228207,0.009434677802617614,5
