L,N,nmax,W,Uhalf,half_level,s_infinity_estimate,n_U
9,7,2,1.0,3.5193954537843712,0.5,0.7150558847695145,10
9,7,2,2.0,3.7387701094101082,0.5,0.6311810296821396,10
9,7,2,3.0,4.1902495271247835,0.5,0.5029397609609096,10
9,7,2,4.0,4.4663358219092375,0.5,0.40277500530282195,10
9,7,2,5.0,4.907451609089856,0.5,0.3261935530185264,10
9,7,2,6.0,5.189163208601586,0.5,0.28053319703904545,10
9,7,2,7.0,5.520161150684157,0.5,0.24402528634576431,10
9,7,2,8.0,6.007141003059706,0.5,0.21807484353334627,10
9,7,2,9.0,6.540953493488918,0.5,0.20128175464877823,10
9,7,2,10.0,6.7933379399030445,0.5,0.18911030945082072,10
9,7,2,11.0,6.860455934292585,0.5,0.17787142596359284,10
9,7,2,12.0,6.642942439734922,0.5,0.17942914977673785,10
9,7,2,13.0,7.239041231366834,0.5,0.17228723488369801,10
9,7,2,14.0,6.9772205532945755,0.5,0.16772766974224373,10
9,7,2,15.0,7.131735086480626,0.5,0.15819403575903712,10
9,8,2,1.0,3.8963643185446366,0.5,0.681806966304827,10
9,8,2,2.0,4.130223445885073,0.5,0.6129919973174127,10
9,8,2,3.0,4.471441994700221,0.5,0.5077481425603287,10
9,8,2,4.0,4.647422382893627,0.5,0.4106326734388891,10
9,8,2,5.0,5.053571085453076,0.5,0.34188220456991303,10
9,8,2,6.0,5.4527762336953804,0.5,0.29244940599734554,10
9,8,2,7.0,5.884659627225772,0.5,0.2568591260599564,10
9,8,2,8.0,6.1104673453456355,0.5,0.230124854032292,10
9,8,2,9.0,6.646085942402642,0.5,0.21359139029826493,10
9,8,2,10.0,6.874749849835433,0.5,0.20328197614989735,10
9,8,2,11.0,6.657811693210059,0.5,0.19377344375548886,10
9,8,2,12.0,6.951074009764392,0.5,0.1901684613218266,10
9,8,2,13.0,7.987528263678853,0.5,0.18205709917622925,10
9,8,2,14.0,7.34466430966089,0.5,0.17416129791933144,10
9,8,2,15.0,6.960786412629096,0.5,0.16764955752023025,10
9,9,2,1.0,4.006244502063402,0.5,0.715700064505613,10
9,9,2,2.0,4.246770539817835,0.5,0.6458375106420442,10
9,9,2,3.0,4.640584872215546,0.5,0.5274552189937294,10
9,9,2,4.0,4.781381907384889,0.5,0.433157787005652,10
9,9,2,5.0,5.226989729782119,0.5,0.3559290286254809,10
9,9,2,6.0,5.671007703425506,0.5,0.3043219689740321,10
9,9,2,7.0,5.889291357717581,0.5,0.2752903083931546,10
9,9,2,8.0,6.369872309203812,0.5,0.24914612698515232,10
9,9,2,9.0,6.707631013352091,0.5,0.22395990813204675,10
9,9,2,10.0,6.936114997614355,0.5,0.21733239653652295,10
9,9,2,11.0,6.9077244561345506,0.5,0.2051747374870989,10
9,9,2,12.0,7.236400541747818,0.5,0.20023851890607605,10
9,9,2,13.0,7.354754381029959,0.5,0.1929587846537979,10
9,9,2,14.0,7.309519103043402,0.5,0.18358404584137983,10
9,9,2,15.0,7.688736106564203,0.5,0.17746208196138258,10
9,10,2,1.0,4.15644214977523,0.5,0.6844641075328313,10
9,10,2,2.0,4.356915785334826,0.5,0.629510979594492,10
9,10,2,3.0,4.630872771512345,0.5,0.5381324376995462,10
9,10,2,4.0,5.01839586001773,0.5,0.4481562050958398,10
9,10,2,5.0,5.372187626742976,0.5,0.37801352104358876,10
9,10,2,6.0,5.673642881831205,0.5,0.3258015286893499,10
9,10,2,7.0,6.179943450137908,0.5,0.28666894831712997,10
9,10,2,8.0,6.46172917315535,0.5,0.26002123204745975,10
9,10,2,9.0,6.721072024607622,0.5,0.24141050412837406,10
9,10,2,10.0,6.740423960026678,0.5,0.22806285414250785,10
9,10,2,11.0,7.117694097398325,0.5,0.21815538538564638,10
9,10,2,12.0,7.458426599472632,0.5,0.21321156252919743,10
9,10,2,13.0,7.560555064913746,0.5,0.20198092350387958,10
9,10,2,14.0,6.965262716936426,0.5,0.19359368655239081,10
9,10,2,15.0,7.241836820391679,0.5,0.18559689700651955,10
9,11,2,1.0,3.9515907521470996,0.5,0.719870728798046,10
9,11,2,2.0,4.214389429332482,0.5,0.6630022563936897,10
9,11,2,3.0,4.610123269169439,0.5,0.5643136738686431,10
9,11,2,4.0,4.867762663452197,0.5,0.4663943658378054,10
9,11,2,5.0,5.369242704972486,0.5,0.39585449507895687,10
9,11,2,6.0,5.7056484645299985,0.5,0.34312177598795696,10
9,11,2,7.0,6.132993312932688,0.5,0.3036848750628006,10
9,11,2,8.0,6.485642150985997,0.5,0.27441145968351527,10
9,11,2,9.0,6.59126924439258,0.5,0.2521921874407484,10
9,11,2,10.0,7.107562751153146,0.5,0.2405862304157374,10
9,11,2,11.0,7.206087990306266,0.5,0.23069289388941516,10
9,11,2,12.0,7.265824599831915,0.5,0.22364169387266195,10
9,11,2,13.0,7.733689972338714,0.5,0.21065544339233955,10
9,11,2,14.0,7.469274183152349,0.5,0.20238190784788604,10
9,11,2,15.0,7.776575316127203,0.5,0.19593032746990147,10
