L,N,nmax,W,U_max_used,s_infinity_estimate,D_full,D_hardcore,lnDhc_over_lnD,ratio_to_hardcore_bound
9,7,2,1.0,10.0,0.7150558847695145,2304,36,0.46284330474687585,1.5449200138275114
9,7,2,2.0,10.0,0.6311810296821396,2304,36,0.46284330474687585,1.3637034892993125
9,7,2,3.0,10.0,0.5029397609609096,2304,36,0.46284330474687585,1.0866307361537013
9,7,2,4.0,10.0,0.40277500530282195,2304,36,0.46284330474687585,0.8702189297587342
9,7,2,5.0,10.0,0.3261935530185264,2304,36,0.46284330474687585,0.7047602280796051
9,7,2,6.0,10.0,0.28053319703904545,2304,36,0.46284330474687585,0.6061083614301521
9,7,2,7.0,10.0,0.24402528634576431,2304,36,0.46284330474687585,0.5272308875229796
9,7,2,8.0,10.0,0.21807484353334627,2304,36,0.46284330474687585,0.4711634397576716
9,7,2,9.0,10.0,0.20128175464877823,2304,36,0.46284330474687585,0.43488099014170056
9,7,2,10.0,10.0,0.18911030945082072,2304,36,0.46284330474687585,0.4085838717149493
9,7,2,11.0,10.0,0.17787142596359284,2304,36,0.46284330474687585,0.3843016073460733
9,7,2,12.0,10.0,0.17942914977673785,2304,36,0.46284330474687585,0.38766716064925205
9,7,2,13.0,10.0,0.17228723488369801,2304,36,0.46284330474687585,0.3722366362800043
9,7,2,14.0,10.0,0.16772766974224373,2304,36,0.46284330474687585,0.362385429414329
9,7,2,15.0,10.0,0.15819403575903712,2304,36,0.46284330474687585,0.34178745622247203
9,8,2,1.0,10.0,0.681806966304827,2907,9,0.27551830639319824,2.4746339915860442
9,8,2,2.0,10.0,0.6129919973174127,2907,9,0.27551830639319824,2.224868486388699
9,8,2,3.0,10.0,0.5077481425603287,2907,9,0.27551830639319824,1.842883506389264
9,8,2,4.0,10.0,0.4106326734388891,2907,9,0.27551830639319824,1.490400688122938
9,8,2,5.0,10.0,0.34188220456991303,2907,9,0.27551830639319824,1.240869287581949
9,8,2,6.0,10.0,0.29244940599734554,2907,9,0.27551830639319824,1.0614518135865156
9,8,2,7.0,10.0,0.2568591260599564,2907,9,0.27551830639319824,0.9322760778493866
9,8,2,8.0,10.0,0.230124854032292,2907,9,0.27551830639319824,0.8352434255452912
9,8,2,9.0,10.0,0.21359139029826493,2907,9,0.27551830639319824,0.775234840451741
9,8,2,10.0,10.0,0.20328197614989735,2907,9,0.27551830639319824,0.7378165858053336
9,8,2,11.0,10.0,0.19377344375548886,2907,9,0.27551830639319824,0.7033051498180687
9,8,2,12.0,10.0,0.1901684613218266,2907,9,0.27551830639319824,0.6902207835527016
