L,N,nmax,U,W,gamma,kappa,S2_model_over_lnD,data_entropy,data_lnPR_over_lnD_available
9,7,2,1.0,1.0,1.0,-0.0,1.0,0.8479803902919801,True
9,7,2,2.0,1.0,1.0,0.9034923148418083,0.9437619544227703,0.8286592772038053,True
9,7,2,3.0,1.0,1.0,1.6268173029883375,0.8290163226150777,0.7963982085231286,True
9,7,2,4.0,1.0,1.0,2.1743240603255813,0.7300085251323636,0.7677493805752452,True
9,7,2,5.0,1.0,1.0,2.608349553112903,0.6600483016369684,0.749939759339758,True
9,7,2,6.0,1.0,1.0,2.96651198327419,0.612147792540954,0.7403837185830856,True
9,7,2,7.0,1.0,1.0,3.2709687373934715,0.5788715460437122,0.7298543575912159,True
9,7,2,8.0,1.0,1.0,3.5355619932499955,0.5551598063985342,0.7234084323963841,True
9,7,2,9.0,1.0,1.0,3.769446788163347,0.5378126807459093,0.7166339960231841,True
9,7,2,10.0,1.0,1.0,3.978971147184103,0.524807924632166,0.7134777735158451,True
9,7,2,1.0,2.0,1.0,-0.0,1.0,0.8335291086193479,True
9,7,2,2.0,2.0,1.0,0.7034019527676205,0.9659704637876689,0.8137500245621219,True
9,7,2,3.0,2.0,1.0,1.492147632141352,0.8531411578830442,0.7706399088053638,True
9,7,2,4.0,2.0,1.0,2.0979712795525116,0.7433986632455796,0.7188175094324525,True
9,7,2,5.0,2.0,1.0,2.563188742669635,0.6667559770849413,0.6826813744421573,True
9,7,2,6.0,2.0,1.0,2.9389949375718523,0.6154892377808167,0.6641345271970647,True
9,7,2,7.0,2.0,1.0,3.2542616328215703,0.5805260718484194,0.6488985818385121,True
9,7,2,8.0,2.0,1.0,3.5259255429715064,0.5559442398325841,0.6380895422140218,True
9,7,2,9.0,2.0,1.0,3.7646788782550913,0.5381352453956996,0.6375818257902661,True
9,7,2,10.0,2.0,1.0,3.977694855995305,0.524880517491455,0.624780233574013,True
9,7,2,1.0,3.0,1.0,-0.0,1.0,0.7980561360274443,True
9,7,2,2.0,3.0,1.0,0.4358313298321983,0.9871192736855081,0.7757921848906324,True
9,7,2,3.0,3.0,1.0,1.1234471010399047,0.9136963571243762,0.7293416026727835,True
9,7,2,4.0,3.0,1.0,1.8258083302493586,0.7926357515468256,0.6637347736054541,True
9,7,2,5.0,3.0,1.0,2.3580851549486366,0.6989717625064287,0.5941586473920356,True
9,7,2,6.0,3.0,1.0,2.769981132694788,0.6372526966689598,0.5629257730248762,True
9,7,2,7.0,3.0,1.0,3.106251418117381,0.5960427549472977,0.5329966274477296,True
9,7,2,8.0,3.0,1.0,3.391163067135035,0.5675299796588612,0.5259393013247213,True
9,7,2,9.0,3.0,1.0,3.638810171495211,0.5471092961846213,0.5035597142913963,True
9,7,2,10.0,3.0,1.0,3.8580903757496805,0.5320368474325772,0.5023198076304228,True
9,7,2,1.0,4.0,1.0,-0.0,1.0,0.7287957912271884,True
9,7,2,2.0,4.0,1.0,0.28734967628032804,0.9944756683394789,0.7119624109047044,True
9,7,2,3.0,4.0,1.0,0.7477005630165895,0.9615089878013363,0.6731100274791676,True
9,7,2,4.0,4.0,1.0,1.4025439074601713,0.8687435496784348,0.6013375101382427,True
9,7,2,5.0,4.0,1.0,2.044092758584343,0.7529881409028885,0.5251003647101203,True
9,7,2,6.0,4.0,1.0,2.525820852618264,0.6724147709247035,0.47503653695935794,True
9,7,2,7.0,4.0,1.0,2.8999522237105255,0.6203271091917366,0.4319298658092176,True
9,7,2,8.0,4.0,1.0,3.207305607978536,0.5852804243422869,0.4106680900885325,True
9,7,2,9.0,4.0,1.0,3.469378710489382,0.5606642713733742,0.4004338079573701,True
9,7,2,10.0,4.0,1.0,3.698515228347667,0.5427408283176414,0.4051162026482738,True
9,7,2,1.0,5.0,1.0,-0.0,1.0,0.6263706641285379,True
9,7,2,2.0,5.0,1.0,0.20859138744682262,0.9971142611501775,0.6401162652873942,True
9,7,2,3.0,5.0,1.0,0.5247992826580157,0.9812081953566147,0.6048002532468981,True
9,7,2,4.0,5.0,1.0,0.9837813498077098,0.9334274093847112,0.5502702455872815,True
9,7,2,5.0,5.0,1.0,1.6092746701692833,0.8321934308118984,0.4687362703619171,True
9,7,2,6.0,5.0,1.0,2.2060105194439945,0.7245293836575238,0.4106314111831639,True
9,7,2,7.0,5.0,1.0,2.6505751314787003,0.6539087384104734,0.36818833728457756,True
9,7,2,8.0,5.0,1.0,2.9963200971479274,0.6085916228809654,0.3424595666230449,True
9,7,2,9.0,5.0,1.0,3.281431520796725,0.5778452331454283,0.3288009165830881,True
9,7,2,10.0,5.0,1.0,3.5255731655776525,0.5559730333266588,0.3235861894539648,True
9,7,2,1.0,6.0,1.0,-0.0,1.0,0.5455859936209531,True
9,7,2,2.0,6.0,1.0,0.16192726793169562,0.9982708686228609,0.5546433725117904,True
9,7,2,3.0,6.0,1.0,0.39691926822704854,0.9893502002936512,0.5337743843160759,True
9,7,2,4.0,6.0,1.0,0.7198294940657396,0.9643470061360772,0.4883836595553164,True
9,7,2,5.0,6.0,1.0,1.172130184520827,0.906339917460087,0.42254906149791793,True
9,7,2,6.0,6.0,1.0,1.773134908060775,0.8022941657132098,0.37238356558531005,True
9,7,2,7.0,6.0,1.0,2.335344253036694,0.7027098530995313,0.3260801393476283,True
9,7,2,8.0,6.0,1.0,2.751237413014534,0.6397975770596158,0.2992185583067409,True
9,7,2,9.0,6.0,1.0,3.074722720831055,0.5995512822877875,0.2873110120844177,True
9,7,2,10.0,6.0,1.0,3.3420919947558114,0.5720425653141089,0.27375538199367316,True
9,7,2,1.0,7.0,1.0,-0.0,1.0,0.4852912938465842,True
9,7,2,2.0,7.0,1.0,0.1315856458008709,0.9988626271160599,0.47936622707428805,True
9,7,2,3.0,7.0,1.0,0.3167759903889917,0.9932662503963571,0.4680191646233763,True
9,7,2,4.0,7.0,1.0,0.5600494986713279,0.9785551514677074,0.4386967553227807,True
9,7,2,5.0,7.0,1.0,0.8835042950528667,0.9462126438058353,0.39241978312629383,True
9,7,2,6.0,7.0,1.0,1.3282531483042501,0.8813106873340485,0.3390488364617736,True
9,7,2,7.0,7.0,1.0,1.9088264155527477,0.7774505408189589,0.29261919229712513,True
9,7,2,8.0,7.0,1.0,2.4434719145743626,0.6852227351391267,0.2642188035506318,True
9,7,2,9.0,7.0,1.0,2.8364412540393955,0.6284401991699772,0.25178185637121153,True
9,7,2,10.0,7.0,1.0,3.1419110782977406,0.5921613851669676,0.23626871632031712,True
9,7,2,1.0,8.0,1.0,-0.0,1.0,0.415519716365261,True
9,7,2,2.0,8.0,1.0,0.11046006883188272,0.9992007768207011,0.42007507112990616,True
9,7,2,3.0,8.0,1.0,0.26253258491527465,0.9954008115550806,0.4083974510966935,True
9,7,2,4.0,8.0,1.0,0.455942473739762,0.9858816662027821,0.3860593723445221,True
9,7,2,5.0,8.0,1.0,0.7019020198594123,0.9661168633426236,0.3490243567992281,True
9,7,2,6.0,8.0,1.0,1.0238605987241527,0.927984949818485,0.31710341642799195,True
9,7,2,7.0,8.0,1.0,1.46132864748798,0.8585561085554816,0.2742331815143995,True
9,7,2,8.0,8.0,1.0,2.0246350890089975,0.7564761064111749,0.24333103399557776,True
9,7,2,9.0,8.0,1.0,2.5366523108705867,0.6707645035477522,0.21951034083528503,True
9,7,2,10.0,8.0,1.0,2.9107848061225314,0.6189734154221097,0.21663934623140751,True
9,7,2,1.0,9.0,1.0,-0.0,1.0,0.34936812226023695,True
9,7,2,2.0,9.0,1.0,0.09498324047552119,0.9994103031605448,0.3639103322494107,True
9,7,2,3.0,9.0,1.0,0.22362533126029902,0.9966774788172965,0.3695253349901271,True
9,7,2,4.0,9.0,1.0,0.3834274971466761,0.9900733587845084,0.34987170794664624,True
9,7,2,5.0,9.0,1.0,0.580144490868848,0.9769641430893822,0.3223892463603575,True
9,7,2,6.0,9.0,1.0,0.8266687049428528,0.9529057429097069,0.2921768287424555,True
9,7,2,7.0,9.0,1.0,1.1464222595129274,0.9102535436039838,0.26102463083490446,True
9,7,2,8.0,9.0,1.0,1.5771678173034929,0.8379851138684381,0.22960941311201927,True
9,7,2,9.0,9.0,1.0,2.1256692481755683,0.7385123208872467,0.20093105822585294,True
9,7,2,10.0,9.0,1.0,2.6186932004633863,0.6585324547480557,0.20163245107170355,True
9,7,2,1.0,10.0,1.0,-0.0,1.0,0.3093758111167055,True
9,7,2,2.0,10.0,1.0,0.08319478250067039,0.9995483403128316,0.33074001809595216,True
9,7,2,3.0,10.0,1.0,0.19446382667207668,0.9974961386803628,0.3285834029411739,True
9,7,2,4.0,10.0,1.0,0.3302618783408102,0.9926710790349929,0.31401488109705045,True
9,7,2,5.0,10.0,1.0,0.4934778487908557,0.9834176744591682,0.290183481888649,True
9,7,2,6.0,10.0,1.0,0.6915243011435586,0.967121346919671,0.2739579274025417,True
