L,N,nmax,W,gamma,lambda_shape_rmse,lambda_shape_corr,n_U
9,7,2,1.0,1.0,0.23926935867710067,0.8720411337908146,10
9,7,2,2.0,1.0,0.24031811277387527,0.8764255277783579,10
9,7,2,3.0,1.0,0.23432695306613455,0.8983910938551583,10
9,7,2,4.0,1.0,0.20819124150241172,0.9250457820994367,10
9,7,2,5.0,1.0,0.21917078627092404,0.9362341582422702,10
9,7,2,6.0,1.0,0.18767238183325705,0.9576332322365164,10
9,7,2,7.0,1.0,0.14825000309440964,0.9714056499689111,10
9,7,2,8.0,1.0,0.14626395879221982,0.976529960939773,10
9,7,2,9.0,1.0,0.2177186434361522,0.9563275808746201,10
9,7,2,10.0,1.0,0.23517490279991066,0.9567097808755725,10
9,7,2,11.0,1.0,0.17317607632695822,0.9623778384263892,10
9,7,2,12.0,1.0,0.14675804824129415,0.9750871689371018,10
9,7,2,13.0,1.0,0.28753693941265385,0.9319132181529188,10
9,7,2,14.0,1.0,0.15744526616382676,0.9488245350644271,10
9,7,2,15.0,1.0,0.19300621381274366,0.9593518561250525,10
9,8,2,1.0,1.0,0.27791915128481853,0.8304906121421097,10
9,8,2,2.0,1.0,0.2762772327153273,0.8427427822020933,10
9,8,2,3.0,1.0,0.26621845915051734,0.8713843175106383,10
9,8,2,4.0,1.0,0.23473457391745114,0.9106181105016596,10
9,8,2,5.0,1.0,0.21747112061011822,0.9271630380523084,10
9,8,2,6.0,1.0,0.21692036962063826,0.9436947223765996,10
9,8,2,7.0,1.0,0.22559424868143488,0.9484759693640632,10
9,8,2,8.0,1.0,0.19732412286484982,0.9592040790587102,10
9,8,2,9.0,1.0,0.22219754921426085,0.9553326649539547,10
9,8,2,10.0,1.0,0.27070613091869566,0.9389460661330084,10
9,8,2,11.0,1.0,0.2142886905240066,0.9576290922250359,10
9,8,2,12.0,1.0,0.2543293783634638,0.9366527668949978,10
9,8,2,13.0,1.0,0.5201054829870438,0.8494866239776605,10
9,8,2,14.0,1.0,0.21976571613994736,0.9368934099545762,10
9,8,2,15.0,1.0,0.2256353002212889,0.9302653177945077,10
9,9,2,1.0,1.0,0.28469336836259773,0.8294553271334131,10
9,9,2,2.0,1.0,0.2871561456043209,0.8363198001434481,10
9,9,2,3.0,1.0,0.28310800545432213,0.8587235756538312,10
9,9,2,4.0,1.0,0.2585972345615888,0.8954752466855049,10
9,9,2,5.0,1.0,0.23693795291459685,0.9206706236745521,10
9,9,2,6.0,1.0,0.2443810461049009,0.9309745830170613,10
9,9,2,7.0,1.0,0.23829761261436128,0.9404673417611135,10
9,9,2,8.0,1.0,0.23619173014799513,0.942675553791832,10
9,9,2,9.0,1.0,0.22225451656232287,0.9519210065970647,10
9,9,2,10.0,1.0,0.22737168921011314,0.942520914736482,10
9,9,2,11.0,1.0,0.22066984374192275,0.957151214644809,10
9,9,2,12.0,1.0,0.2635557105362822,0.9233312859474998,10
9,9,2,13.0,1.0,0.30777724632786124,0.9141165982640916,10
9,9,2,14.0,1.0,0.2586275376641518,0.9099183132413036,10
9,9,2,15.0,1.0,0.32143986626585125,0.9008678501332618,10
9,10,2,1.0,1.0,0.30223431027203096,0.8070511166979674,10
9,10,2,2.0,1.0,0.2997403569273807,0.8218262727272331,10
9,10,2,3.0,1.0,0.2829185588435398,0.856891151101999,10
9,10,2,4.0,1.0,0.27444619466664366,0.8830804743966789,10
9,10,2,5.0,1.0,0.2640786898567526,0.9078342332271996,10
9,10,2,6.0,1.0,0.23849858541247856,0.9245377954874698,10
9,10,2,7.0,1.0,0.2662214461508027,0.9271909936931769,10
9,10,2,8.0,1.0,0.24393584302631496,0.9341812414867557,10
9,10,2,9.0,1.0,0.2486146954335077,0.9417991238809392,10
9,10,2,10.0,1.0,0.2047440027221478,0.9498916237209175,10
9,10,2,11.0,1.0,0.19648034532311318,0.9476077985032008,10
9,10,2,12.0,1.0,0.38547620702668456,0.9081218418531808,10
9,10,2,13.0,1.0,0.3614082698032969,0.8971815293224864,10
9,10,2,14.0,1.0,0.1771610858516121,0.9494985034245905,10
9,10,2,15.0,1.0,0.25503934803850714,0.8900161287535033,10
9,11,2,1.0,1.0,0.2821907447686859,0.8316296040753223,10
9,11,2,2.0,1.0,0.28308346537485946,0.839752153943201,10
9,11,2,3.0,1.0,0.27726877961440305,0.8619166356297848,10
9,11,2,4.0,1.0,0.25742967681370216,0.8901671675003834,10
9,11,2,5.0,1.0,0.2551209935056305,0.9116420848578344,10
9,11,2,6.0,1.0,0.24368132094743966,0.9261937481915691,10
9,11,2,7.0,1.0,0.2410888839961315,0.9311577619828597,10
9,11,2,8.0,1.0,0.2677710451265825,0.9333039675053226,10
9,11,2,9.0,1.0,0.17965558312156424,0.9571604750931741,10
9,11,2,10.0,1.0,0.27198220954132935,0.9320622316644908,10
9,11,2,11.0,1.0,0.21120807862338487,0.9465242315688802,10
9,11,2,12.0,1.0,0.2285123383133767,0.9471203659578941,10
9,11,2,13.0,1.0,0.32126059416869995,0.9073785086838208,10
9,11,2,14.0,1.0,0.2772989680118213,0.9405637163743702,10
9,11,2,15.0,1.0,0.3093841667187943,0.901150058155451,10
