L,N,nmax,W,slope_vs_U,intercept,r2,n_U,mean_positive_step_fraction,monotone_decreasing_strict
9,7,2,1.0,-0.015047821270254861,0.844211546390765,0.9069709386284247,10,0.0,1
9,7,2,2.0,-0.024260440786634047,0.8367226879740194,0.9060906473863919,10,0.0,1
9,7,2,3.0,-0.03641038223847567,0.8191395591423658,0.930186667425063,10,0.0,1
9,7,2,4.0,-0.042207957366864134,0.7684928263099705,0.9356517742622645,10,0.1111111111111111,0
9,7,2,5.0,-0.04133528321337836,0.6937400696475678,0.9434537691529755,10,0.1111111111111111,0
9,7,2,6.0,-0.036531255843754384,0.6112904200226316,0.955133530962277,10,0.1111111111111111,0
9,7,2,7.0,-0.03239332868947363,0.5429363706915432,0.9639776957467381,10,0.0,1
9,7,2,8.0,-0.02658550328263159,0.47120959672850116,0.9610521064081052,10,0.1111111111111111,0
9,7,2,9.0,-0.02101096495275984,0.40960421981955064,0.9101672663469336,10,0.3333333333333333,0
9,7,2,10.0,-0.017412670608801795,0.3644211514614411,0.9039440039541249,10,0.1111111111111111,0
9,7,2,11.0,-0.015486995004831075,0.33655786591015263,0.9119309916668131,10,0.1111111111111111,0
9,7,2,12.0,-0.012468312835688935,0.3039649987082475,0.9347859031353316,10,0.2222222222222222,0
9,7,2,13.0,-0.00908036278064915,0.26836516071051736,0.8415363241233166,10,0.2222222222222222,0
9,7,2,14.0,-0.007335870621474855,0.24409195930698036,0.8805514628570825,10,0.1111111111111111,0
9,7,2,15.0,-0.007103758966811453,0.23270276864602105,0.8967213307496309,10,0.2222222222222222,0
9,8,2,1.0,-0.02064530515874069,0.858291122233336,0.9106777307011714,10,0.0,1
9,8,2,2.0,-0.02839738874175643,0.8562211828321789,0.9203349517245722,10,0.0,1
9,8,2,3.0,-0.03850281817161301,0.8434179592506204,0.9412485629844556,10,0.1111111111111111,0
9,8,2,4.0,-0.04432600711887168,0.8011872977557236,0.9513751914598183,10,0.0,1
9,8,2,5.0,-0.04318719114766748,0.730341416080229,0.9576346024623634,10,0.0,1
9,8,2,6.0,-0.03850874549464619,0.6478420558431646,0.9538645602148766,10,0.1111111111111111,0
9,8,2,7.0,-0.03254518107758074,0.5645942667691389,0.937634140229708,10,0.1111111111111111,0
9,8,2,8.0,-0.028418273167368543,0.5038993767241717,0.9370893178416564,10,0.1111111111111111,0
9,8,2,9.0,-0.022870660495387034,0.44203160098345334,0.9156493255228224,10,0.1111111111111111,0
9,8,2,10.0,-0.0183441828960243,0.3902501631572281,0.8686959706410521,10,0.2222222222222222,0
