L,N,nmax,W,U_for_chi,nearest_U,chi_U,q_eff2
9,7,2,1.0,2.0,2.0,0.02579109088442577,0.5152542372881356
9,7,2,2.0,2.0,2.0,0.031444599906992055,0.5152542372881356
9,7,2,3.0,2.0,2.0,0.03435726667733041,0.5152542372881356
9,7,2,4.0,2.0,2.0,0.027842881874010406,0.5152542372881356
9,7,2,5.0,2.0,2.0,0.0107852054408199,0.5152542372881356
9,7,2,6.0,2.0,2.0,0.005905804652438562,0.5152542372881356
9,7,2,7.0,2.0,2.0,0.00863606461160396,0.5152542372881356
9,7,2,8.0,2.0,2.0,0.003561132634283759,0.5152542372881356
9,7,2,9.0,2.0,2.0,-0.010078606364945064,0.5152542372881356
9,7,2,10.0,2.0,2.0,-0.009603795912234203,0.5152542372881356
9,7,2,11.0,2.0,2.0,-0.006150285604480138,0.5152542372881356
9,7,2,12.0,2.0,2.0,0.0021215020133313334,0.5152542372881356
9,7,2,13.0,2.0,2.0,-0.007889112516959298,0.5152542372881356
9,7,2,14.0,2.0,2.0,0.004071534612696229,0.5152542372881356
9,7,2,15.0,2.0,2.0,-0.002214926906551451,0.5152542372881356
9,8,2,1.0,2.0,2.0,0.023620399011486437,0.4949740034662045
9,8,2,2.0,2.0,2.0,0.027183972876224316,0.4949740034662045
9,8,2,3.0,2.0,2.0,0.027114570940068694,0.4949740034662045
9,8,2,4.0,2.0,2.0,0.0243997744842403,0.4949740034662045
9,8,2,5.0,2.0,2.0,0.01311147999768375,0.4949740034662045
9,8,2,6.0,2.0,2.0,0.0036904903652357213,0.4949740034662045
9,8,2,7.0,2.0,2.0,-0.0017342071210083576,0.4949740034662045
9,8,2,8.0,2.0,2.0,-0.004501517824975737,0.4949740034662045
9,8,2,9.0,2.0,2.0,-0.00496098848606491,0.4949740034662045
9,8,2,10.0,2.0,2.0,-0.012926821127455662,0.4949740034662045
9,8,2,11.0,2.0,2.0,-0.008905375175085856,0.4949740034662045
9,8,2,12.0,2.0,2.0,-0.005039129801853143,0.4949740034662045
9,8,2,13.0,2.0,2.0,-0.01510419065255375,0.4949740034662045
9,8,2,14.0,2.0,2.0,-0.004790620581621552,0.4949740034662045
9,8,2,15.0,2.0,2.0,-6.035091135647708e-05,0.4949740034662045
9,9,2,1.0,2.0,2.0,0.020603114466315464,0.46827524575513846
9,9,2,2.0,2.0,2.0,0.02373306894528654,0.46827524575513846
9,9,2,3.0,2.0,2.0,0.024526911512670946,0.46827524575513846
9,9,2,4.0,2.0,2.0,0.018143083330926457,0.46827524575513846
9,9,2,5.0,2.0,2.0,0.010419631348274838,0.46827524575513846
9,9,2,6.0,2.0,2.0,0.00046374819599581674,0.46827524575513846
9,9,2,7.0,2.0,2.0,-0.01157322138033201,0.46827524575513846
9,9,2,8.0,2.0,2.0,-0.007094081587094125,0.46827524575513846
9,9,2,9.0,2.0,2.0,-0.005316907695328166,0.46827524575513846
9,9,2,10.0,2.0,2.0,-0.005676401257724478,0.46827524575513846
9,9,2,11.0,2.0,2.0,-0.004118367477783574,0.46827524575513846
9,9,2,12.0,2.0,2.0,-0.0038853679510236216,0.46827524575513846
9,9,2,13.0,2.0,2.0,-0.006373494087155623,0.46827524575513846
9,9,2,14.0,2.0,2.0,0.0011381055225811454,0.46827524575513846
9,9,2,15.0,2.0,2.0,-0.0072564238245510365,0.46827524575513846
9,10,2,1.0,2.0,2.0,0.019710112725017104,0.43723208818126147
9,10,2,2.0,2.0,2.0,0.021967248113173743,0.43723208818126147
9,10,2,3.0,2.0,2.0,0.022973206684980152,0.43723208818126147
9,10,2,4.0,2.0,2.0,0.015242863917032667,0.43723208818126147
9,10,2,5.0,2.0,2.0,0.004825849909548763,0.43723208818126147
9,10,2,6.0,2.0,2.0,0.0036103791615056946,0.43723208818126147
9,10,2,7.0,2.0,2.0,-0.011254137663095354,0.43723208818126147
9,10,2,8.0,2.0,2.0,-0.007352704853932079,0.43723208818126147
9,10,2,9.0,2.0,2.0,-0.006258140848675625,0.43723208818126147
9,10,2,10.0,2.0,2.0,-0.0032567627657027476,0.43723208818126147
9,10,2,11.0,2.0,2.0,0.002671215437516361,0.43723208818126147
9,10,2,12.0,2.0,2.0,-0.015710571254078848,0.43723208818126147
9,10,2,13.0,2.0,2.0,-0.008704605528894571,0.43723208818126147
9,10,2,14.0,2.0,2.0,0.0056508601665835045,0.43723208818126147
9,10,2,15.0,2.0,2.0,-0.00425210316888501,0.43723208818126147
9,11,2,1.0,2.0,2.0,0.019178194733846188,0.4010554089709763
9,11,2,2.0,2.0,2.0,0.02177978679403264,0.4010554089709763
9,11,2,3.0,2.0,2.0,0.021903207177540573,0.4010554089709763
9,11,2,4.0,2.0,2.0,0.020199944196300335,0.4010554089709763
9,11,2,5.0,2.0,2.0,0.007995095889519244,0.4010554089709763
9,11,2,6.0,2.0,2.0,-0.0035627083293513495,0.4010554089709763
9,11,2,7.0,2.0,2.0,-0.005875067735237827,0.4010554089709763
9,11,2,8.0,2.0,2.0,-0.00937034094471706,0.4010554089709763
9,11,2,9.0,2.0,2.0,-0.0007838805393532988,0.4010554089709763
9,11,2,10.0,2.0,2.0,-0.013199864416544416,0.4010554089709763
9,11,2,11.0,2.0,2.0,-0.005313897265435019,0.4010554089709763
9,11,2,12.0,2.0,2.0,-0.004795436160748401,0.4010554089709763
9,11,2,13.0,2.0,2.0,-0.005152864478145669,0.4010554089709763
9,11,2,14.0,2.0,2.0,-0.0031249099041918416,0.4010554089709763
9,11,2,15.0,2.0,2.0,-0.003644068040185855,0.4010554089709763
